description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Helado Maracuyá y Mango Lift 390g,S/ 33.50,wong,MANGO,2024-12-04 19:35:08.820601,390.0,g,Helado Maracuyá y Mango Lift,33.5
Helado Wong Premium Mango 480g,S/ 32.50,wong,MANGO,2024-12-04 19:35:08.820601,480.0,g,Helado Wong Premium Mango,32.5
Helado Veggie Mango & Piña Lift Pote 390 g,S/ 33.50,wong,MANGO,2024-12-04 19:35:08.820601,390.0,g,Helado Veggie Mango & Piña Lift Pote,33.5
Helado de Mango Dulce Pasión 5L,S/ 99.90,wong,MANGO,2024-12-04 19:35:08.820601,5.0,l,Helado de Mango Dulce Pasión,99.9
Paleta de Helado Cuisine & Co Mango Maracuyá 108g,S/ 6.90,wong,MANGO,2024-12-04 19:35:08.820601,108.0,g,Paleta de Helado Cuisine & Co Mango Maracuyá,6.9
Base para Mango Camu Camu Sour Wasska 125g,S/ 9.40,wong,MANGO,2024-12-04 19:35:08.820601,125.0,g,Base para Mango Camu Camu Sour Wasska,9.4
Helado Vegano Atelier Mango Coco 85g,S/ 9.90,wong,MANGO,2024-12-04 19:35:08.820601,85.0,g,Helado Vegano Atelier Mango Coco,9.9
Helado Veggie Mango & Piña Lift Pote 110 g,S/ 12.90,wong,MANGO,2024-12-04 19:35:08.820601,110.0,g,Helado Veggie Mango & Piña Lift Pote,12.9
Helado Vegano Atelier Mango Coco 350g,S/ 32.90,wong,MANGO,2024-12-04 19:35:08.820601,350.0,g,Helado Vegano Atelier Mango Coco,32.9
Helado Momenti Sorbetto Mango 120ml,S/ 11.90,wong,MANGO,2024-12-04 19:35:08.820601,120.0,ml,Helado Momenti Sorbetto Mango,11.9
"PALETA PALETTI 75GR , Fresa c/ Mango",S/ 10.90,wong,MANGO,2024-12-04 19:35:08.820601,75.0,g,"PALETA PALETTI R , Fresa c/ Mango",10.9
Bebida Ready to Drink Piscano Sour Sabor Mango Botella 700ml,S/ 24.50,wong,MANGO,2024-12-04 19:35:08.820601,700.0,ml,Bebida Ready to Drink Piscano Sour Sabor Mango Botella,24.5
Artesco Pincel Mango de Madera Pack 5 unid,S/ 8.30,wong,MANGO,2024-12-04 19:35:08.820601,5.0,un,Artesco Pincel Mango de Madera Pack,8.3
Paleta de Helado Sanúa Maracuyá Mango 70g,S/ 9.90,wong,MANGO,2024-12-04 19:35:08.820601,70.0,g,Paleta de Helado Sanúa Maracuyá Mango,9.9
Bebida Ready to Drink Three Birds Mango Lata 355ml,S/ 14.90,wong,MANGO,2024-12-04 19:35:08.820601,355.0,ml,Bebida Ready to Drink Three Birds Mango Lata,14.9
Helado de Maracuyá Mango Sanúa 473ml,S/ 29.90,wong,MANGO,2024-12-04 19:35:08.820601,473.0,ml,Helado de Maracuyá Mango Sanúa,29.9
Artesco Pincel Mango de Madera Pack 6 unid Blanco,S/ 11.50,wong,MANGO,2024-12-04 19:35:08.820601,6.0,un,Artesco Pincel Mango de Madera Pack  Blanco,11.5
Helado de Maracuyá y Mango Sanúa 133ml,S/ 9.50,wong,MANGO,2024-12-04 19:35:08.820601,133.0,ml,Helado de Maracuyá y Mango Sanúa,9.5
