description,brand,price,website,search_term,scrape_timestamp
Harina de Maíz Blanco P.A.N. Precocida Bolsa 1Kg,PAN,S/ 11.30,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Italiano 1un,VIVANDA,S/ 3.00,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Chancay LA FLORENCIA Bolsa 12un,LA FLORENCIA,S/ 6.60,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Árabe Integral LA FLORENCIA Bolsa 380g,LA FLORENCIA,S/ 5.00,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Americano Sandwich UNIÓN Bolsa 540g,UNION,S/ 9.09,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan de Molde Integral UNIÓN Bolsa 495g,UNIÓN,S/ 14.20,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Carioca LA FLORENCIA Bolsa 400g,LA FLORENCIA,S/ 5.00,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Hot Dog x Kg,VIVANDA,S/ 8.10,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Artesanal Relleno de Aceituna Empaque 1un,VIVANDA,S/ 3.00,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Blanco sin Bordes BIMBO Bolsa 650g,BIMBO,S/ 16.40,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Hamburguesa BIMBO Bolsa 8un,BIMBO,S/ 10.50,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan de Queso FORNO DE MINAS Bolsa 400g,FORNO DE MINAS,S/ 19.50,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Doble Fibra BIMBO Bolsa 510g,BIMBO,S/ 11.50,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Artesanal Congelado PANCITOS DEL SUR Relleno con Jamón y Queso Bolsa 6un,PANCITOS DEL SUR,S/ 24.20,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan de Molde UNIÓN Multisemillas y Chips de Miel Bolsa 540g,UNIÓN,S/ 13.20,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Multigrano Linaza BIMBO Bolsa 510g,BIMBO,S/ 11.50,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan de Molde LA FLORENCIA Bolsa 350g,LA FLORENCIA,S/ 6.90,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan al Ajo LA FLORENCIA Bolsa 6un,LA FLORENCIA,S/ 6.90,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Baguette Multigrano 1un,VIVANDA,S/ 3.60,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Pita Cero BIMBO Bolsa 300g,BIMBO,S/ 7.70,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan de Molde LA FLORENCIA Integal Bolsa 350g,LA FLORENCIA,S/ 6.90,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Artesanal Relleno de Queso Empaque 1un,VIVANDA,S/ 3.00,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Hamburguesa BIMBO Artesano Brioche Bolsa 360g,BIMBO,S/ 10.60,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Artesano BIMBO Bolsa 8un,BIMBO,S/ 12.40,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan con Hamburguesa Queso y Tocino x un,VIVANDA,S/ 7.90,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Hamburguesa LA FLORENCIA Bolsa 405g,LA FLORENCIA,S/ 5.00,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan para Hot Dog BIMBO Bolsa 8un,BIMBO,S/ 11.20,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Artesanal Congelado PANCITOS DEL SUR Relleno con Cabanossi y Queso Bolsa 6un,PANCITOS DEL SUR,S/ 24.20,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan de Queso Asado FORNO DE MINAS Bolsa 500g,FORNO DE MINAS,S/ 32.90,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Pita Linaza BIMBO Bolsa 300g,BIMBO,S/ 6.00,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Árabe Blanco EL CEDRO Bolsa 10un,EL CEDRO,S/ 7.50,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan de Molde MOLINOS DEL MUNDO Sin Glúten y Sin Lactosa Bolsa 480g,MOLINOS DEL MUNDO,S/ 18.80,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan de Molde Blanco BELL'S Mediano Bolsa 500g,BELL'S,S/ 8.60,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan de Molde Blanco DON MAMINO Pullman Corte Horizontal Bolsa 560g,DON MAMINO,S/ 13.30,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan VITAL Mix de Quinuas Bolsa 600g,BIMBO,S/ 14.90,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan para Hot Dog BELL’S Bolsa 8un,BELL'S,S/ 7.50,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Blanco BIMBO Cero Cero Bolsa 530g,BIMBO,S/ 12.10,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Artesanal Congelado PANCITOS DEL SUR Relleno con Aceitunas Botija Bolsa 6un,PANCITOS DEL SUR,S/ 24.20,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Hot Dog LA FLORENCIA Paquete 360g,LA FLORENCIA,S/ 4.30,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan de Molde UNIÓN Fibra Multicereal Bolsa 540g,UNIÓN,S/ 13.20,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Blanco BIMBO Super Sandwich Bolsa 800g,BIMBO,S/ 15.00,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan de Molde Integral BIMBO Vital Multicereal Bolsa 360g,BIMBO,S/ 11.20,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Ciabatta Salvado Bolsa 6un,LA FLORENCIA,S/ 9.10,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Árabe Blanco Andino EL CEDRO con Quinua Bolsa 10un,EL CEDRO,S/ 8.70,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Dulce DONOFRIO Bolsa 490g,D'ONOFRIO,S/ 21.90,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Pita sin Gluten MOLINOS DEL MUNDO Bolsa 6un,MOLINOS DEL MUNDO,S/ 11.79,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Artesanal Congelado PANCITOS DEL SUR Relleno con Queso Bolsa 6un,PANCITOS DEL SUR,S/ 24.20,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Petit Pan Finas Hierbas EL PAN CRIOLLO Bolsa 510g,EL CRIOLLO,S/ 9.50,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Hojuelas al Ajo EL CEDRO con Pan Árabe Bolsa 50g,EL CEDRO,S/ 3.70,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Petit Pan Embolsado 550g,LA FLORENCIA,S/ 7.70,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Máquina para Hacer Pan BLACKLINE BM-6301,BLACKLINE,S/ 399.90,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Triple Pollo en Pan Integral ANDREE SANDWICHS,ANDREE SANDWICHS,S/ 6.50,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Petit Pan Multicereal EL PAN CRIOLLO Bolsa 510g,EL CRIOLLO,S/ 9.50,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Cesta para Pan con Canvas VIVA HOME,VIVA HOME,S/ 15.90,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Cesta para Pan VIVA HOME Rectanfular C/Canvas,VIVA HOME,S/ 16.90,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Plato para Pan CORONA Actualite Blanco 18cm,CORONA,S/ 5.90,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Agua Mineral SAN MATEO sin Gas Bidón 7L,SAN MATEO,S/ 9.00,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pechuga Especial de Pollo Empacada al Vacío SAN FERNANDO,SAN FERNANDO,S/ 18.40,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
