brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
LONDA,JUGO DE MANZANA L ONDA X 1.89 L,S/ 13.90,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,1.89,l,JUGO DE MANZANA L ONDA X,13.9
TOTTUS,Mini Croissant Chips de Manzana y Canela 320 g,S/ 9.90,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,320.0,g,Mini Croissant Chips de Manzana y Canela,9.9
TOTTUS,COMPOTA DURAZNO Y MANZANA X 90G,S/ 2.50,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,90.0,g,COMPOTA DURAZNO Y MANZANA X,2.5
GLADE,Ambientador Aerosol Manzana Canela 275 mL,S/ 8.30,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,275.0,ml,Ambientador Aerosol Manzana Canela,8.3
NUTRI CO,Galletas con Quinua y Manzana +NUTRI Co Caja 6un,S/ 14.90,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,6.0,un,Galletas con Quinua y Manzana +NUTRI Co Caja,14.9
SOCOSANI,Agua Manzana con gas 500 mL,S/ 2,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,500.0,ml,Agua Manzana con gas,2.0
SAN LUIS,BEBIDA CON GAS MANZANA BOT X 625ML,S/ 2.20,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,625.0,ml,BEBIDA CON GAS MANZANA BOT X,2.2
HEAD AND SHOULDERS,Shampoo Head & Shoulders Manzana Fresh 375 ml,S/ 19.50,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,375.0,ml,Shampoo Head & Shoulders Manzana Fresh,19.5
BIO AMAYU,Bebida sabor aguaje cocona y manzana de 300 mL,S/ 4.20,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,300.0,ml,Bebida sabor aguaje cocona y manzana de,4.2
BIO AMAYU,Bebida sabor Camu Camu y manzana de 300 mL,S/ 3.90,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,300.0,ml,Bebida sabor Camu Camu y manzana de,3.9
GATORADE,Bebida Rehidratante Sabor Manzana 500 mL,S/ 2.40,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,500.0,ml,Bebida Rehidratante Sabor Manzana,2.4
GLADE,Ambientador En gel Bolsa Manzana Canela 30 g,S/ 5,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,30.0,g,Ambientador En gel Bolsa Manzana Canela,5.0
FRUGOS DEL VALLE,BEBIDA FRESH MANZANA BOT X 500ML,S/ 1.60,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,500.0,ml,BEBIDA FRESH MANZANA BOT X,1.6
GLADE,Ambientador Aceites Naturales Manzana Y Canela 3 Repuestos 63 mL,S/ 49.80,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,63.0,ml,Ambientador Aceites Naturales Manzana Y Canela 3 Repuestos,49.8
GLADE,Ambientador Aceites Naturales Manzana Canela 1 Repuesto 21 mL,S/ 23.70,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,21.0,ml,Ambientador Aceites Naturales Manzana Canela 1 Repuesto,23.7
GLADE,Ambientador Aceites Naturales Manzana Canela + 1 Repuesto 21 mL,S/ 30.30,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,21.0,ml,Ambientador Aceites Naturales Manzana Canela + 1 Repuesto,30.3
TOTTUS,Absorbente de Humedad Cojín Manzana Canela 2 x 50 gr,S/ 19.50,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,50.0,g,Absorbente de Humedad Cojín Manzana Canela 2 x r,19.5
GLADE,Ambientador Aceites Naturales Manzana Canela 2 Repuestos 42 mL,S/ 41.30,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,42.0,ml,Ambientador Aceites Naturales Manzana Canela 2 Repuestos,41.3
