brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
TOTTUS,Sopa de Fideos con Carne de 60 g,S/ 2.40,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,60.0,g,Sopa de Fideos con Carne de,2.4
AJINOMOTO,Sopa Instantánea Ajinomen Sabor Carne Oriental 80 g,S/ 1.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,80.0,g,Sopa Instantánea Ajinomen Sabor Carne Oriental,1.9
THOR,Comida húmeda para cachorros sabor carne de 330 g,S/ 4.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,330.0,g,Comida húmeda para cachorros sabor carne de,4.9
RICOCAN,Trocitos de Carne Verduras Adulto 290 gr,S/ 5.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,290.0,g,Trocitos de Carne Verduras Adulto r,5.9
RICOCAT,Trocitos En Salsa Carne Cachorro 190 gr,S/ 4.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,190.0,g,Trocitos En Salsa Carne Cachorro r,4.5
AJINOMOTO,Sopa instantánea sabor carne Ajinomen de 51 g,S/ 3.40,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,51.0,g,Sopa instantánea sabor carne Ajinomen de,3.4
WHISKAS,Pouch para gatos sabor carne de 85 g,S/ 4.20,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,85.0,g,Pouch para gatos sabor carne de,4.2
ARTICHAY,CHIFLES SALADOS CANCHA CARNE RES 250G,S/ 16.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,250.0,g,CHIFLES SALADOS CANCHA CARNE RES,16.5
WHISKAS,Comida para gatitos sabor carne de 1.4 kg,S/ 41.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,1.4,kg,Comida para gatitos sabor carne de,41.9
GNAWLERS,Hueso de carne para perros Bone 6 unidades,S/ 10.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,6.0,un,Hueso de carne para perros Bone ades,10.9
ARTICHAY,CHIFLES SALADOS CANCHA CARNE RES 500G,S/ 30.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,500.0,g,CHIFLES SALADOS CANCHA CARNE RES,30.5
WHISKAS,Comida para gatos adultos de carne 1.5 kg,S/ 41.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,1.5,kg,Comida para gatos adultos de carne,41.9
PEDIGREE,Pouch para cachorros sabor carne de 100 g,S/ 4.20,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,100.0,g,Pouch para cachorros sabor carne de,4.2
NISSIN,Pasta Precocida Cup Noodles Carne 68g,S/ 6,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,68.0,g,Pasta Precocida Cup Noodles Carne,6.0
RICOCAT,Comida para gatos sabor carne pescado y leche de 9 kg,S/ 99.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,9.0,kg,Comida para gatos sabor carne pescado y leche de,99.9
PURINA ONE,Alimento Perro Adulto Mediano Grande Carne 12 Kg,S/ 215,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,12.0,kg,Alimento Perro Adulto Mediano Grande Carne,215.0
SUPERCAT,ADULT SABOR POLLO CARNE ATUN SARDINA 3KG,S/ 35.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,3.0,kg,ADULT SABOR POLLO CARNE ATUN SARDINA,35.9
PRECIO UNO,Alimento para Perros Adultos Sabor Carne y Cereales 16 kg,S/ 74.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,16.0,kg,Alimento para Perros Adultos Sabor Carne y Cereales,74.9
AJINOMEN,Sopa Instantanea Sabor Carne Picante Vaso 51g,S/ 3.40,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,51.0,g,Sopa Instantanea Sabor Carne Picante Vaso,3.4
THOR,Comida para perros cachorros sabor carne de 2 kg,S/ 14.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,2.0,kg,Comida para perros cachorros sabor carne de,14.9
RICOCAT,Trocitos en salsa sabor carne para gatos de 85 g,S/ 4,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,85.0,g,Trocitos en salsa sabor carne para gatos de,4.0
RICOCAT,Comida para gatos carne pescado y leche de 3 kg,S/ 43.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,3.0,kg,Comida para gatos carne pescado y leche de,43.5
RICOCAT,Pate Sabor Carne Adulto Lata 180 g,S/ 4.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,180.0,g,Pate Sabor Carne Adulto Lata,4.5
PURINA ONE,Comida para gatos de pollo y carne 500 g,S/ 23.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,500.0,g,Comida para gatos de pollo y carne,23.5
THOR,Comida para perros adultos sabor carne hígado y cereales de 10 kg,S/ 59.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,10.0,kg,Comida para perros adultos sabor carne hígado y cereales de,59.9
PRECIO UNO,Alimento para Perros Adultos Sabor Carne y Cereales 2 kg,S/ 12.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,2.0,kg,Alimento para Perros Adultos Sabor Carne y Cereales,12.9
TOTTUS,Comida para Perros Adultos Sabor Carne y Cereales 2 kg,S/ 17.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,2.0,kg,Comida para Perros Adultos Sabor Carne y Cereales,17.5
RICOCAT,Comida para Gatitos Sabor Carne Pescado y Leche 1 kg,S/ 14.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,1.0,kg,Comida para Gatitos Sabor Carne Pescado y Leche,14.9
THOR,Comida húmeda para perros adultos sabor carne de 330 g,S/ 4.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,330.0,g,Comida húmeda para perros adultos sabor carne de,4.9
RICOCAT,Pate Sabor Pollo Carne Gatitos Lata 180 g,S/ 4.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,180.0,g,Pate Sabor Pollo Carne Gatitos Lata,4.5
