Distrito,Establecimiento,Dirección,Teléfono,Precio de Venta (Soles por galón),Departamento,Provincia,Producto,Fecha,Precio
ATE,ESTACION 715 LA MERCED,ESQ. AV. URUBAMBA CON AV. LOS INGENIEROS,015342336,13.09,LIMA,LIMA,DB5 S-50 UV,2025-11-17,13.09
ATE,SERVICENTRO SMILE S.A.,"CALLE LOS ORFEBREROS N° 129, URB. INDUSTRIAL EL ARTESANO",999086922,13.14,LIMA,LIMA,DB5 S-50 UV,2025-11-17,13.14
ATE,YE PETROLEUM S.A.C.,"AV. LOS CASTILLOS Nº 340, URB. INDUSTRIAL SANTA ROSA",943736528/901439574,13.38,LIMA,LIMA,DB5 S-50 UV,2025-11-17,13.38
ATE,EMPRESA DE SERVICIOS Y TRANSPORTES EL NEGRO E.I.R.L.,"MZ A LT 1,2,3,4,5 Y 6 DEL PROGRAMA DE VIVIENDA Y COMERCIO LAS PRADERAS DE PARIACHI",013592881/996503352,13.39,LIMA,LIMA,DB5 S-50 UV,2025-11-17,13.39
ATE,PETRO EXPLORIUM,"CALLE SAN CARLOS RD, MZ. C LOTE 14",994992758,13.39,LIMA,LIMA,DB5 S-50 UV,2025-11-17,13.39
ATE,COMBUSTIBLES H&S S.R.L.,"AV. NICOLAS AYLLON (EX CARRETERA CENTRAL) S/N MZ. ""B"" LOTES 5 Y 5-A U.C. 10022",,13.45,LIMA,LIMA,DB5 S-50 UV,2025-11-17,13.45
ATE,ESTACION DE SERVICIO VIRGEN DE LAS NIEVES SAC,AV. CARRETERA CENTRAL KM. 13.5,,13.47,LIMA,LIMA,DB5 S-50 UV,2025-11-17,13.47
ATE,SERVOSA COMBUSTIBLES S.A.C.,CARRETERA CENTRAL KM. 16.50,995996221/920660239,13.49,LIMA,LIMA,DB5 S-50 UV,2025-11-17,13.49
ATE,INVERSIONES PURITA CALIDAD S.R.L.,AV. CIRCUMVALACION MZ. F LT.8,996289340/980846599,13.49,LIMA,LIMA,DB5 S-50 UV,2025-11-17,13.49
ATE,FEY PARTNERS S.A.C.,"AV. MARCO DE LA PUENTE LLANOS ESQ. CON CALLE 4 MZ. ""E"" LOTE 3B, URB. BARBADILLO",,13.49,LIMA,LIMA,DB5 S-50 UV,2025-11-17,13.49
ATE,CONSORCIO PETRO CENTRAL SAC,"UNIDAD CATASTRAL 10715, SECTOR PACAYAL, FUNDO SAN JUAN DE PARIACHE, AV. NICOLAS AYLLON S/N",,13.49,LIMA,LIMA,DB5 S-50 UV,2025-11-17,13.49
ATE,AHV COMBUSTIBLES S.A.C.,CARRETERA CENTRAL KM 13.650 GLORIA BAJA,,13.49,LIMA,LIMA,DB5 S-50 UV,2025-11-17,13.49
ATE,CENTRAL PARIACHI S.A.C.,AV. NICOLAS AYLLON (ANTES CARRETERA CENTRAL) PREDIO SEMI RUSTICO PARIACHI PARCELA 10906,959323728,13.54,LIMA,LIMA,DB5 S-50 UV,2025-11-17,13.54
ATE,SERVICIOS MULTIPLES Y TRANSPORTES W.W.C. S.R.L.,CARRETERA CENTRAL KM 14.800 ESQUINA CON AV. GLORIA - GLORIA ALTA,957611432/943619486,13.54,LIMA,LIMA,DB5 S-50 UV,2025-11-17,13.54
ATE,GRIFO VILLA HERMOSA S.A.C.,AV. A SUR CALLE 1 Y CALLE 2 RESIDENCIAL VILLA HERMOSA DE HUAYCAN,014355664/013591901,13.55,LIMA,LIMA,DB5 S-50 UV,2025-11-17,13.55
ATE,ECAMEL S.A.C.,"AV. NICOLAS AYLLON MZ. B LOTES 01, 02, 03, 04, 05, 23, 24, 25 Y 26, KM. 15.1 (ANTES CARRETERA CENTRAL KM. 15.1)",013017866,13.55,LIMA,LIMA,DB5 S-50 UV,2025-11-17,13.55
ATE,ESTACION DE SERVICIOS GRIFO DENVER S.R.L.,"CARRETERA CENTRAL SUB PARCELA 8A DE LA PARCELA N°10015 EX FUNDO PARIACHI MZ. A LT. 1 Y 2, PROGRAMA DE VIVIENDA 'LAS PONCIANAS DE PARIACHI'",,13.55,LIMA,LIMA,DB5 S-50 UV,2025-11-17,13.55
ATE,INVERSIONES M Y E S.A.C.,AV. JOSE CARLOS MARIATEGUI ESQ. CALLE B-8 HUAYCAN,944578396/971760133,13.69,LIMA,LIMA,DB5 S-50 UV,2025-11-17,13.69
