Distrito,Establecimiento,Dirección,Teléfono,Precio de Venta (Soles por galón),Departamento,Provincia,Producto,Fecha,Precio
ATE,ESCOH S.A.C.,"AV. NICOLAS AYLLON, ESQUINA CON AV. LA MOLINA",955108634,14.15,LIMA,LIMA,DB5 S-50 UV,2025-11-22,14.15
ATE,GRIFO PARQUE INDUSTRIAL EL ASESOR S.A.C.,ESQUINA AV. C Y CALLE 5 PARQUE INDUSTRIAL EL ASESOR,945136651,14.19,LIMA,LIMA,DB5 S-50 UV,2025-11-22,14.19
ATE,COESTI SA,"CARRETERA CENTRAL KM. 16 (AV. NICOLAS AYLLON S/N, MZ. A, LOTE 1) PROGRAMA DE VIVIENDA LAS PRADERAS",012033100/978832964/941949574,14.19,LIMA,LIMA,DB5 S-50 UV,2025-11-22,14.19
ATE,LUBRIGAS S.R.LTDA.,CARRETERA CENTRAL KM. 2.5. LOTE 6-A1,013483388/013493327,14.32,LIMA,LIMA,DB5 S-50 UV,2025-11-22,14.32
ATE,CORPORACION VISTA ALEGRE S.A.C.,AV. NICOLAS AYLLON N° 4706 (LOTE A - FUNDO VISTA ALEGRE),017654321/987654321,14.35,LIMA,LIMA,DB5 S-50 UV,2025-11-22,14.35
ATE,CORPORACION PERUANA DE COMERCIO Y SERVICIOS SAC,AV. DANIEL ALCIDES CARRION 501 C.P. SANTA CLARA,999990791,14.4,LIMA,LIMA,DB5 S-50 UV,2025-11-22,14.4
ATE,L. DACRUZ SERVIS A & D S.R.L.,AV. METROPOLITANA MZ. J LOTE 42 B URB. TILDA,013513367/971527090,14.45,LIMA,LIMA,DB5 S-50 UV,2025-11-22,14.45
ATE,VICENTE Y ROMUALDA PRINCIPAL.,"ESQUINA AV. A CON CALLE 1, MZ. B. LOTES 12, 13 Y 14",988033587/956863818,14.45,LIMA,LIMA,DB5 S-50 UV,2025-11-22,14.45
ATE,VIJOGAS S.A.C.,"AV. SANTA ROSA N 610, ESQUINA JR. LOS SAUCES",,14.48,LIMA,LIMA,DB5 S-50 UV,2025-11-22,14.48
ATE,LA JOYA DE SANTA ISABEL E.I.R.L.,ESQ. AV. MIGUEL GRAU Y CALLE 4,986672097,14.49,LIMA,LIMA,DB5 S-50 UV,2025-11-22,14.49
ATE,ESTACION CORMAR S.A.,AV. CARRETERA CENTRAL S/N KM. 2.5 VITARTE ESQ. AV. INGENIEROS URB. BUENOS AMIGOS,013482222/944401223,14.49,LIMA,LIMA,DB5 S-50 UV,2025-11-22,14.49
ATE,CORGAS S.A.C.,"AV. LAS TORRES 497, URB. LOS SAUCES",013261736/988285800,14.5,LIMA,LIMA,DB5 S-50 UV,2025-11-22,14.5
ATE,ESTACION DE SERVICIO PURUCHUCO S.A.C.,"AV. NICOLAS AYLLON N° 4500, URB. LOS PORTALES DE JAVIER PRADO",996896493/998314501,14.5,LIMA,LIMA,DB5 S-50 UV,2025-11-22,14.5
ATE,EMPRESA DE TRANSPORTES Y SERVICIOS EL SOL DE SANTA CLARA S.A.,AV. SAN ALFONSO (LOTE 58) SANTA CLARA,013563158/921503937/960388198,14.77,LIMA,LIMA,DB5 S-50 UV,2025-11-22,14.77
ATE,ESTACION DE SERVICIOS HORNA SRL,ESQ. AV. SEPARADORA INDUSTRIAL N° 809,939639423,14.85,LIMA,LIMA,DB5 S-50 UV,2025-11-22,14.85
ATE,ESTACION DE SERVICIO DON JULIAN EIRL,AV SANTA ROSA N° 333,933655547,14.89,LIMA,LIMA,DB5 S-50 UV,2025-11-22,14.89
ATE,INVERSIONES MAMA OLGA S.A.C.,ESQ. DE LA AV. JOSE CARLOS MARIATEGUI N° 2510 CON LA CALLE 15 DE JUNIO,014080497/998100910,14.89,LIMA,LIMA,DB5 S-50 UV,2025-11-22,14.89
ATE,COESTI S.A.,AV. NICOLAS AYLLON Nº 2237,987654321,14.99,LIMA,LIMA,DB5 S-50 UV,2025-11-22,14.99
ATE,GRIFOS ESPINOZA S.A.,AV. NICOLAS AYLLÓN N° 4359,994297606,15.19,LIMA,LIMA,DB5 S-50 UV,2025-11-22,15.19
ATE,NEGOCIACION OLIMPO S.A.,"AV. SEPARADORA INDUSTRIAL MZ. A, LTS. 32,35 URB. OLIMPO",016524017,15.88,LIMA,LIMA,DB5 S-50 UV,2025-11-22,15.88
ATE,COESTI SA,"AV. NICOLAS AYLLON S/N KM 2.8, ESQ. CON TOMAS ALVA EDISON",012033100/978844730,15.89,LIMA,LIMA,DB5 S-50 UV,2025-11-22,15.89
ATE,COESTI S.A.,AV. NICOLAS AYLLON N° 2039,947372367,15.99,LIMA,LIMA,DB5 S-50 UV,2025-11-22,15.99
ATE,NEGOCIACIONES J.C.A. S.R.L.,"AV. NICOLAS DE PIEROLA ESQ. CON CALLE 20, MZ. K, LOTE 8, COOPERATIVA DE VIVIENDA MANYLSA LTDA. N° 476",013560895,15.99,LIMA,LIMA,DB5 S-50 UV,2025-11-22,15.99
BARRANCO,COESTI S.A,"AV. EL SOL Nº 697, ESQUINA CON AV. REPUBLICA DE PANAMA",511996207533/966559718,16.99,LIMA,LIMA,DB5 S-50 UV,2025-11-22,16.99
BARRANCO,GLOBAL FUEL S.A.,"AV. BOLOGNESI CUADRA 8, ESQ. CON CALLE TIRAVANTI",976109926,16.99,LIMA,LIMA,DB5 S-50 UV,2025-11-22,16.99
BARRANCO,REPSOL COMERCIAL S.A.C.,AV. REPUBLICA DE PANAMA N° 290,012157530/012156225,19.79,LIMA,LIMA,DB5 S-50 UV,2025-11-22,19.79
BREÑA,INVERSIONES JIARA SAC,AV. ARICA NRO. 1301,941047511,13.54,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.54
