description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Bebida Rehidratante Gatorade Cool Blue Botella 500ml,,500.0,ml,2.4,wong,2024-12-04 20:53:27.835546,BEBIDA HIDRATANTE,500.0,ml,2.4,BEBIDA HIDRATANTE
Bebida Rehidratante Gatorade Apple Ice Botella 500ml,,500.0,ml,2.4,wong,2024-12-04 20:53:27.835546,BEBIDA HIDRATANTE,500.0,ml,2.4,BEBIDA HIDRATANTE
Bebida Rehidratante Sporade Tropical Botella 500ml,,500.0,ml,2.4,wong,2024-12-04 20:53:27.835546,BEBIDA HIDRATANTE,500.0,ml,2.4,BEBIDA HIDRATANTE
Bebida Rehidratante Powerade Maracuyá Botella 600ml,,600.0,ml,2.4,metro,2024-12-04 22:25:56.514517,BEBIDA HIDRATANTE,600.0,ml,2.4,BEBIDA HIDRATANTE
Bebida Rehidratante SPORADE Sabor a Uva Botella 500ml,SPORADE,500.0,ml,2.4,vivanda,2024-12-04 18:20:22.255946,BEBIDA HIDRATANTE,500.0,ml,2.4,BEBIDA HIDRATANTE
Bebida Rehidratante Sin Azúcar Sporade Tropical Botella 500ml,,500.0,ml,2.4,metro,2024-12-04 22:25:56.514517,BEBIDA HIDRATANTE,500.0,ml,2.4,BEBIDA HIDRATANTE
Bebida Rehidratante SPORADE Tropical Botella 475ml,SPORADE,475.0,ml,2.4,vivanda,2024-12-04 18:20:22.255946,BEBIDA HIDRATANTE,475.0,ml,2.4,BEBIDA HIDRATANTE
Bebida Rehidratante Powerade Mora Botella 600ml,,600.0,ml,2.4,metro,2024-12-04 22:25:56.514517,BEBIDA HIDRATANTE,600.0,ml,2.4,BEBIDA HIDRATANTE
Bebida Rehidratante Sporade Blueberry Botella 500 ml,,500.0,ml,2.4,metro,2024-12-04 22:25:56.514517,BEBIDA HIDRATANTE,500.0,ml,2.4,BEBIDA HIDRATANTE
Bebida Rehidratante GATORADE Cool Blue Botella 500ml,GATORADE,500.0,ml,2.9,vivanda,2024-12-04 18:20:22.255946,BEBIDA HIDRATANTE,500.0,ml,2.9,BEBIDA HIDRATANTE
Bebida Rehidratante GATORADE Mandarina Botella 500ml,GATORADE,500.0,ml,2.9,vivanda,2024-12-04 18:20:22.255946,BEBIDA HIDRATANTE,500.0,ml,2.9,BEBIDA HIDRATANTE
Bebida Rehidratante Gatorade Tropical Botella 1 Litro,,1.0,l,3.6,wong,2024-12-04 20:53:27.835546,BEBIDA HIDRATANTE,1.0,l,3.6,BEBIDA HIDRATANTE
Bebida Rehidratante SPORADE Tropical Botella 1L,SPORADE,1.0,l,3.9,vivanda,2024-12-04 18:20:22.255946,BEBIDA HIDRATANTE,1.0,l,3.9,BEBIDA HIDRATANTE
Bebida Rehidratante Powerade Multifrutas Botella 1L,,1.0,l,3.99,metro,2024-12-04 22:25:56.514517,BEBIDA HIDRATANTE,1.0,l,3.99,BEBIDA HIDRATANTE
Bebida Rehidratante POWERADE Multifrutas Botella 1L,POWERADE,1.0,l,4.0,vivanda,2024-12-04 18:20:22.255946,BEBIDA HIDRATANTE,1.0,l,4.0,BEBIDA HIDRATANTE
Bebida Rehidratante POWERADE Mora Azul Botella 1L,POWERADE,1.0,l,4.0,vivanda,2024-12-04 18:20:22.255946,BEBIDA HIDRATANTE,1.0,l,4.0,BEBIDA HIDRATANTE
Bebida Rehidratante Powerade Multifrutas Botella 1L,,1.0,l,4.1,wong,2024-12-04 20:53:27.835546,BEBIDA HIDRATANTE,1.0,l,4.1,BEBIDA HIDRATANTE
Bebida Rehidratante GATORADE Apple Ice Botella 750ml,GATORADE,750.0,ml,4.9,vivanda,2024-12-04 18:20:22.255946,BEBIDA HIDRATANTE,750.0,ml,4.9,BEBIDA HIDRATANTE
Bebida Rehidratante GATORADE Sabor a Mandarina Botella 750ml,GATORADE,750.0,ml,4.9,vivanda,2024-12-04 18:20:22.255946,BEBIDA HIDRATANTE,750.0,ml,4.9,BEBIDA HIDRATANTE
Bebida Rehidratante Tropical 1.5 L,SPORADE,1.5,l,4.9,tottus,2024-12-04 14:01:16.732811,BEBIDA HIDRATANTE,1.5,l,4.9,BEBIDA HIDRATANTE
Bebida Rehidratante Gatorade Apple Ice Botella 750ml,,750.0,ml,4.99,metro,2024-12-04 22:25:56.514517,BEBIDA HIDRATANTE,750.0,ml,4.99,BEBIDA HIDRATANTE
Bebida Rehidratante Gatorade Mandarina Botella 750ml,,750.0,ml,4.99,metro,2024-12-04 22:25:56.514517,BEBIDA HIDRATANTE,750.0,ml,4.99,BEBIDA HIDRATANTE
