description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Torta Milhojas Rellena de Manjar 10 Porciones,,10.0,un,39.8,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),10.0,un,39.8,TORTA (ENTERA)
Torta con Oblea 1un,GIARDINO,1.0,un,39.9,vivanda,2024-12-04 17:20:16.231913,TORTA (ENTERA),1.0,un,39.9,TORTA (ENTERA)
Torta Imposible Cuisine & Co 6 Porciones,,6.0,un,39.9,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),6.0,un,39.9,TORTA (ENTERA)
Torta de Chocolate con Manjar 16 Porciones,,16.0,un,40.43,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),16.0,un,40.43,TORTA (ENTERA)
Torta Helada Chocolate y Vainilla 10 Porciones,,10.0,un,40.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),10.0,un,40.9,TORTA (ENTERA)
Torta Helada de Fresa 20 Porciones,,20.0,un,41.18,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),20.0,un,41.18,TORTA (ENTERA)
Torta Tentación de Lúcuma 16 Porciones,,16.0,un,41.18,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),16.0,un,41.18,TORTA (ENTERA)
Torta Helada Chocolate y Vainilla 10 Porciones,,10.0,un,41.9,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),10.0,un,41.9,TORTA (ENTERA)
Torta Chocomanjar Alfinos 10 Porciones,,10.0,un,41.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),10.0,un,41.9,TORTA (ENTERA)
Torta Tentación de Lúcuma 16 Porciones,,16.0,un,43.43,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),16.0,un,43.43,TORTA (ENTERA)
Torta Tres Leches Selva Negra Cuisine & Co 12 Porciones,,12.0,un,43.92,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),12.0,un,43.92,TORTA (ENTERA)
Torta Charlotte de Chocolate 10 Porciones,,10.0,un,44.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),10.0,un,44.9,TORTA (ENTERA)
Torta Regalo de Chocolate 10 Porciones,,10.0,un,44.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),10.0,un,44.9,TORTA (ENTERA)
Torta Regalo de Chocolate 10 Porciones,,10.0,un,44.9,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),10.0,un,44.9,TORTA (ENTERA)
Torta Helada Mosaico de Duraznos 10 Porciones,,10.0,un,44.9,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),10.0,un,44.9,TORTA (ENTERA)
Torta Alemana con Cerezas 16 Porciones,,16.0,un,44.93,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),16.0,un,44.93,TORTA (ENTERA)
Torta de Chocolate con Manjar 20 Porciones,,20.0,un,44.93,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),20.0,un,44.93,TORTA (ENTERA)
Torta de Chocolate con Manjar 20 Porciones,,20.0,un,44.93,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),20.0,un,44.93,TORTA (ENTERA)
Torta de Chocolate 20 Porciones,,20.0,un,44.93,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),20.0,un,44.93,TORTA (ENTERA)
Torta Selva Negra Cuisine & Co 16 Porciones,,16.0,un,45.68,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),16.0,un,45.68,TORTA (ENTERA)
Torta de Chantilly 16 Porciones,,16.0,un,45.68,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),16.0,un,45.68,TORTA (ENTERA)
Torta Red Velvet Dulce Pasión 10 Porciones,,10.0,un,45.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),10.0,un,45.9,TORTA (ENTERA)
Torta Selva Negra 10 Porciones,,10.0,un,46.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),10.0,un,46.9,TORTA (ENTERA)
Torta de Chantilly 10 Porciones,,10.0,un,46.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),10.0,un,46.9,TORTA (ENTERA)
Torta Tres Leches 16 Porciones,,16.0,un,47.18,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),16.0,un,47.18,TORTA (ENTERA)
Torta de Chocolate con Manjar 16 Porciones,,16.0,un,47.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),16.0,un,47.9,TORTA (ENTERA)
Torta Delicia de Vainilla 20 Porciones,,20.0,un,47.92,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),20.0,un,47.92,TORTA (ENTERA)
Torta Regalo de Chocolate 20 Porciones,,20.0,un,47.92,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),20.0,un,47.92,TORTA (ENTERA)
Torta Piel de Durazno 20 Porciones,,20.0,un,47.92,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),20.0,un,47.92,TORTA (ENTERA)
Torta Tentación de Moka 20 Porciones,,20.0,un,47.92,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),20.0,un,47.92,TORTA (ENTERA)
Torta Selva Negra 10 Porciones,,10.0,un,48.9,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),10.0,un,48.9,TORTA (ENTERA)
Torta Chocococo 16 Porciones,,16.0,un,49.4,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),16.0,un,49.4,TORTA (ENTERA)
Torta Tres Leches Café 10 Porciones,,10.0,un,49.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),10.0,un,49.9,TORTA (ENTERA)
Torta Tres Leches Red Velvet 10 Porciones,,10.0,un,49.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),10.0,un,49.9,TORTA (ENTERA)
Torta Candy Cake 10 Porciones,,10.0,un,49.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),10.0,un,49.9,TORTA (ENTERA)
Torta Tres Leches de Piña Colada Cuisine & Co 10 Porciones,,10.0,un,49.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),10.0,un,49.9,TORTA (ENTERA)
Torta Tres Leches Lúcuma 10 Porciones,,10.0,un,49.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),10.0,un,49.9,TORTA (ENTERA)
Torta Milhojas Rellena de Manjar Redonda 12 Porciones,,12.0,un,49.9,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),12.0,un,49.9,TORTA (ENTERA)
Torta de Maracuyá 16 Porciones,,16.0,un,49.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),16.0,un,49.9,TORTA (ENTERA)
Torta Tres Leches Guanábana 10 Porciones,,10.0,un,49.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),10.0,un,49.9,TORTA (ENTERA)
Torta Tres Leches Frutos del Bosque 10 Porciones,,10.0,un,49.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),10.0,un,49.9,TORTA (ENTERA)
Torta de Guanábana xon Manjarblanco 16 Porciones,,16.0,un,49.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),16.0,un,49.9,TORTA (ENTERA)
Torta de Durazno 16 Porciones,,16.0,un,50.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),16.0,un,50.9,TORTA (ENTERA)
Torta Tres Leches 10 Porciones,,10.0,un,51.9,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),10.0,un,51.9,TORTA (ENTERA)
