description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Gaseosa 7UP En Lata 355 ml,,355.0,ml,5.5,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,355.0,ml,5.5,BEBIDAS GASEOSAS
Gaseosa Sabor Naranja 355 mL,FANTA,355.0,ml,5.5,tottus,2024-12-04 14:00:22.010141,BEBIDAS GASEOSAS,355.0,ml,5.5,BEBIDAS GASEOSAS
Gaseosa sabor piña en lata de 355 mL,FANTA,355.0,ml,5.5,tottus,2024-12-04 14:00:22.010141,BEBIDAS GASEOSAS,355.0,ml,5.5,BEBIDAS GASEOSAS
Gaseosa Cola 2 L,PEPSI,2.0,l,5.5,tottus,2024-12-04 14:00:22.010141,BEBIDAS GASEOSAS,2.0,l,5.5,BEBIDAS GASEOSAS
Gaseosa Pepsi Lata 355 ml,,355.0,ml,5.5,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,355.0,ml,5.5,BEBIDAS GASEOSAS
Gaseosa Guarana Botella 2 L,,2.0,l,5.9,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,2.0,l,5.9,BEBIDAS GASEOSAS
Gaseosa 7 Up Botella 3 L,,3.0,l,5.9,wong,2024-12-04 20:55:03.697733,BEBIDAS GASEOSAS,3.0,l,5.9,BEBIDAS GASEOSAS
Gaseosa Sabor Piña 3 L,CONCORDIA,3.0,l,5.9,tottus,2024-12-04 14:00:22.010141,BEBIDAS GASEOSAS,3.0,l,5.9,BEBIDAS GASEOSAS
Gaseosa Sabor Fresa 3 L,CONCORDIA,3.0,l,5.9,tottus,2024-12-04 14:00:22.010141,BEBIDAS GASEOSAS,3.0,l,5.9,BEBIDAS GASEOSAS
Gaseosa Seven Up 3 L,7UP,3.0,l,5.9,tottus,2024-12-04 14:00:22.010141,BEBIDAS GASEOSAS,3.0,l,5.9,BEBIDAS GASEOSAS
Gaseosa Pepsi Botella No Retornable 2 L,,2.0,l,6.0,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,2.0,l,6.0,BEBIDAS GASEOSAS
Gaseosa SPRITE Botella 2.25L,SPRITE,2.25,l,6.4,vivanda,2024-12-04 18:19:24.589592,BEBIDAS GASEOSAS,2.25,l,6.4,BEBIDAS GASEOSAS
Gaseosa Sprite Lima Limón Botella 2.25L,,2.25,l,6.4,wong,2024-12-04 20:55:03.697733,BEBIDAS GASEOSAS,2.25,l,6.4,BEBIDAS GASEOSAS
Gaseosa Fanta Botella 2.25L,,2.25,l,6.4,wong,2024-12-04 20:55:03.697733,BEBIDAS GASEOSAS,2.25,l,6.4,BEBIDAS GASEOSAS
Gaseosa Fanta Kola Inglesa Botella 2.25L,,2.25,l,6.4,wong,2024-12-04 20:55:03.697733,BEBIDAS GASEOSAS,2.25,l,6.4,BEBIDAS GASEOSAS
