description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Papel Toalla NOVA Clásico Mega Rollo Paquete 2un,NOVA,S/ 7.20,vivanda,PASTELES DULCES,2024-12-06 11:17:52.059934,2.0,un,Papel Toalla NOVA Clásico Mega Rollo Paquete,7.2
Papel Toalla SCOTT Multiusos 2 en 1 Paquete 2un,SUAVE,S/ 7.00,vivanda,PASTELES DULCES,2024-12-06 11:17:52.059934,2.0,un,Papel Toalla SCOTT Multiusos 2 en 1 Paquete,7.0
Papel Toalla SCOTT Calorie Absorb 65 hojas Paquete 4un,SCOTT,S/ 12.40,vivanda,PASTELES DULCES,2024-12-06 11:17:52.059934,4.0,un,Papel Toalla SCOTT Calorie Absorb 65 hojas Paquete,12.4
Papel Higiénico ELITE Ultra Doble Hoja Paquete 12un,ELITE,S/ 29.30,vivanda,PASTELES DULCES,2024-12-06 11:17:52.059934,12.0,un,Papel Higiénico ELITE Ultra Doble Hoja Paquete,29.3
Papel Higiénico SUAVE Esencias Elegance Paquete 32un,SUAVE,S/ 36.90,vivanda,PASTELES DULCES,2024-12-06 11:17:52.059934,32.0,un,Papel Higiénico SUAVE Esencias Elegance Paquete,36.9
Pasta Dental COLGATE Triple Acción Tubo 75ml Paquete 3un,COLGATE,S/ 16.80,vivanda,PASTELES DULCES,2024-12-06 11:17:52.059934,75.0,ml,Pasta Dental COLGATE Triple Acción Tubo  Paquete,16.8
Pasta Dental Colgate Luminous White 2x75ml,COLGATE,S/ 20.90,vivanda,PASTELES DULCES,2024-12-06 11:17:52.059934,75.0,ml,Pasta Dental Colgate Luminous White 2x,20.9
Pasta Dental COLGATE Triple Acción 3x100ml,COLGATE,S/ 19.40,vivanda,PASTELES DULCES,2024-12-06 11:17:52.059934,100.0,ml,Pasta Dental COLGATE Triple Acción 3x,19.4
Papel Higiénico ELITE Premium Triple Hoja Paquete 24un,ELITE,S/ 36.50,vivanda,PASTELES DULCES,2024-12-06 11:17:52.059934,24.0,un,Papel Higiénico ELITE Premium Triple Hoja Paquete,36.5
Papel Toalla NOVA Ultra Absorbente Paquete 2un,NOVA,S/ 7.50,vivanda,PASTELES DULCES,2024-12-06 11:17:52.059934,2.0,un,Papel Toalla NOVA Ultra Absorbente Paquete,7.5
Papel Toalla NOVA Ultra Absorbente Paquete 6un,NOVA,S/ 19.90,vivanda,PASTELES DULCES,2024-12-06 11:17:52.059934,6.0,un,Papel Toalla NOVA Ultra Absorbente Paquete,19.9
Pasta Dental COLGATE Total 12 Clean Mint Tubo 75ml Paquete 3un,COLGATE,S/ 27.10,vivanda,PASTELES DULCES,2024-12-06 11:17:52.059934,75.0,ml,Pasta Dental COLGATE Total 12 Clean Mint Tubo  Paquete,27.1
Pasta de Tomate CASA RINALDI Basílico Frasco 690g,CASA RINALDI,S/ 9.70,vivanda,PASTELES DULCES,2024-12-06 11:17:52.059934,690.0,g,Pasta de Tomate CASA RINALDI Basílico Frasco,9.7
Limpiador Abrillantador para Pisos Laminados MASTER Galonera 2L,MASTER,S/ 32.19,vivanda,PASTELES DULCES,2024-12-06 11:17:52.059934,2.0,l,Limpiador Abrillantador para Pisos Laminados MASTER Galonera,32.19
