Market_name,Category_name,Product_name,Product_description,Product_unit_type,Product_quantity,Product_price,Product_branch,Scrape_timestamp,website
Pedidos Ya Lince,Abarrotes,Cereal Angel Chock Bolsa 420 g,,g,420.0,16.9,Ángel,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Fideo Spaghetti Don Vittorio 950g,Contiene 950 gramos.Pasta de trigo.Tipo: Spaghetti,g,950.0,7.9,Don Vittorio,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Cereal Tito Almohada Angel Chocolate Bolsa 350 g,,g,350.0,16.9,Ángel,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Atún Fanny Filete En Aceite Vegetal 140 Gr,,g,140.0,6.9,Fanny,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Arroz Extra Costeño Bolsa 750 g,,g,750.0,4.9,Costeño,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Trozos Atun Primor 140Gr,,g,140.0,6.5,Primor,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Azúcar Rubia Dulfina Bolsa 1 kg,,kg,1.0,5.6,Dulfina,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Salsa Pomarola Molitalia 145 Gr,,g,145.0,2.5,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Maíz Pop Corn COSTEÑO Bolsa 500g,,g,500.0,5.5,Costeño,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Harina Molitalia Sin Preparar 1Kg,,kg,1.0,7.9,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Pomarola Salsa Clasica Molitalia 290g,,g,290.0,4.5,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Pasta Ensalada Tornillo Molitalia 235G,,g,235.0,2.5,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Leche Condensada Nestlé 393G,,g,393.0,6.9,Nestle,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Filete De Atún En Agua Y Sal Primor 140G,Contiene 140 gramos.Filete de atún.Conservado en agua y sal,g,140.0,6.9,Primor,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Spaghetti Molitalia 950 Gr.,,g,950.0,6.9,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Pasta Molitalia Tornillo Tricolor 235 g,"Contiene 235 gramos.Tornillo Tricolor.Pasta con sémola, tomate y espinaca.Alto en proteínas.Hecho con Trigo Durum",g,235.0,2.5,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Leche Condensada Gloria Doy Pack 200 G,,g,200.0,4.5,Gloria,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Mermelada Gloria Fresa Pote 310G,,g,310.0,7.9,Gloria,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Atún Fanny Trozos En Aceite Vegetal 140 Gr,,g,140.0,7.9,Fanny,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Fideos Cabello De Angel Molitalia 250g,,g,250.0,2.5,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Arroz Extra Costeño Bolsa 5Kg,Contiene 5 kilos.Arroz extra,kg,5.0,28.5,Costeño,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Mermelada Gloria De Fresa Sachet 90G,,g,90.0,1.5,Gloria,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Gloria Leche Condensada Lata 393 g,Parcialmente descremada.Ideal para preparación de postres.Peso: 393 g,g,397.0,7.9,Gloria,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Sopa Instantanea Con Fideos Aji-No-Men Sabor Gallina 80Gr,Contiene 80 gramos.Sopa instantánea con fideos.Sabor: Gallina.Rinde 2 porciones,g,80.0,2.1,Aji-No-Men,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Azúcar Rubia Cartavio 1 kg,,kg,1.0,5.5,Cartavio,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Mermelada Gloria De Fresa Vaso 290G,,g,290.0,5.5,Gloria,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Sopa Instantanea Con Fideos Aji-No-Men Sabor Gallina Picante 80Gr,,g,80.0,2.1,Aji-No-Men,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Mermelada Gloria De Fresa Doypack 700G,,g,700.0,11.0,Gloria,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Spaghetti Molitalia 450 Gr,Contiene 450g.Spaghetti de rápida cocción.Elaborado con ingredientes de calidad,g,450.0,3.6,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Harina Molitalia Preparada 1Kg,,kg,1.0,8.9,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Salsa A La Bolognesa Molitalia 170g,Contiene 170 gramos.Salsa de tomates con carne y verduras.Elaborada con al menos 6 tomates,g,170.0,3.9,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Arroz Superior Costeño Bolsa 5Kg,Contiene 5 kilos.Arroz superior,kg,5.0,26.5,Costeño,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Molitalia Macarron Molitalia 235 Gr,,g,235.0,2.5,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Salsa De Espinaca Y Albahaca Pomarola Molitalia 110G,,g,110.0,3.5,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Molitalia Tornillo Molitalia 235 Gr,,g,235.0,2.5,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Fideo Don Vittorio Spaghetti 450 g,Contiene 450 gramos.Pasta de trigo.Tipo: Spaghetti,g,450.0,4.9,Don Vittorio,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Mayonesa AlaCena Doypack 475 g,"Deliciosa y potente Mayonesa 500 g, perfecta para añadir a tus platos favoritos. Elaborada con selectos y naturales ingredientes.",ml,500.0,14.9,A La Cena,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Salsa A La Bolognesa Molitalia 370g,Contiene 370 gramos.Salsa de tomates con carne y verduras.Elaborada con al menos 6 tomates,g,370.0,7.2,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Molitalia Caracol Chico Molitalia 235 Gr,,g,235.0,2.5,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Fideo Tallarin Molitalia 450 g,Contiene 450 gramos.Tallarín de rápida cocción.Elaborado con ingredientes de calidad.Naturalmente alto en proteínas,g,450.0,3.6,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Sirope Laive Sabor A Maple 355 mL,,ml,355.0,10.9,Laive,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Molitalia Codo Ray Mediano Molitalia 235 Gr,,g,235.0,2.5,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Sémola Molitalia 200Gr,,g,200.0,2.1,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Pasta Corta Tornillo Bolsa 500 g,,g,500.0,3.4,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Fideo Letras Molitalia 235 g,,g,235.0,2.5,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Fideo Rigatoni Molitalia 235 g,,g,235.0,2.5,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Gelatina Laive Sabor Fresa Yopi 120G,,g,120.0,2.5,Laive,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Pasta Corta Macarrón Bolsa 500 g,,g,500.0,3.4,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Barras De Cereal Chips Cereal Bar Costa 21 Gr.,Contiene 12 barras barras de cereal.Sabor chispas de chocolate.Contenido: 252 g,g,21.0,7.2,Costa,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Molitalia Canuto Molitalia 235 Gr,,g,235.0,2.5,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Quinua Costeño Bolsa 500G,,g,500.0,10.9,Costeño,2024-12-09 02:20:16.666246,Pedidos Ya
