Market_name,Category_name,Product_name,Product_description,Product_price,Scrape_timestamp,Product_unit_type,Product_quantity,Product_branch
Pedidos Ya Lince,Abarrotes,Aceite Vegetal Primor Botella 1.8L,Contiene 1.8 litros.Aceite vegetal100% vegetal.Sin antioxidantes ni sintéticos,19.9,2024-12-04 02:14:47.299084,l,1.8,Primor
Pedidos Ya Lince,Abarrotes,Cereal Angel Meli Bolsa 420 g,,16.9,2024-12-04 02:14:47.299084,g,420.0,Ángel
Pedidos Ya Lince,Abarrotes,Fideo Don Vittorio Codo Rayado 225g,"Elaborado con trigo durum canadiense de alto contenido proteico, garantizando calidad y sabor excepcionales.",3.0,2024-12-04 02:14:47.299084,g,225.0,Don Vittorio
Pedidos Ya Lince,Abarrotes,Cereal Angel Zuck Bolsa 500 g,,16.9,2024-12-04 02:14:47.299084,g,500.0,Ángel
Pedidos Ya Lince,Abarrotes,Fideo Linguini Don Vittorio 450g,Contiene 450 gramos.Pasta de trigo.Tipo: Linguini,4.9,2024-12-04 02:14:47.299084,g,450.0,Don Vittorio
Pedidos Ya Lince,Abarrotes,Cereal Angel Chock Bolsa 420 g,,16.9,2024-12-04 02:14:47.299084,g,420.0,Ángel
Pedidos Ya Lince,Abarrotes,Cereal Tito Almohada Angel Chocolate Bolsa 350 g,,16.9,2024-12-04 02:14:47.299084,g,350.0,Ángel
Pedidos Ya Lince,Abarrotes,Pack 2 Harina Molitalia Sin Preparar 1 kg,,15.8,2024-12-04 02:14:47.299084,kg,1.0,Molitalia
Pedidos Ya Lince,Abarrotes,Pack 2 Fideo Don Vittorio Spaghetti 450 g,,10.4,2024-12-04 02:14:47.299084,g,450.0,Don Vittorio
Pedidos Ya Lince,Abarrotes,Atún Fanny Filete En Aceite Vegetal 140 Gr,,6.9,2024-12-04 02:14:47.299084,g,140.0,Fanny
Pedidos Ya Lince,Abarrotes,Pack 2 Salsa Alacena Mayonesa 850 g,,39.8,2024-12-04 02:14:47.299084,g,850.0,Alacena
Pedidos Ya Lince,Abarrotes,Pack 2 Mayonesa Alacena Doypack 475 g,,29.0,2024-12-04 02:14:47.299084,g,475.0,Alacena
Pedidos Ya Lince,Abarrotes,Arroz Extra Costeño Bolsa 750 g,,4.9,2024-12-04 02:14:47.299084,g,750.0,Costeño
Pedidos Ya Lince,Abarrotes,Trozos Atun Primor 140Gr,,6.5,2024-12-04 02:14:47.299084,g,140.0,Primor
Pedidos Ya Lince,Abarrotes,Azúcar Rubia Dulfina Bolsa 1 kg,,5.6,2024-12-04 02:14:47.299084,kg,1.0,Dulfina
Pedidos Ya Lince,Abarrotes,Salsa Pomarola Molitalia 145 Gr,,2.5,2024-12-04 02:14:47.299084,g,145.0,Molitalia
Pedidos Ya Lince,Abarrotes,Maíz Pop Corn COSTEÑO Bolsa 500g,,5.5,2024-12-04 02:14:47.299084,g,500.0,Costeño
Pedidos Ya Lince,Abarrotes,Atún Fanny Trozos En Aceite Vegetal 140 Gr,,7.9,2024-12-04 02:14:47.299084,g,140.0,Fanny
Pedidos Ya Lince,Abarrotes,Spaghetti Molitalia 950 Gr.,,6.9,2024-12-04 02:14:47.299084,g,950.0,Molitalia
Pedidos Ya Lince,Abarrotes,Pasta Ensalada Tornillo Molitalia 235G,,2.5,2024-12-04 02:14:47.299084,g,235.0,Molitalia
Pedidos Ya Lince,Abarrotes,Filete De Atún En Agua Y Sal Primor 140G,Contiene 140 gramos.Filete de atún.Conservado en agua y sal,6.9,2024-12-04 02:14:47.299084,g,140.0,Primor
Pedidos Ya Lince,Abarrotes,Harina Molitalia Sin Preparar 1Kg,,7.9,2024-12-04 02:14:47.299084,kg,1.0,Molitalia
Pedidos Ya Lince,Abarrotes,Leche Condensada Nestlé 393G,,6.9,2024-12-04 02:14:47.299084,g,393.0,Nestle
