description,price,website,search_term,scrape_timestamp
Crema de Avellanas Nutella 350g,S/ 38.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Crema a Base de Mantequilla Laive 350g,S/ 13.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Crema de Mantequilla Light Laive 180g,S/ 15.49,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Crema de Avellanas Nutella 650g,S/ 69.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Margarina Sello de Oro Barra 90g,S/ 3.30,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Crema Avellanas con Cacao Cuisine & Co 350g,S/ 11.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Margarina Dorina Clásica 220g,S/ 6.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Sazonador de Pop Corn Sabor Mantequilla Costeño Pops 81g,S/ 11.20,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Margarina Dorina Light Pote 450 g,S/ 10.50,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Margarina Manty Clásica 300g,S/ 5.60,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Crema de Almendras Cuisine & Co Frasco 410g,S/ 55.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Crema de Avellanas Nutella 200g,S/ 28.50,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Margarina Dorina Light 220g,S/ 6.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Aceite de Mantequilla Fat Free Pam Spray 141 g,S/ 30.80,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
U-Thil Papel Mantequilla Rollo 23 m,S/ 20.99,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Galletas de Mantequilla Moments 280g,S/ 7.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Margarina Sello de Oro Pote 400g,S/ 8.99,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Galletas de Mantequilla Cuisine & Co 340g,S/ 12.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Rosquitas de Mantequilla Natural La Cajamarqueza Bolsa 360 g,S/ 13.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Margarina Dorina Clásica 450g,S/ 10.50,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Pop Corn para Microondas Act II Sabor Mantequilla 91g,S/ 4.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Crema de Avellanas Duo Cuisine & Co 350g,S/ 11.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Chocolate con Mantequilla de Maní Reese's 42g,S/ 5.00,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Barra Energética Sabor Mantequilla de Maní Caja 5 unid,S/ 12.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Sixpack Galletas Saladas Club Social Sabor Mantequilla 24g,S/ 5.20,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Margarina Dorina Clásica 900g,S/ 19.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Crema de Avellanas Nutella 140g,S/ 20.50,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Margarina Laive Swis 200g,S/ 4.99,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Margarina Laive Swis 450g,S/ 11.40,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Crema de Maní Skippy 462g,S/ 30.40,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Crema de Avellanas y Cacao Zana Isatella 210g,S/ 43.60,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Rosquitas al Ajo con Mantequilla y Orégano Bolsa 350 g,S/ 13.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Tripack Sixpack Galletas Saladas Club Social Sabor Mantequilla 24g,S/ 10.80,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Crema de Maní Skippy Natural 425g,S/ 30.40,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
