unit,description,price,website,search_term,scrape_timestamp
Presentación 0.25 kg aprox.,Queso Edam Light LAIVE Molde 1Kg,S/ 13.75,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
Bolsa 560g,Pan de Molde Marmoleado DON MAMINO sin Corteza...,S/ 13.50 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
Doypack 368g,Mostaza HEINZ Doypack 368g,S/ 13.90 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
Doypack 200g,Café Tostado Molido ALTOMAYO Natural Doypack 2...,S/ 11.10 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
Bolsa 200g,Tostadas Clásicas LA FLORENCIA Bolsa 200g,S/ 7.90 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
Bolsa 500g,Pan de Molde Blanco BELL’S Tipo Fuente Corte V...,S/ 11.20 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
Bolsa 200g,Café Tostado Molido ALTOMAYO Gourmet Bolsa 200...,S/ 17.90 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
Bolsa 500g,Pan de Molde Integral 6 Semillas LA FLORENCIA ...,S/ 12.90 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
Paquete 3un,Pack BIMBO Tostada Clásica 1unid + Tostada Int...,S/ 16.30 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
Bolsa 500g,Pan de Molde Integral Multicereal LA FLORENCIA...,S/ 12.90 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
Bolsa 36un,Mini Tostadas Integrales LA FLORENCIA Bolsa 36...,S/ 7.50 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
Bolsa 500g,Sal Rosada de Maras PERUVIAN Gruesa Bolsa 500g,S/ 8.90 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
Frasco 255g,Mostaza HEINZ Frasco 255g,S/ 13.70 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
Paquete 118g,Tostadas PYC Clásicas Paquete 118g,S/ 6.70 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
Bolsa 560g,Pan de Molde Blanco DON MAMINO Pullman Corte H...,S/ 12.50 un,plaza_vea,TOSTADAS (MOLDE),2024-12-07 13:08:52.897640
