unit,description,price,website,search_term,scrape_timestamp
,Dispensador de Menestras con Depósito para Hue...,S/ 119 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador de Menestras con Depósito para Hue...,S/ 119 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,DISPENSADOR DE MENESTRA ACRILICO COLOR VERDE,S/ 65 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,LEGO 76413 Hogwarts™: Sala de los Menesteres,S/ 279.30 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador de Arroz Menestras Cereales de 6 ...,S/ 59.90 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Set X3 Contenedor Recipiente Dispensador de Me...,S/ 62.90 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador De 2 Divisiones Para Cereales Mene...,S/ 49.90 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador de Menestras Organización de Cocin...,S/ 74.90 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Bolsas de Menestras 2.5Kg x 3 Unidades,S/ 19.50 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador Multiuso de Doble Espacio Para Cer...,S/ 49.90 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador de Cereales y Menestras 6 Niveles,S/ 59.99 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador Giratorio de Menestras,S/ 98.99 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador de Menestras Circular,S/ 33.50 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador de menestras generico transparente,S/ 75 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador de Cereales Menestras 6 Divisiones,S/ 117 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador de Menestras,S/ 109 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador de Menestra 10kg Cocina,S/ 159 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador de Menestras y Cereales de Cocina,S/ 107 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador de Menestra 10kg Organizador Cocin...,S/ 99 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador De Menestras Arroz Cereal Con 6 Di...,S/ 59.90 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador de Menestras y Cereales Giratorio,S/ 99.90 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador de Menestras y Cereales Rectangula...,S/ 62.50 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
,Dispensador de Menestra Giratorio 6KG Verde,S/ 155 un,plaza_vea,MENESTRAS SANCOCHADAS,2024-12-07 14:32:04.238275
