unit,description,price,website,search_term,scrape_timestamp
Envase 16g,Caramelos TIC TAC Menta Envase 16g,S/ 3.10 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Paquete 9un,Caramelos HALLS Menta Eucalipto Paquete 9un,S/ 2.10 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 20un,Caramelos SPARKIES Bolsa 20un,S/ 20.30 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 400g,Caramelos Masticables MOGUL Super Blandos Bols...,S/ 13 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Paquete 14g,Caramelos Ring Pop TOPPS Surtidos Unidad 14g,S/ 2.50 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Caja 12un,Caramelos HALLS Menthol Lyptus Caja 12un,S/ 24 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Paquete 9un,Caramelos HALLS Cereza Eucalipto Paquete 9un,S/ 24 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Paquete 29.04g,Caramelos Masticables MENTOS Limón Paquete 29....,S/ 2 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
,Adorno DECO HOME Caramelos 2un Dul N,S/ 6.90 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
,Set de Adornos para Árbol DECO HOME Caramelos ...,S/ 7.90 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 125g,Tronquitos de Chocolate 2 CERRITOS Caramelos B...,S/ 8.40 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Caja 12un,Caramelos HALLS Mora Azul Lyptus Caja 12un,S/ 24 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
,Caramelos TIC TAC Menta Intensa Envase 16g,S/ 2.60 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Lata 35g,Caramelos MENTOS Kiss Fresa Lata 35g,S/ 9.90 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 2.17Oz,Caramelos SKITTLES WILD BERRY Sabor de frutas ...,S/ 5 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Caja 100g,Peccanroll HELENA Caramelo Crunch Caja 100g,S/ 17.50 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Caja 1un,Caramelos MULTIBIOTICOS Duros sin Azúcar con S...,S/ 18.90 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Pote 473ml,Helado HÄAGEN DAZS de Vainilla Caramelo y Brow...,S/ 29.90 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Caja 12un,Caramelos HALLS Extra Fuerte Caja 12un,S/ 24 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
,Adorno para Árbol DECO HOME Caramelo Surtido D...,S/ 10.90 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 58.7g,Caramelos Masticables STARBUST Sabores Surtido...,S/ 5 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Caja 12un,Caramelos HALLS Fruit Mix Caja 12un,S/ 24 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Barra 15g,Caramelo PUSH POP Surtido Barra 15g,S/ 4.80 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
,Fuente de Caramelo DECO HOME Dulce Navidad,S/ 14.90 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Caja 1un,Tinte para Cabello SOFT COLOR Sin Amoníaco 63 ...,S/ 29.90 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 125g,Tronquitos Surtidos 2 CERRITOS Caramelos Bland...,S/ 8.40 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 1un,Bastón de Caramelo,S/ 1.80 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Frasco 80ml,Ambientador Varita Vainilla Caramelo ETERNA Bi...,S/ 18.50 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 125g,Confite Surtidos 2 CERRITOS Caramelos Blandos ...,S/ 8.30 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Caja 1un,Caramelos MULTIBIOTICOS Duros sin Azúcar con S...,S/ 18.90 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 365g,Caramelos Rellenos con Chicle ARCOR Dragon Bal...,S/ 10.80 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
Bolsa 456g,Chupetes BOM BOM BUM con Chicle sabor Fresa Bo...,S/ 8 un,plaza_vea,CARAMELOS,2024-12-07 14:21:07.080574
