description,price,website,search_term,scrape_timestamp
Café Instantáneo Gourmet Altomayo Doy Pack 45 gr,S/ 8.50,tambo,CAFÉ INSTANTÁNEO,2024-12-05 14:43:57.467689
Café Instantáneo Clásico Altomayo Doy Pack 100 gr,S/ 11.50,tambo,CAFÉ INSTANTÁNEO,2024-12-05 14:43:57.467689
