unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Paquete 200g,Tocino Ahumado CASA EUROPA Paquete 200g,S/ 16.90 un,plaza_vea,TOCINO AHUMADO,2024-12-07 13:27:29.510908,200.0,g,Tocino Ahumado CASA EUROPA Paquete,16.9
Paquete 100g,Tocino Ahumado BELL'S SELECCIÓN Paquete 100g,S/ 7.90 un,plaza_vea,TOCINO AHUMADO,2024-12-07 13:27:29.510908,100.0,g,Tocino Ahumado BELL'S SELECCIÓN Paquete,7.9
Paquete 200g,Tocino Ahumado BRAEDT Paquete 200g,S/ 15.50 un,plaza_vea,TOCINO AHUMADO,2024-12-07 13:27:29.510908,200.0,g,Tocino Ahumado BRAEDT Paquete,15.5
Bolsa 150g,Tocino Cocido Ahumado SANT DALMAI Paquete 150g,S/ 9.50 un,plaza_vea,TOCINO AHUMADO,2024-12-07 13:27:29.510908,150.0,g,Tocino Cocido Ahumado SANT DALMAI Paquete,9.5
Paquete 150g,Tocino Ahumado OTTO KUNZ Paquete 150g,S/ 13.20 un,plaza_vea,TOCINO AHUMADO,2024-12-07 13:27:29.510908,150.0,g,Tocino Ahumado OTTO KUNZ Paquete,13.2
Paquete 200g,Tocino Ahumado SALCHICHERÍA SUIZA Paquete 200g,S/ 15.50 un,plaza_vea,TOCINO AHUMADO,2024-12-07 13:27:29.510908,200.0,g,Tocino Ahumado SALCHICHERÍA SUIZA Paquete,15.5
Bolsa 200g,Tocino Cocido SANT DALMAI Ahumado Bolsa 200g,S/ 14.90 un,plaza_vea,TOCINO AHUMADO,2024-12-07 13:27:29.510908,200.0,g,Tocino Cocido SANT DALMAI Ahumado Bolsa,14.9
Bolsa 500g,Tocino Cocido SANT DALMAI Ahumado Bolsa 500g,S/ 17.90 un,plaza_vea,TOCINO AHUMADO,2024-12-07 13:27:29.510908,500.0,g,Tocino Cocido SANT DALMAI Ahumado Bolsa,17.9
Paquete 200g,Tocino Ahumado OREGON FOOD'S Paquete 200g,S/ 16.80 un,plaza_vea,TOCINO AHUMADO,2024-12-07 13:27:29.510908,200.0,g,Tocino Ahumado OREGON FOOD'S Paquete,16.8
