description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Bebida de Almendras NATURE'S HEART Almendra y Coco Caja 946ml,NATURE'S HEART,S/ 12.50,vivanda,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 14:55:27.711845,946.0,ml,Bebida de Almendras NATURE'S HEART Almendra y Coco Caja,12.5
Bebida de Almendra NATURE'S HEART Sin Azúcar Caja 946ml,NATURE'S HEART,S/ 10.50,vivanda,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 14:55:27.711845,946.0,ml,Bebida de Almendra NATURE'S HEART Sin Azúcar Caja,10.5
Bebida de Almendra LAIVE Vio sin Endulzante Tetrapack 946ml,LAIVE,S/ 9.90,vivanda,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 14:55:27.711845,946.0,ml,Bebida de Almendra LAIVE Vio sin Endulzante Tetrapack,9.9
Bebida de Almendra sin Azúcar NATURES HEART Caja 946ml Paquete 2un,NATURE'S HEART,S/ 18.50,vivanda,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 14:55:27.711845,946.0,ml,Bebida de Almendra sin Azúcar NATURES HEART Caja  Paquete,18.5
Bebida de Coco y Vainilla NATURE'S HEART sin Azúcar Caja 946ml,NATURE'S HEART,S/ 12.50,vivanda,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 14:55:27.711845,946.0,ml,Bebida de Coco y Vainilla NATURE'S HEART sin Azúcar Caja,12.5
Bebida Rehidratante SPORADE Sabores Surtidos Botella 500ml Paquete 6un,SPORADE,S/ 9.90,vivanda,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 14:55:27.711845,500.0,ml,Bebida Rehidratante SPORADE Sabores Surtidos Botella  Paquete,9.9
Bebida Rehidratante SPORADE Tropical Electrolitos Botella 1.5L,SPORADE,S/ 5.50,vivanda,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 14:55:27.711845,1.5,l,Bebida Rehidratante SPORADE Tropical Electrolitos Botella,5.5
Bebida Rehidratante SUEROX Surtido Botella 630ml Paquete 4un,SUEROX,S/ 19.50,vivanda,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 14:55:27.711845,630.0,ml,Bebida Rehidratante SUEROX Surtido Botella  Paquete,19.5
Bebida FRUGOS Sabor a Mango Caja 970ml,FRUGOS,S/ 3.90,vivanda,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 14:55:27.711845,970.0,ml,Bebida FRUGOS Sabor a Mango Caja,3.9
Bebida Rehidratante GATORADE Sabores Surtidos Botella 500ml Paquete 6un,GATORADE,S/ 12.70,vivanda,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 14:55:27.711845,500.0,ml,Bebida Rehidratante GATORADE Sabores Surtidos Botella  Paquete,12.7
Bebida de Coco NATURES HEART sin Azúcar Botella 946ml,NATURE'S HEART,S/ 10.50,vivanda,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 14:55:27.711845,946.0,ml,Bebida de Coco NATURES HEART sin Azúcar Botella,10.5
Bebida de Avena ORASI Caja 1L,ORASI,S/ 14.60,vivanda,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 14:55:27.711845,1.0,l,Bebida de Avena ORASI Caja,14.6
Bebida de Almendra LAIVE Vio Caja 946ml Paquete 2un,LAIVE,S/ 18.50,vivanda,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 14:55:27.711845,946.0,ml,Bebida de Almendra LAIVE Vio Caja  Paquete,18.5
Bebida de Arándanos L'ONDA con Té Verde Botella 1L,L ONDA,S/ 8.99,vivanda,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 14:55:27.711845,1.0,l,Bebida de Arándanos L'ONDA con Té Verde Botella,8.99
Bebida Aloe KERO Piña Botella 300ml,KERO,S/ 3.00,vivanda,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 14:55:27.711845,300.0,ml,Bebida Aloe KERO Piña Botella,3.0
Bebida Vegetal NOT MILK Low Fat Caja 1L,POWER NATURE,S/ 15.90,vivanda,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 14:55:27.711845,1.0,l,Bebida Vegetal NOT MILK Low Fat Caja,15.9
Bebida de Almendra LAIVE Vio Tetrapack 946ml,LAIVE,S/ 12.00,vivanda,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 14:55:27.711845,946.0,ml,Bebida de Almendra LAIVE Vio Tetrapack,12.0
Bebida de Soya LAIVE Vio Tetrapack 946ml,LAIVE,S/ 7.90,vivanda,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 14:55:27.711845,946.0,ml,Bebida de Soya LAIVE Vio Tetrapack,7.9
Bebida Light OCEAN SPRAY Cranberry Caja 1L,OCEAN SPRAY,S/ 17.00,vivanda,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 14:55:27.711845,1.0,l,Bebida Light OCEAN SPRAY Cranberry Caja,17.0
Bebida de Coco LAIVE Vio Tetrapack 946ml,LAIVE,S/ 12.00,vivanda,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 14:55:27.711845,946.0,ml,Bebida de Coco LAIVE Vio Tetrapack,12.0
Bebida Vegetal NOT MILK Chocolate Caja 1L,POWER NATURE,S/ 15.90,vivanda,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 14:55:27.711845,1.0,l,Bebida Vegetal NOT MILK Chocolate Caja,15.9
Bebida Instantánea de Cebada ECCO Doypack 250g,ECCO,S/ 13.90,vivanda,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 14:55:27.711845,250.0,g,Bebida Instantánea de Cebada ECCO Doypack,13.9
Bebida de Almendras ORASI UHT sin Azúcar Caja 1L,ORASI,S/ 15.60,vivanda,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 14:55:27.711845,1.0,l,Bebida de Almendras ORASI UHT sin Azúcar Caja,15.6
Bebida de Almendra SILK Vainilla Caja 946ml,SILK,S/ 19.00,vivanda,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 14:55:27.711845,946.0,ml,Bebida de Almendra SILK Vainilla Caja,19.0
Bebida de Soya SOY VIDA Lata 390g Paquete 6un,SOY VIDA,S/ 15.00,vivanda,BEBIDA ENERGIZANTE (FLUIDA),2024-12-07 14:55:27.711845,390.0,g,Bebida de Soya SOY VIDA Lata  Paquete,15.0
