description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Bebida de Soya LAIVE Vio Tetrapack 946ml,LAIVE,S/ 7.90,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-07 14:56:35.380776,946.0,ml,Bebida de Soya LAIVE Vio Tetrapack,7.9
Bebida Light OCEAN SPRAY Cranberry Caja 1L,OCEAN SPRAY,S/ 17.00,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-07 14:56:35.380776,1.0,l,Bebida Light OCEAN SPRAY Cranberry Caja,17.0
Bebida de Coco LAIVE Vio Tetrapack 946ml,LAIVE,S/ 12.00,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-07 14:56:35.380776,946.0,ml,Bebida de Coco LAIVE Vio Tetrapack,12.0
Bebida Vegetal NOT MILK Chocolate Caja 1L,POWER NATURE,S/ 15.90,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-07 14:56:35.380776,1.0,l,Bebida Vegetal NOT MILK Chocolate Caja,15.9
Bebida Instantánea de Cebada ECCO Doypack 250g,ECCO,S/ 13.90,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-07 14:56:35.380776,250.0,g,Bebida Instantánea de Cebada ECCO Doypack,13.9
Bebida de Almendras ORASI UHT sin Azúcar Caja 1L,ORASI,S/ 15.60,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-07 14:56:35.380776,1.0,l,Bebida de Almendras ORASI UHT sin Azúcar Caja,15.6
Bebida de Almendra SILK Vainilla Caja 946ml,SILK,S/ 19.00,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-07 14:56:35.380776,946.0,ml,Bebida de Almendra SILK Vainilla Caja,19.0
Bebida de Soya SOY VIDA Lata 390g Paquete 6un,SOY VIDA,S/ 15.00,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-07 14:56:35.380776,390.0,g,Bebida de Soya SOY VIDA Lata  Paquete,15.0
Bebida Rehidratante SUEROX Sabor a Fresa - Kiwi Botella 630ml,SUEROX,S/ 6.50,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-07 14:56:35.380776,630.0,ml,Bebida Rehidratante SUEROX Sabor a Fresa - Kiwi Botella,6.5
Bebida GLORIA Mango Caja 1L,GLORIA,S/ 4.40,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-07 14:56:35.380776,1.0,l,Bebida GLORIA Mango Caja,4.4
Bebida Rehidratante ELECTROLIGHT Manzana Botella 475ml,ELECTROLIGHT,S/ 2.10,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-07 14:56:35.380776,475.0,ml,Bebida Rehidratante ELECTROLIGHT Manzana Botella,2.1
Frutas en Conserva FRUTO DE ORO Pera en Mitades Lata 820g,FRUTO DE ORO,S/ 11.30,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-07 14:56:35.380776,820.0,g,Frutas en Conserva FRUTO DE ORO Pera en Mitades Lata,11.3
Bebida Rehidratante GATORADE Apple Ice Botella 500ml,GATORADE,S/ 2.90,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-07 14:56:35.380776,500.0,ml,Bebida Rehidratante GATORADE Apple Ice Botella,2.9
Bebida FRUGOS Piña y Mandarina Caja 1L,FRUGOS,S/ 4.50,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-07 14:56:35.380776,1.0,l,Bebida FRUGOS Piña y Mandarina Caja,4.5
Bebida de Soya sin Azúcar con Monkfruit SILK Caja 946ml,SILK,S/ 14.99,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-07 14:56:35.380776,946.0,ml,Bebida de Soya sin Azúcar con Monkfruit SILK Caja,14.99
Bebida Rehidratante GATORADE Gatorlyte Fresa-Kiwi 591ml,GATORADE,S/ 5.00,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-07 14:56:35.380776,591.0,ml,Bebida Rehidratante GATORADE Gatorlyte Fresa-Kiwi,5.0
Bebida Rehidratante GATORADE Gatorlyte Uva 591ml,GATORADE,S/ 5.00,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-07 14:56:35.380776,591.0,ml,Bebida Rehidratante GATORADE Gatorlyte Uva,5.0
Bebidas Energizantes RED BULL Ambar Edition Lata 250ml,RED BULL,S/ 7.80,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-07 14:56:35.380776,250.0,ml,Bebidas Energizantes RED BULL Ambar Edition Lata,7.8
Bebida de Almendra SILK Vainilla sin Azúcar Caja 946ml,SILK,S/ 19.60,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-07 14:56:35.380776,946.0,ml,Bebida de Almendra SILK Vainilla sin Azúcar Caja,19.6
Bebida FRUGOS DEL VALLE Sabor a Manzana Caja 970ml,FRUGOS,S/ 3.90,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-07 14:56:35.380776,970.0,ml,Bebida FRUGOS DEL VALLE Sabor a Manzana Caja,3.9
Bebida Energizante RED BULL Tropical Lata 250ml,RED BULL,S/ 7.80,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-07 14:56:35.380776,250.0,ml,Bebida Energizante RED BULL Tropical Lata,7.8
Bebida Carbonatada RED BULL Green Edition Lata 250ml,RED BULL,S/ 7.80,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-07 14:56:35.380776,250.0,ml,Bebida Carbonatada RED BULL Green Edition Lata,7.8
Bebida de Almendra SILK sin Azúcar Caja 946ml,SILK,S/ 19.00,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-07 14:56:35.380776,946.0,ml,Bebida de Almendra SILK sin Azúcar Caja,19.0
Bebida de Durazno FRUGOS Caja 970ml,FRUGOS,S/ 3.90,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-07 14:56:35.380776,970.0,ml,Bebida de Durazno FRUGOS Caja,3.9
