description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Sazonador Pops COSTEÑO de Pop Corn Sabor Mantequilla Frasco 81g,COSTEÑO,S/ 11.20,vivanda,MANTEQUILLA ENVASADA,2024-12-07 14:17:17.927717,81.0,g,Sazonador Pops COSTEÑO de Pop Corn Sabor Mantequilla Frasco,11.2
Aceite BELL'S Mantequilla Spray 150ml,BELL'S,S/ 15.90,vivanda,MANTEQUILLA ENVASADA,2024-12-07 14:17:17.927717,150.0,ml,Aceite BELL'S Mantequilla Spray,15.9
Cereal en Barra DYFFERENT Mantequilla de Maní Caja 175g,DYFFERENT,S/ 12.20,vivanda,MANTEQUILLA ENVASADA,2024-12-07 14:17:17.927717,175.0,g,Cereal en Barra DYFFERENT Mantequilla de Maní Caja,12.2
Galletas COLOMBINA Butters cookies De mantequilla Bolsa 280Gr,COLOMBINA,S/ 7.90,vivanda,MANTEQUILLA ENVASADA,2024-12-07 14:17:17.927717,280.0,g,Galletas COLOMBINA Butters cookies De mantequilla Bolsa r,7.9
Crema a Base de Mantequilla LAIVE Pote 350g,LAIVE,S/ 15.00,vivanda,MANTEQUILLA ENVASADA,2024-12-07 14:17:17.927717,350.0,g,Crema a Base de Mantequilla LAIVE Pote,15.0
Aceite en Spray PAM Sabor a Mantequilla Frasco 141ml,PAM,S/ 29.90,vivanda,MANTEQUILLA ENVASADA,2024-12-07 14:17:17.927717,141.0,ml,Aceite en Spray PAM Sabor a Mantequilla Frasco,29.9
Lentejas con Mantequilla de Maní M&M Bolsa 46.2g,M&M,S/ 4.60,vivanda,MANTEQUILLA ENVASADA,2024-12-07 14:17:17.927717,46.2,g,Lentejas con Mantequilla de Maní M&M Bolsa,4.6
Maíz Pop Corn PLANET POP Mantequilla Paquete 3un,PLANET POP,S/ 10.70,vivanda,MANTEQUILLA ENVASADA,2024-12-07 14:17:17.927717,3.0,un,Maíz Pop Corn PLANET POP Mantequilla Paquete,10.7
Aceite en Spray Sabor a Mantequilla OLEICO Frasco 170g,OLEICO,S/ 23.60,vivanda,MANTEQUILLA ENVASADA,2024-12-07 14:17:17.927717,170.0,g,Aceite en Spray Sabor a Mantequilla OLEICO Frasco,23.6
Pop Corn PLANET POP Mantequilla Bolsa 85g,PLANET POP,S/ 3.80,vivanda,MANTEQUILLA ENVASADA,2024-12-07 14:17:17.927717,85.0,g,Pop Corn PLANET POP Mantequilla Bolsa,3.8
Sazonador Pop Corn BELL'S Sabor a Mantequilla Frasco 80g,BELL'S,S/ 10.40,vivanda,MANTEQUILLA ENVASADA,2024-12-07 14:17:17.927717,80.0,g,Sazonador Pop Corn BELL'S Sabor a Mantequilla Frasco,10.4
Canchita para Microondas ACT II con Mantequilla Extra Bolsa 80g,ACT II,S/ 4.90,vivanda,MANTEQUILLA ENVASADA,2024-12-07 14:17:17.927717,80.0,g,Canchita para Microondas ACT II con Mantequilla Extra Bolsa,4.9
Palomitas de Maíz PLANET POP Mantequilla Extrema Paquete 3un,PLANET POP,S/ 10.70,vivanda,MANTEQUILLA ENVASADA,2024-12-07 14:17:17.927717,3.0,un,Palomitas de Maíz PLANET POP Mantequilla Extrema Paquete,10.7
Ensalada Rusa BELL'S Bolsa 500g,BELL'S,S/ 6.49,vivanda,MANTEQUILLA ENVASADA,2024-12-07 14:17:17.927717,500.0,g,Ensalada Rusa BELL'S Bolsa,6.49
Ensalada Col Zanahoria BELL'S FRESCOS Bolsa 250g,BELL'S FRESCOS,S/ 4.69,vivanda,MANTEQUILLA ENVASADA,2024-12-07 14:17:17.927717,250.0,g,Ensalada Col Zanahoria BELL'S FRESCOS Bolsa,4.69
Ensalada Mix Primavera BELL'S FRESCOS Bolsa 150g,BELL'S FRESCOS,S/ 7.49,vivanda,MANTEQUILLA ENVASADA,2024-12-07 14:17:17.927717,150.0,g,Ensalada Mix Primavera BELL'S FRESCOS Bolsa,7.49
Ensalada Rusa BELL'S FRESCOS Bolsa 500g,BELL'S FRESCOS,S/ 9.49,vivanda,MANTEQUILLA ENVASADA,2024-12-07 14:17:17.927717,500.0,g,Ensalada Rusa BELL'S FRESCOS Bolsa,9.49
Ensalada Mix BELL'S FRESCOS Bolsa 150g,BELL'S FRESCOS,S/ 6.59,vivanda,MANTEQUILLA ENVASADA,2024-12-07 14:17:17.927717,150.0,g,Ensalada Mix BELL'S FRESCOS Bolsa,6.59
Ensalada Italiana HOME CHEF Bandeja 1un,HOME CHEF,S/ 14.20,vivanda,MANTEQUILLA ENVASADA,2024-12-07 14:17:17.927717,1.0,un,Ensalada Italiana HOME CHEF Bandeja,14.2
