description,price,website,search_term,scrape_timestamp
Espumante Opera Love 750 ml,S/ 29.90,tambo,CULANTRO,2024-12-07 17:21:32.570589
Gaseosa Inca Kola + Coca Cola Twopack 3 L,S/ 19.90,tambo,CULANTRO,2024-12-07 17:21:32.570589
