description,brand,price,website,search_term,scrape_timestamp
Paté COREN al Oporto Frasco 160g,COREN,S/ 6.50,vivanda,POP CORN (BOCADITOS),2024-12-06 12:17:46.195494
Paté COREN sabor Roquefort Frasco 160g,COREN,S/ 6.50,vivanda,POP CORN (BOCADITOS),2024-12-06 12:17:46.195494
Postre de Manzana y Pera ANELA HOP Doypack 100g,ANELA HOP,S/ 4.50,vivanda,POP CORN (BOCADITOS),2024-12-06 12:17:46.195494
Postre de Manzana ANELA HOP Doypack 100g,ANELA HOP,S/ 4.50,vivanda,POP CORN (BOCADITOS),2024-12-06 12:17:46.195494
Set Cuchara y tenedor SKIP HOP Zoo Unicornio,SKIP HOP,S/ 49.00,vivanda,POP CORN (BOCADITOS),2024-12-06 12:17:46.195494
Set Cuchara y tenedor SKIP HOP Zoo Monkey,SKIP HOP,S/ 49.00,vivanda,POP CORN (BOCADITOS),2024-12-06 12:17:46.195494
Set Cuchara y tenedor SKIP HOP Zoo Butterfly,SKIP HOP,S/ 49.00,vivanda,POP CORN (BOCADITOS),2024-12-06 12:17:46.195494
Medidor de Aire TOP GAN Dual Cromado,TOP GAN,S/ 24.90,vivanda,POP CORN (BOCADITOS),2024-12-06 12:17:46.195494
Pack DUVEL Cerveza Golden Ale Botella 330 ml + Cerveza Tripel Hop Botella 330ml + Copa,DUVEL,S/ 41.90,vivanda,POP CORN (BOCADITOS),2024-12-06 12:17:46.195494
Ensal Pina Sand Pap BELL'S FRESCOS Bandeja 300g,BELL'S FRESCOS,S/ 5.69,vivanda,POP CORN (BOCADITOS),2024-12-06 12:17:46.195494
