description,brand,price,website,search_term,scrape_timestamp
Bebida Rehidratante SUEROX Sabor a Fresa - Kiwi Botella 630ml,SUEROX,S/ 6.50,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida Rehidratante ELECTROLIGHT Manzana Botella 475ml,ELECTROLIGHT,S/ 2.10,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida GLORIA Mango Caja 1L,GLORIA,S/ 4.40,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida rehidratante ELECTROLIGHT Granadilla Botella 475Ml,ELECTROLIGHT,S/ 2.10,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Frutas en Conserva FRUTO DE ORO Pera en Mitades Lata 820g,FRUTO DE ORO,S/ 11.30,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida Rehidratante GATORADE Apple Ice Botella 500ml,GATORADE,S/ 2.90,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida de Soya sin Azúcar con Monkfruit SILK Caja 946ml,SILK,S/ 14.99,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida Rehidratante GATORADE Gatorlyte Fresa-Kiwi 591ml,GATORADE,S/ 5.00,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida Rehidratante GATORADE Gatorlyte Uva 591ml,GATORADE,S/ 5.00,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebidas Energizantes RED BULL Ambar Edition Lata 250ml,RED BULL,S/ 7.80,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida de Almendra SILK Vainilla sin Azúcar Caja 946ml,SILK,S/ 19.60,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida FRUGOS DEL VALLE Sabor a Manzana Caja 970ml,FRUGOS,S/ 3.90,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida de Almendra SILK sin Azúcar Caja 946ml,SILK,S/ 19.00,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
Bebida Energizante RED BULL Tropical Lata 250ml,RED BULL,S/ 7.80,vivanda,BEBIDA DE FRUTA ENVASADA,2024-12-06 12:22:43.760889
