description,brand,price,website,search_term,scrape_timestamp
Melón Coquito x kg,VIVANDA,S/ 3.70,vivanda,MELÓN,2024-12-06 11:49:55.488242
Pepino Melón,VIVANDA,S/ 6.49,vivanda,MELÓN,2024-12-06 11:49:55.488242
