description,price,website,search_term,scrape_timestamp
Ají Amarillo Molido Piki 350g,S/ 10.90,metro,AJÍ AMARILLO MOLIDO,2024-12-05 16:37:08.674253
Ají Amarillo Molido Piki 1kg,S/ 21.90,metro,AJÍ AMARILLO MOLIDO,2024-12-05 16:37:08.674253
