brand,description,price,website,search_term,scrape_timestamp
PRECIO UNO,Azafate Acero 45 cm,S/ 9.90,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
PANTENE,Crema para Peinar Pro-V Rizos Definidos 160 mL,S/ 8.90,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
AMARAS,Crema para Peinar Amarás Diosa Rulosa 120 mL,S/ 6.50,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
PANTENE,Crema para Peinar Pro-V Hidratación Extrema Anti Frizz 300 mL,S/ 20.90,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
BE NATURAL,Mascarilla Curly Monoú Rizos 350 mL,S/ 30.90,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
,Serum Capilar Bendito Clima Lima Mango Amaras 120 mL,S/ 29.90,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
SAVITAL,Crema para Peinar Colageno Sábila 275 mL,S/ 10.90,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
PANTENE,Crema para Peinar Pro-V Fuerza Reconstrucción 300 mL,S/ 20.90,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
BINNER,"Espuma Limpiadora para Tapicería, Telas, Alfombras",S/ 24.90,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
OSTER,Licuadora 2v Cromada,S/ 299,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
CLOROX,Lejía Tradicional,S/ 5.80,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
BOSTECITOS,Muñeca de 28 cm con Coche,S/ 29.90,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
LIBERO,Congeladora 300 L Blanco,S/ 999,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
ROTOPLAS,Terma Instantánea Modena,S/ 329,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
SAPOLIO,Insecticida Casa y Jardín,S/ 11.20,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
RECCO,Horno eléctrico 10L Negro RHE-10L,S/ 79.90,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
BARBIE,Profesiones Surtido de Muñecas,S/ 59.90,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
PINESOL,Desinfectante Pino,S/ 10.70,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
CASA JOVEN,Canister AS Rectangular Apilable 1000 mL,S/ 12.90,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
AVENGERS,Figura de Acción Marvel Titan Hero Series Blast Gear Hulk,S/ 59.90,tottus,PRODUCTO ACHOCOLATADO,2024-12-04 13:59:24.854698
