description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Sal de Maras Molida Oli21 145g,,145.0,g,8.2,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,56.55172413793103,SAL
Sal de Maras ONZA Ají Panca Doypack 400g,ONZA,400.0,g,8.7,vivanda,2024-12-07 14:44:22.527344,SAL,1.0,kg,21.75,SAL
Sal de Maras ONZA Hierbas Mediterráneas Doypack 250g,ONZA,250.0,g,8.7,vivanda,2024-12-07 14:44:22.527344,SAL,1.0,kg,34.8,SAL
Sal Rosada de Maras PERUVIAN Gruesa Bolsa 500g,GOURMET,500.0,g,8.9,vivanda,2024-12-07 14:44:22.527344,SAL,1.0,kg,17.8,SAL
Sal Rosada de Maras Gruesa Doypack 500 g,,500.0,g,8.9,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,17.8,SAL
Sal Fina 600 g,,600.0,g,8.9,metro,2024-12-07 22:25:17.025897,SAL,1.0,kg,14.833333333333334,SAL
Sal de Maras con Ají Panca Cuisine & Co Doypack 500 g,,500.0,g,8.9,metro,2024-12-07 22:25:17.025897,SAL,1.0,kg,17.8,SAL
Sal Gruesa 600 g,,600.0,g,8.9,metro,2024-12-07 22:25:17.025897,SAL,1.0,kg,14.833333333333334,SAL
Sal de Maras con Hierbas Mediterráneas Cuisine & Co Doypack 500 g,,500.0,g,8.9,metro,2024-12-07 22:25:17.025897,SAL,1.0,kg,17.8,SAL
Sal Rosada de Maras Gruesa Doypack 500 g,,500.0,g,8.9,metro,2024-12-07 22:25:17.025897,SAL,1.0,kg,17.8,SAL
Sal de Maras para Cocina Cuisine & Co 500g,,500.0,g,8.9,metro,2024-12-07 22:25:17.025897,SAL,1.0,kg,17.8,SAL
Sal de Maras con Ají Panca Cuisine & Co Doypack 500 g,,500.0,g,8.9,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,17.8,SAL
Sal Rosada de Maras PERUVIAN Gruesa Bolsa 500g,,500.0,g,8.9,plaza_vea,2024-12-07 14:25:08.022693,SAL,1.0,kg,17.8,SAL
Sal ONZA De maras fina Caja 500Gr,ONZA,500.0,g,9.0,vivanda,2024-12-07 14:44:22.527344,SAL,1.0,kg,18.0,SAL
Sal ONZA De maras fina Caja 500Gr,,500.0,g,9.0,plaza_vea,2024-12-07 14:25:08.022693,SAL,1.0,kg,18.0,SAL
Sal de Ajos Badia 127.6g,,127.6,g,9.4,metro,2024-12-07 22:25:17.025897,SAL,1.0,kg,73.6677115987461,SAL
Sal de Ajo 127.6 g,BADIA,127.6,g,9.4,tottus,2024-12-07 14:01:23.284512,SAL,1.0,kg,73.6677115987461,SAL
Sal BADIA Ajo Frasco 127.60Gr,,127.6,g,9.4,plaza_vea,2024-12-07 14:25:08.022693,SAL,1.0,kg,73.6677115987461,SAL
Sal de Ajos Badia 127.6g,,127.6,g,9.6,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,75.23510971786834,SAL
Sal BADIA Ajo Frasco 127.60Gr,BADIA,127.6,g,9.6,vivanda,2024-12-07 14:44:22.527344,SAL,1.0,kg,75.23510971786834,SAL
Sal de Ajos Batán 70g,,70.0,g,9.7,metro,2024-12-07 22:25:17.025897,SAL,1.0,kg,138.57142857142856,SAL
Sal Parrillera Marina Emsal Frasco 500 g,,500.0,g,9.8,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,19.6,SAL
Sal Parrillera EMSAL Frasco 500g,EMSAL,500.0,g,9.8,vivanda,2024-12-07 14:44:22.527344,SAL,1.0,kg,19.6,SAL
Sal de Maras GOURMET Especial Bolsa 500g,,500.0,g,9.9,plaza_vea,2024-12-07 14:25:08.022693,SAL,1.0,kg,19.8,SAL
Sal de Maras Fina Orígenes Doypack 600 g,TOTTUS,600.0,g,9.9,tottus,2024-12-07 14:01:23.284512,SAL,1.0,kg,16.5,SAL
Sal de Maras Gruesa BELL'S Doypack 500g,,500.0,g,9.9,plaza_vea,2024-12-07 14:25:08.022693,SAL,1.0,kg,19.8,SAL
Sal Especias 600 g,,600.0,g,9.9,metro,2024-12-07 22:25:17.025897,SAL,1.0,kg,16.5,SAL
Sal Rosada de Maras Fina Caja 600 g,,600.0,g,9.9,metro,2024-12-07 22:25:17.025897,SAL,1.0,kg,16.5,SAL
Sal de Maras GOURMET Especial Bolsa 500g,GOURMET,500.0,g,9.9,vivanda,2024-12-07 14:44:22.527344,SAL,1.0,kg,19.8,SAL
Sal Rosada de Maras Gruesa Caja 600 g,,600.0,g,9.9,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,16.5,SAL
Salsa para Pastas Filippo Berio Tomate Pesto Frasco 190 g,,190.0,g,9.9,metro,2024-12-07 22:39:10.772381,PASTA Y SALSA DE TOMATE,190.0,g,9.9,SAL
Sal Rosada de Maras Fina Caja 600 g,,600.0,g,9.9,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,16.5,SAL
Sal Parrillera Grano Grueso Cuisine & Co 750g,,750.0,g,9.95,metro,2024-12-07 22:25:17.025897,SAL,1.0,kg,13.266666666666666,SAL
Sal Parrillera Grano Grueso Cuisine & Co 750g,,750.0,g,9.95,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,13.266666666666666,SAL
Sal Parrillera Emsal 500 g,MARINA,500.0,g,10.0,tottus,2024-12-07 14:01:23.284512,SAL,1.0,kg,20.0,SAL
Sal de Maras Gruesa BELL'S Doypack 500g,BALANZÉ,500.0,g,10.1,vivanda,2024-12-07 14:44:22.527344,SAL,1.0,kg,20.2,SAL
Sal de Maras Fina BELL'S Doypack 500g,BALANZÉ,500.0,g,10.1,vivanda,2024-12-07 14:44:22.527344,SAL,1.0,kg,20.2,SAL
Sal LOBOS Parillera Frasco 750Gr,,750.0,g,10.6,plaza_vea,2024-12-07 14:25:08.022693,SAL,1.0,kg,14.133333333333333,SAL
Sal de Maras Sabor Orégano Oli21 115g,,115.0,g,10.9,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,94.78260869565217,SAL
Sal LOBOS Parillera Frasco 750Gr,LOBOS,750.0,g,10.9,vivanda,2024-12-07 14:44:22.527344,SAL,1.0,kg,14.533333333333333,SAL
Sal de Maras con Hierbas Mediterráneas Cuisine & Co Frasco 50 g,,50.0,g,10.9,metro,2024-12-07 22:25:17.025897,SAL,1.0,kg,218.0,SAL
Sal de Maras con Hierbas Mediterráneas Cuisine & Co Frasco 50 g,,50.0,g,10.9,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,218.0,SAL
Sal de Maras Sabor Ajo Oli21 135g,,135.0,g,10.9,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,80.74074074074073,SAL
Sal Parrillera Gruesa Lobos Lata 750 g,,750.0,g,10.9,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,14.533333333333333,SAL
Sal de Maras Mix Ajíes Peruanos Oli21 135g,,135.0,g,10.9,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,80.74074074074073,SAL
Salsa de Tomate Don Italo 250g,,250.0,g,10.99,metro,2024-12-07 22:39:10.772381,PASTA Y SALSA DE TOMATE,250.0,g,10.99,SAL
Salsa de Tomate Don Italo 250g,,250.0,g,10.99,wong,2024-12-07 18:12:57.041140,PASTA Y SALSA DE TOMATE,250.0,g,10.99,SAL
Salsa de Tomate Pomarola Clásica - 6 unidades,MOLITALIA,6.0,un,11.1,tottus,2024-12-07 14:08:00.461486,PASTA Y SALSA DE TOMATE,6.0,un,11.1,SAL
Sal BIOSAL 50% Menos Sodio Frasco 500g,BIOSAL,500.0,g,11.9,vivanda,2024-12-07 14:44:22.527344,SAL,1.0,kg,23.8,SAL
Sal Rosada de Maras Maras Gourmet 1kg,,1.0,kg,11.9,metro,2024-12-07 22:25:17.025897,SAL,1.0,kg,11.9,SAL
Sal de Maras con Hierbas Aromáticas Gruesa Frasco 600 g,,600.0,g,11.9,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,19.833333333333336,SAL
Sal BIOSAL 50% Menos Sodio Frasco 500g,,500.0,g,11.9,plaza_vea,2024-12-07 14:25:08.022693,SAL,1.0,kg,23.8,SAL
Sal Ahumada 600 g,,600.0,g,12.9,metro,2024-12-07 22:25:17.025897,SAL,1.0,kg,21.5,SAL
Sal Ahumada 600 g,,600.0,g,12.9,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,21.5,SAL
Sal Amazónica Gourmet Onza Caja 500g,,500.0,g,13.3,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,26.6,SAL
Sal Rosada de Maras Maras Gourmet 1kg,,1.0,kg,13.9,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,13.9,SAL
Sal de Maras Molida Oli21 500g,,500.0,g,13.9,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,27.8,SAL
Sal de Maras Molida Oli21 1.25kg,,1.25,kg,13.9,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,11.120000000000001,SAL
Sal de Maras Molida Oli21 1.25kg,,1.25,kg,13.9,metro,2024-12-07 22:25:17.025897,SAL,1.0,kg,11.120000000000001,SAL
Salsa para Pastas Filippo Berio Tomate Pesto Frasco 190 g,,190.0,g,13.9,wong,2024-12-07 18:12:57.041140,PASTA Y SALSA DE TOMATE,190.0,g,13.9,SAL
Sal de Maras Semi Gruesa Oli21 1.25kg,,1.25,kg,13.9,metro,2024-12-07 22:25:17.025897,SAL,1.0,kg,11.120000000000001,SAL
Sal de Maras Semi Gruesa Oli21 500g,,500.0,g,13.9,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,27.8,SAL
Sal de Maras Gruesa Cuisine & Co Frasco 100 g,,100.0,g,14.4,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,144.0,SAL
Sal de Maras con Ají Panca Cuisine & Co Frasco 80 g,,80.0,g,14.5,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,181.25,SAL
Sal de Maras con Ají Panca Cuisine & Co Frasco 80 g,,80.0,g,14.5,metro,2024-12-07 22:25:17.025897,SAL,1.0,kg,181.25,SAL
Sal de Maras Gruesa Molinillo Orígenes 100 gr,TOTTUS,100.0,g,15.2,tottus,2024-12-07 14:01:23.284512,SAL,1.0,kg,152.0,SAL
Sal de Maras Gruesa con Hierbas Mediterráneas 40 g,TOTTUS,40.0,g,15.2,tottus,2024-12-07 14:01:23.284512,SAL,1.0,kg,380.0,SAL
Sal de Maras gruesa con ají panca molinillo 100 gr,TOTTUS,100.0,g,15.2,tottus,2024-12-07 14:01:23.284512,SAL,1.0,kg,152.0,SAL
Sal de Maras GOURMET Frasco 100g,,100.0,g,15.9,plaza_vea,2024-12-07 14:25:08.022693,SAL,1.0,kg,159.0,SAL
Sal MARAS GOURMET con Especies Moledor Frasco ...,,100.0,g,15.9,plaza_vea,2024-12-07 14:25:08.022693,SAL,1.0,kg,159.0,SAL
Sal de Maras con Hierbas Aromáticas Gruesa Frasco 100 g,,100.0,g,15.9,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,159.0,SAL
Sal Himalaya Fossil River Negra Pote 150 gr,,150.0,g,15.9,metro,2024-12-07 22:25:17.025897,SAL,1.0,kg,106.0,SAL
