CODIGO,CLASIFICACION,Peso_recalculado,Precio_Base
116010124, NARANJA DE MESA,0.0024148637326894,6.15
116010302, MANZANA IMPORTADA,0.002316297866049,7.97
116010306, MANZANA CORRIENTE,0.0018727514661673,3.3
116010309, MANZANA DELICIA,0.0025627125326499,4.25
116010312, MANZANA ISRAEL,0.0029076930658913,3.57
116010506, PAPAYA,0.011335074663644,3.98
116010603, PLÁTANO BISCOCHO,0.0008870927997634,3.41
116010609, PLÁTANO DE LA ISLA,0.0028584101325711,3.82
116010612, PLÁTANO DE SEDA,0.011680055196885,2.87
116010806, ARÁNDANOS,0.0021191661327682,16.69
116010831, FRESA,0.0063082154649845,5.61
116010835, GRANADILLA,0.004386181065497,5.54
116010861, MANGO,0.0047311615987384,4.53
116010865, MELÓN,0.0009856586664038,3.01
116010875, PEPINO,0.0008378098664432,3.89
116010881, PIÑA,0.0050761421319797,2.97
116010886, SANDÍA,0.0027105613326105,2.21
116010895, TUNA,0.0009856586664038,6.15
116020139, PASAS,0.001034941599724,14.94
116020209, DURAZNO EN CONSERVA,0.0008378098664432,8.55
116020321, PECANAS,0.0018234685328471,71.28
117010109, APIO,0.0015770538662461,1.97
117010118, ESPINACA,0.0025134295993298,4.83
117010121, LECHUGA,0.0034498053324134,2.97
117010203, BRÓCOLI,0.002069883199448,4.19
117010209, COLIFLOR,0.0007392439998028,3.84
117020206, TOMATE ITALIANO O MARSANO,0.0085752303977133,3.78
117020312, ZAPALLO MACRE,0.0040904834655759,2.95
117020515, PEPINILLO,0.0020206002661278,2.29
117020607, ARVEJA VERDE,0.0061603666650239,5.21
117020618, HABA VERDE,0.0013306391996452,3.32
117020624, VAINITA VERDE (AMERICANA),0.0017741855995269,4.78
117030103, AJO ENTERO,0.0039426346656153,14.51
117030112, CEBOLLA CHINA,0.0008378098664432,5.08
117030115, CEBOLLA DE CABEZA (ROJA),0.011877186930166,2.45
117030130, PORO,0.0005421122665221,2.87
117030136, ZANAHORIA,0.0058153861317826,1.98
117030206, VERDURA PICADA,0.0064067813316249,4.43
117040109, FRÉJOL CANARIO,0.0038933517322951,9.41
