categoria,description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
PIÑA,Piña en Trozos Golden 500g,,500.0,g,13.49,wong,2024-12-04 19:43:13.516552,PIÑA,500.0,g,13.49,PIÑA
PIÑA,Piña en Trozos BELL'S Bandeja 700g,,700.0,g,13.49,plaza_vea,2024-12-04 13:58:10.559362,PIÑA,700.0,g,13.49,PIÑA
PIÑA,Piña en Trozos Golden 500g,,500.0,g,13.49,metro,2024-12-04 21:37:18.801089,PIÑA,500.0,g,13.49,PIÑA
PIÑA,Piña Golden en Trozos Congelada El Frutero 1kg,,1.0,kg,13.59,wong,2024-12-04 19:43:13.516552,PIÑA,1.0,kg,13.59,PIÑA
PIÑA,Piña en Trozos Congelada BELL'S Bolsa 1kg,,1.0,kg,13.9,plaza_vea,2024-12-04 13:58:10.559362,PIÑA,1.0,kg,13.9,PIÑA
PIÑA,Piña Hawai en Trozos Congelados 1kg,,1.0,kg,13.99,wong,2024-12-04 19:43:13.516552,PIÑA,1.0,kg,13.99,PIÑA
PIÑA,Piña en Trozos Congelada BELL'S Bolsa 1kg,BELL'S,1.0,kg,14.2,vivanda,2024-12-04 17:50:29.768247,PIÑA,1.0,kg,14.2,PIÑA
PIÑA,Piña Deshidratada GO BARMAN Bolsa 60g,GO BARMAN,60.0,g,19.9,vivanda,2024-12-04 17:50:29.768247,PIÑA,60.0,g,19.9,PIÑA
PIÑA,Piña Deshidratada Go Barman 60g,,60.0,g,19.9,wong,2024-12-04 19:43:13.516552,PIÑA,60.0,g,19.9,PIÑA
PIÑA,Piña Deshidratada en Trozos Golden x kg,,1.0,kg,118.0,metro,2024-12-04 21:37:18.801089,PIÑA,1.0,kg,118.0,PIÑA
PIÑA,Piña Deshidratada en Trozos Golden x kg,,1.0,kg,118.0,wong,2024-12-04 19:43:13.516552,PIÑA,1.0,kg,118.0,PIÑA
PIÑA,Piña Deshidratada Golden x kg,,1.0,kg,219.5,wong,2024-12-04 19:43:13.516552,PIÑA,1.0,kg,219.5,PIÑA
YOGUR MIXTO EN VASO,Yogurt Probiótico LAIVE Fresa Vaso 120g,,120.0,g,1.59,plaza_vea,2024-12-04 13:40:45.769438,YOGUR MIXTO EN VASO,120.0,g,1.59,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt GLORIA Batti Shake Fresa Vaso 120g,GLORIA,120.0,g,1.6,vivanda,2024-12-04 17:38:10.971729,YOGUR MIXTO EN VASO,120.0,g,1.6,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Frutado Gloria Fresa Vaso 120 g,,120.0,g,1.7,metro,2024-12-04 21:20:00.051296,YOGUR MIXTO EN VASO,120.0,g,1.7,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Battishake Gloria Fresa Vaso 120 g,,120.0,g,1.7,wong,2024-12-04 19:13:58.878277,YOGUR MIXTO EN VASO,120.0,g,1.7,YOGUR MIXTO EN VASO
