unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Botella 1L,Aceite de Oliva VALDEPORRES Virgen Botella 1L,S/ 59.90 un,plaza_vea,ACEITE VEGETAL ENVASADO,2024-12-04 13:44:18.696239,1.0,l,Aceite de Oliva VALDEPORRES Virgen Botella,59.9
Frasco 350ml,Aceite de Coco BELL'S SELECCIÓN Frasco 350ml,S/ 26.80 un,plaza_vea,ACEITE VEGETAL ENVASADO,2024-12-04 13:44:18.696239,350.0,ml,Aceite de Coco BELL'S SELECCIÓN Frasco,26.8
Frasco 350g,Aceite de Coco Virgen MI TIERRA Frasco 350g,S/ 37.90 un,plaza_vea,ACEITE VEGETAL ENVASADO,2024-12-04 13:44:18.696239,350.0,g,Aceite de Coco Virgen MI TIERRA Frasco,37.9
Bolsa 74un,Pañales para Bebé HUGGIES Active Sec XG Paquet...,S/ 59.90 un,plaza_vea,ACEITE VEGETAL ENVASADO,2024-12-04 13:44:18.696239,74.0,un,Pañales para Bebé HUGGIES Active Sec  Paquet,59.9
Lata 40g,Sólido de Atún REAL en Aceite de Oliva Lata 14...,S/ 8.20 un,plaza_vea,ACEITE VEGETAL ENVASADO,2024-12-04 13:44:18.696239,40.0,g,Sólido de Atún REAL en Aceite de Oliva Lata 14,8.2
Pack 2un,Pack Pañales para Bebé HUGGIES Active Sec XXG ...,S/ 113.90 un,plaza_vea,ACEITE VEGETAL ENVASADO,2024-12-04 13:44:18.696239,2.0,un,Pack Pañales para Bebé HUGGIES Active Sec X,113.9
Lata 170g,Trozos de Atún FRESCOMAR en Aceite Vegetal Lat...,S/ 5.40 un,plaza_vea,ACEITE VEGETAL ENVASADO,2024-12-04 13:44:18.696239,170.0,g,Trozos de Atún FRESCOMAR en Aceite Vegetal Lat,5.4
Frasco 375ml,Shampoo HEAD & SHOULDERS Aceite de Coco Frasco...,S/ 18.50 un,plaza_vea,ACEITE VEGETAL ENVASADO,2024-12-04 13:44:18.696239,375.0,ml,Shampoo HEAD & SHOULDERS Aceite de Coco Frasco,18.5
Botella 250ml,Gel de Ducha NIVEA Deep Active Clean - Frasco ...,S/ 16.30 un,plaza_vea,ACEITE VEGETAL ENVASADO,2024-12-04 13:44:18.696239,250.0,ml,Gel de Ducha NIVEA Deep Active Clean - Frasco,16.3
Galón 5L,Aceite Vegetal PRIMOR Galón 5L,S/ 47.10 un,plaza_vea,ACEITE VEGETAL ENVASADO,2024-12-04 13:44:18.696239,5.0,l,Aceite Vegetal PRIMOR Galón,47.1
Lata 170g,Filete de Atún FRESCOMAR Aceite Vegetal Lata 1...,S/ 5.60 un,plaza_vea,ACEITE VEGETAL ENVASADO,2024-12-04 13:44:18.696239,170.0,g,Filete de Atún FRESCOMAR Aceite Vegetal Lata 1,5.6
