brand,description,price,website,search_term,scrape_timestamp
AMBROSOLI,Gomas Gusanos Ácidos Bolsa x 480 g,S/ 11.90,tottus,CARAMELOS,2024-12-07 13:58:14.193172
AMBROSOLI,Gomas Flippy Bolsa x 480 g,S/ 11.90,tottus,CARAMELOS,2024-12-07 13:58:14.193172
HALLS,Caramelos Cherry - DISPLAY 12 UN - 27 GR,S/ 22.80,tottus,CARAMELOS,2024-12-07 13:58:14.193172
MENTOS,Clear Breath Wintergreen Display 12 Unidades,S/ 87.60,tottus,CARAMELOS,2024-12-07 13:58:14.193172
TOTTUS,Caramelos Sabor Limón 250 g,S/ 5.50,tottus,CARAMELOS,2024-12-07 13:58:14.193172
HALLS,Caramelos Sabor a Mora 12 Unidades,S/ 22.80,tottus,CARAMELOS,2024-12-07 13:58:14.193172
SKITTLES,Caramelos Masticables Original 36 Unidades,S/ 221.80,tottus,CARAMELOS,2024-12-07 13:58:14.193172
STARBURST,Caramelos Masticables Sabor Original 36 Unidades,S/ 208.80,tottus,CARAMELOS,2024-12-07 13:58:14.193172
,Caramelo Push Pop Toops Sabores Surtidos 15 g,S/ 4.60,tottus,CARAMELOS,2024-12-07 13:58:14.193172
SKITTLES,Caramelos Masticables Sabor Wild Berry 61.5 g,S/ 6.20,tottus,CARAMELOS,2024-12-07 13:58:14.193172
MENTOS,Caramelos Masticables Frutas 29.04 Gr - PAQUETE 29.04 GR,S/ 2,tottus,CARAMELOS,2024-12-07 13:58:14.193172
TROLLI,Gomitas Gummi Pizza 15.5g,S/ 1.70,tottus,CARAMELOS,2024-12-07 13:58:14.193172
,Caja de Chocolates Confitados Lentejas 20 Unidades,S/ 40,tottus,CARAMELOS,2024-12-07 13:58:14.193172
BON BON BUM,Chupetines Fresa 24 Unidades,S/ 8,tottus,CARAMELOS,2024-12-07 13:58:14.193172
COLOMBINA,Marshmallows Millows Individual Cream x 250 g,S/ 10.50,tottus,CARAMELOS,2024-12-07 13:58:14.193172
TROLLI,Gomitas Gusanos Sour Glowworms 100 g,S/ 6,tottus,CARAMELOS,2024-12-07 13:58:14.193172
MENTOS,Kiss Fresa x 35 g,S/ 11.60,tottus,CARAMELOS,2024-12-07 13:58:14.193172
GLOBO POP,Chupetín renovado surtido 18 gr,S/ 8,tottus,CARAMELOS,2024-12-07 13:58:14.193172
BON BON BUM,Chupetines Maracuyá 456 g,S/ 8,tottus,CARAMELOS,2024-12-07 13:58:14.193172
FINI,Gomitas de Gusanos Ácidos de 100 g,S/ 4.90,tottus,CARAMELOS,2024-12-07 13:58:14.193172
AMOS,Gomitas 4D Frutas 90 g,S/ 5.80,tottus,CARAMELOS,2024-12-07 13:58:14.193172
GLOBO POP,Chupetín Neón 432 g,S/ 8,tottus,CARAMELOS,2024-12-07 13:58:14.193172
FINI,Dulce Masticable Finiregaliz Tutti Frutti 80 g,S/ 4.90,tottus,CARAMELOS,2024-12-07 13:58:14.193172
COLOMBINA,Marshmellows Millows Surtidos 145 g,S/ 4.90,tottus,CARAMELOS,2024-12-07 13:58:14.193172
GLOBO POP,Chupetín renovado de cereza ácida de 18 g,S/ 8,tottus,CARAMELOS,2024-12-07 13:58:14.193172
ARCOR,Gomitas Rollo Mogul 35g,S/ 16.80,tottus,CARAMELOS,2024-12-07 13:58:14.193172
AMOS,GOMITAS 4D BLOQUES 40G,S/ 2.90,tottus,CARAMELOS,2024-12-07 13:58:14.193172
TROPICAL,Marshmellows Bicolor 100 g,S/ 7.30,tottus,CARAMELOS,2024-12-07 13:58:14.193172
FINI,Chicle ensalada de frutas 80 gr,S/ 4.90,tottus,CARAMELOS,2024-12-07 13:58:14.193172
TROPICAL,Marshmellows Bla Ncos x 9 Oz,S/ 14.50,tottus,CARAMELOS,2024-12-07 13:58:14.193172
TOTTUS,Gomitas de Delfines de 100 g,S/ 3.90,tottus,CARAMELOS,2024-12-07 13:58:14.193172
HALLS,MORA X 27GR,S/ 2.20,tottus,CARAMELOS,2024-12-07 13:58:14.193172
AMOS,GOMITAS 4D BUILDING STICKS ACIDOS 40G,S/ 2.90,tottus,CARAMELOS,2024-12-07 13:58:14.193172
GRISSLY,Gomitas Splash 80g,S/ 3,tottus,CARAMELOS,2024-12-07 13:58:14.193172
TRIDENT,Display Halls Extrastrong 297 g x 12,S/ 22.80,tottus,CARAMELOS,2024-12-07 13:58:14.193172
GUANDY,Marshmellows Corazones x 71 g,S/ 4.91,tottus,CARAMELOS,2024-12-07 13:58:14.193172
GLOBO POP,Chupete Maracuya 432 g,S/ 8,tottus,CARAMELOS,2024-12-07 13:58:14.193172
,Lollipops Organic Koochikoo Envase 60 g,S/ 20.60,tottus,CARAMELOS,2024-12-07 13:58:14.193172
AMOS,Gomitas 4D Dinosaurios 38 g,S/ 2.90,tottus,CARAMELOS,2024-12-07 13:58:14.193172
FINI,Gomas de bananas,S/ 4.90,tottus,CARAMELOS,2024-12-07 13:58:14.193172
M&MS,CHOCOLATE MILK SINGLES M YMSX 36UN,S/ 165.60,tottus,CARAMELOS,2024-12-07 13:58:14.193172
GENERICO,Gomitas Mogul - 4 unidades,S/ 7.90,tottus,CARAMELOS,2024-12-07 13:58:14.193172
AMOS,GOMITAS 4D DINOSAURIOS 90G,S/ 5.80,tottus,CARAMELOS,2024-12-07 13:58:14.193172
AMOS,GOMITAS 4D BUILDING STICKS ACIDOS 90G,S/ 5.80,tottus,CARAMELOS,2024-12-07 13:58:14.193172
