unit,description,price,website,search_term,scrape_timestamp
Lata 170g,Sólido de Caballa CAMPOMAR en Aceite Vegetal L...,S/ 5.20 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Caja 1un,Canasta Navideña Roja 2024 Caja 1un,S/ 34.20 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Paquete 380g,Jabón de Ropa MARSELLA Floral Paquete 380g,S/ 5.40 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Botella 1.7Kg,Yogurt GLORIA Slim Triple Zero Sabor a Frutos ...,S/ 10.30 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Botella 800g,Yogurt Griego LAIVE Frutos Rojos Botella 800g,S/ 9.90 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Sobre 12g,Canela Entera BELL'S Sobre 12g,S/ 4.09 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Galonera 2.8L,Suavizante de Ropa BOLÍVAR Plus Lavanda Galone...,S/ 27.90 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Bolsa 4Kg,Detergente en Polvo ARIEL Revitacolor para Rop...,S/ 54.90 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Lata 170g,Filete de Caballa FRESCOMAR Aceite Vegetal Lat...,S/ 4.80 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Caja 20un,Té Canela y Clavo BELL'S Caja 20un,S/ 3.20 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Frasco 300g,Miel de abeja LA REYNA OXAPAMPA Frasco 300Gr,S/ 21.89 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
,Papel Bond CLASS & WORK A4 Paquete 500 Hojas,S/ 12.40 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Bolsa 2Kg,Detergente en Polvo MARSELLA Jazmín y Rosas Bo...,S/ 22.90 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Bolsa 425g,Café Molido SELLO ROJO Tradición Bolsa 425g,S/ 23.90 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Doypack 800ml,Jabón Líquido AVAL Antibacterial Frutos Rojos ...,S/ 12.60 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Caja 20un,Infusión NATURE'S HEART Frutos Rojos Caja 20un,S/ 9.90 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Paquete 24un,Papel Higiénico SUAVE Cuidado Completo Doble H...,S/ 26.70 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Bolsa 12un,Papel Higiénico PARACAS Blanco Doble Hoja Bols...,S/ 17.50 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Caja 100un,Té Canela y Clavo BELL'S Caja 100un,S/ 11.50 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Bolsa 200g,Lechuga Roja Hidropónica BELL'S Bolsa 200g,S/ 3.69 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Paquete 15un,Huevos Pardos LA CALERA Bandeja 15un,S/ 11.49 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Paquete 1un,Papel Toalla NOVA Clásica Gigante Doble Hoja P...,S/ 10.90 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Paquete 32un,Papel Higiénico ELITE Ultra Doble Hoja Paquete...,S/ 37.10 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Paquete 24un,Papel Higiénico ELITE Premium Triple Hoja Paqu...,S/ 36.50 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
,Cebolla China MANANTIALES Bolsa 200g,S/ 3.50 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Bolsa 700g,Detergente en Polvo CARICIA Rosa Ropa Delicada...,S/ 23.40 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Paquete 120un,Papel Toalla Doblado ELITE Doble Hoja Paquete ...,S/ 7.60 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Bolsa 4un,Papel Toalla SCOTT Calorie Absorb 65 hojas Paq...,S/ 12.40 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Paquete 12un,Papel Higiénico Doble Hoja BALANZÉ BASICOS 40m...,S/ 19.90 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Presentación 1.1 kg aprox.,Hamburguesa Casera de Res LA FLORENCIA,S/ 19.90 x kg,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Botella 1.8L,Quitamanchas Líquido BOREAL Ropa Color Botella...,S/ 11.50 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Bolsa 4Kg,Detergente en Polvo ARIEL con un Toque de Down...,S/ 54.90 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Paquete 15un,Huevos Blancos LA CALERA Paquete 15un,S/ 11.20 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Bolsa 910g,Hamburguesa La Casera de Pollo SAN FERNANDO Bo...,S/ 12.69 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Bolsa 80g,Sopa instantánea AJINOMEN Gallina criolla Bols...,S/ 1.60 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Paquete 24un,Papel Higiénico ELITE Doble Hoja Paquete 24un,S/ 26.70 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Display 100un,Té Canela y Clavo HORNIMAN´S Display 100un,S/ 11.20 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Paquete 8un,Pañuelo ELITE Triple Hoja Aloe Vera Paquete 8u...,S/ 6 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Doypack 800ml,Quitamanchas Líquido VANISH Ropa Color Doypack...,S/ 13.10 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Vaso 115g,Yogurt Griego LAIVE Sabor a Frutos Rojos Vaso ...,S/ 2.20 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Frasco 56.7g,Canela en Polvo BADIA Frasco 56.7g,S/ 9.30 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
Presentación 0.8 kg aprox.,Cuadril de Cadera de Res EL BUEN CORTE,S/ 52.90 x kg,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
,Copa DECO HOME Roja Feliz Navidad,S/ 3.90 un,plaza_vea,CEBOLLA DE CABEZA (ROJA),2024-12-05 15:35:18.025550
