unit,description,price,website,search_term,scrape_timestamp
Bolsa 160g,Gelatina ROYAL Sabor a Cereza Bolsa 160g,S/ 5 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Pack 2un,Pack Acondicionador con Keratina PANTENE Frasc...,S/ 49.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Tubo 100g,Pasta Dental SENSODYNE Blanqueador Repara y Pr...,S/ 24.10 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Bolsa 160g,Gelatina ROYAL Sabor a Naranja Bolsa 160g,S/ 5 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Bolsa 30g,Gelatina UNIVERSAL con Sabor a Fresa Extra Col...,S/ 5 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Bolsa 160g,Gelatina ROYAL Sabor a Limón Bolsa 160g,S/ 5 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Blíster 12g,Polvo Decolorante Keratina SOL ECLAIR Blíster ...,S/ 11 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Frasco 340ml,Shampoo SEDAL Keratina Frasco 340ml,S/ 12.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Paquete 4un,Gelatina Lista LAIVE Yopi Sabor a Fresa Paquet...,S/ 8.50 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Paquete 1kg,Harina Preparada GRANO DE ORO Paquete 1Kg,S/ 6.99 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Frasco 300ml,Crema para Peinar PANTENE Keratina Frasco 300m...,S/ 19.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Frasco 340ml,Acondicionador SEDAL Keratina Frasco 340ml,S/ 12.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Frasco 300ml,Shampoo sin sal' Cabello Seco PANTENE Keratina...,S/ 20.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Bolsa 20un,Gelatina GOLOMANIA PEQUE TEMBLEQUE Sabores sur...,S/ 4.60 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Frasco 1L,Shampoo SEDAL Keratina Frasco 1L,S/ 34.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Bolsa 1kg,Harina Sin Preparar GRANO DE ORO Bolsa 1Kg,S/ 6 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Pack 3un,Pack PANTENE Crema para Peinar Keratina 300ml ...,S/ 46.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Frasco 200ml,Crema para Peinar TRESEMMÉ Keratina Antifrizz ...,S/ 19.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
,Plato DECO HOME Melamina Surtido Pequeño Navid...,S/ 3.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Frasco 510ml,Shampoo sin sal' Cabello Seco PANTENE Keratina...,S/ 30.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Frasco 880ml,Shampoo TRESEMMÉ Keratina Frasco 880ml,S/ 41.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Frasco 1L,"Shampoo KATIVA con Ácido Hialurónico, Keratina...",S/ 53.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Frasco 300ml,Tratamiento Intensivo KATIVA Hialurónico Kerat...,S/ 29.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Frasco 250ml,Acondicionador KATIVA Keratina Frasco 250ml,S/ 19.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Frasco 1L,Shampoo KATIVA Keratina Frasco 1L,S/ 53.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Bandeja 550ml,Shampoo PANTENE Keratina Frasco 300ml + Acondi...,S/ 34.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Frasco 1L,"Acondicionador KATIVA con Ácido Hialurónico, K...",S/ 53.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Botella 500ml,Cera líquida CHEMA Laminados y melaminas Gatil...,S/ 18.50 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Frasco 500ml,Acondicionador TRESEMMÉ Keratina Frasco 500ml,S/ 28.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
Frasco 250ml,Shampoo KATIVA Keratina Frasco 250ml,S/ 19.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-05 15:58:36.953502
