description,price,website,search_term,scrape_timestamp
Yogurt Battishake Gloria Fresa Vaso 120 g,S/ 1.60,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Descremado Sin Lactosa Quark Sabor Vainilla 500g,S/ 12.72,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Gloria Vainilla Botella 1kg,S/ 5.99,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Probiótico Laive Sbelt Granadilla y Linaza 946g,S/ 5.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Laive Sbelt Sabor Mora 946g,S/ 5.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Laive Sbelt Sabor Durazno 1.7kg,S/ 11.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Gloria Griego Sabor Maracuyá 800g,S/ 6.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Gloria Griego con Miel 800g,S/ 6.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Gloria Durazno Botella 180 g,S/ 2.00,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Gloria Natural Botella 1kg,S/ 5.99,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Frutado con Aguaymanto Danlac Botella 900g,S/ 9.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Vakimu +Pro Arándano 500g,S/ 12.08,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Laive Sin Lactosa Fresa 946g,S/ 5.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Sin Lactosa Yoleit Maracumango 1.6kg,S/ 8.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Gloria Batti Mix Mini Cookies 138g,S/ 2.99,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Gloria Fresa Botella 180 g,S/ 2.00,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Yoleit con Fresa Botella 1.6kg,S/ 8.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Laive con Lúcuma 1.7kg,S/ 11.50,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Laive Sbelt Sabor Fresa 946g,S/ 5.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Laive Sbelt Natural 946g,S/ 5.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Vakimu +Pro Fresa 500g,S/ 12.08,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Gloria Slim Fresa Galonera 1.7kg,S/ 9.20,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Laive Sabor Mora 946g,S/ 5.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Laive Sin Lactosa Fresa 1.7kg,S/ 12.70,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Gloria Tutti Frutti Botella 1kg,S/ 5.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Gloria Griego Sabor Maracuyá 120g,S/ 2.20,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Batido con Trozos de Arándano Laive Griego 120g,S/ 2.50,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Yopi Laive Fresa Vaso 80 g,S/ 0.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Batido Laive Griego Sabor Frutos Rojos 800g,S/ 8.50,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Laive Sabor Fresa 946g,S/ 5.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Gloria Lúcuma Botella 1kg,S/ 5.99,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Deslactosado Yoleit Griego Sabor Natural Pote 950g,S/ 14.10,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Laive Sbelt Sabor Lúcuma 946g,S/ 5.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Laive Sin Lactosa Durazno 946g,S/ 5.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Griego Danlac Sabor Natural Frasco 160g,S/ 4.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Proteico Sin Lactosa Vakimu +Pro Sabor Vainilla 350g,S/ 6.32,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Batido Natural Laive Griego Botella 800g,S/ 8.50,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Gloria Slim Sabor Fresa 120g,S/ 2.00,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Proteico Sin Lactosa Vakimu +Pro Sabor Mocca 350g,S/ 6.32,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Gloria Zero Lacto Fresa 1.7kg,S/ 10.50,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Frutado con Fresa Danlac Line Botella 900g,S/ 10.50,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Batido Laive Griego Sabor Mango Maracuyá 800g,S/ 8.50,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Laive Sbelt Sabor Vainilla Francesa 946g,S/ 5.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Sabor Vainilla Francesa Laive 180g,S/ 2.00,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
