description,price,website,search_term,scrape_timestamp
Papa Blanca Yungay Metro x kg,S/ 2.99 x kg,metro,PAPA BLANCA,2024-12-06 18:59:41.338194
Papa Blanca Metro x kg,S/ 2.60 x kg,metro,PAPA BLANCA,2024-12-06 18:59:41.338194
Papa Blanca Canchán Procesada x kgs,S/ 3.39 x kg,metro,PAPA BLANCA,2024-12-06 18:59:41.338194
Papa Blanca Cocktail x kg,S/ 1.99 x kg,metro,PAPA BLANCA,2024-12-06 18:59:41.338194
Papa Blanca x kg,S/ 1.59 x kg,metro,PAPA BLANCA,2024-12-06 18:59:41.338194
Papa Cocktail Blanca Agro Selecto 800g,S/ 6.00,metro,PAPA BLANCA,2024-12-06 18:59:41.338194
Papa Blanca Yungay Agro Selecto 2kg,S/ 8.50,metro,PAPA BLANCA,2024-12-06 18:59:41.338194
Papa Blanca Perricholi Procesada Agro Selecto,S/ 9.50,metro,PAPA BLANCA,2024-12-06 18:59:41.338194
