description,price,website,search_term,scrape_timestamp
Panetón Metro Bolsa 800g + Gaseosa Inca Kola 1.5L,S/ 17.40,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón Costa Caja 800g,S/ 18.00,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón San Jorge Gran Panetón Caja 900g,S/ 19.92,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón Vegano Cuisine & Co Caja 500g,S/ 31.90,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón con Trozos de Chocolate Properzi Caja 1kg,S/ 75.92,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón Integral con Higos y Pecanas Unión Diet Lata 500g,S/ 26.00,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón Metro Bolsa 800g + Gaseosa Coca Cola Sin Azúcar 1.5L,S/ 17.40,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón con Chips de Chocolate y Cerezas Properzi Tela 1kg,S/ 75.92,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón Dal Colle Classico Caja 750g,S/ 31.92,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón Iluminato Caja 900g,S/ 25.52,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón Iluminato Doypack 900g,S/ 22.32,metro,PANETÓN,2024-12-06 17:40:15.313772
Panetón Arcor 450g,S/ 16.40,metro,PANETÓN,2024-12-06 17:40:15.313772
Pack Panetón Todinno: Caja 900g + Todinnito Caja 85g,S/ 23.12,metro,PANETÓN,2024-12-06 17:40:15.313772
Mini Panetón Minions Caja 80g Surtido,S/ 2.80,metro,PANETÓN,2024-12-06 17:40:15.313772
Twopack Panetón con Chocolate Blanca Flor Caja 450g,S/ 34.40,metro,PANETÓN,2024-12-06 17:40:15.313772
Mini Panetón Donofrio Chocotoncito Bolsa 80g,S/ 3.52,metro,PANETÓN,2024-12-06 17:40:15.313772
Mini Panetón Gloria con Chispas Sabor Chocolate Doypack 90g,S/ 3.20,metro,PANETÓN,2024-12-06 17:40:15.313772
Mini Panetón Relleno Bon o Bon 80g,S/ 3.92,metro,PANETÓN,2024-12-06 17:40:15.313772
Mini Panetón Gloria Doypack 80g,S/ 3.20,metro,PANETÓN,2024-12-06 17:40:15.313772
Mini Panetón Bauducco Frutas Caja 80g,S/ 4.40,metro,PANETÓN,2024-12-06 17:40:15.313772
Mini Panetón Bauducco Chocolate 80g,S/ 4.40,metro,PANETÓN,2024-12-06 17:40:15.313772
Mini Panetón Sapito Doypack 75g,S/ 3.60,metro,PANETÓN,2024-12-06 17:40:15.313772
Crema de Licor Baileys Espresso Creme Botella 750ml + Panetón Donofrio 880g,S/ 74.90,metro,PANETÓN,2024-12-06 17:40:15.313772
Mini Panetón Nikolo Doypack 75g,S/ 3.60,metro,PANETÓN,2024-12-06 17:40:15.313772
Crema de Licor Baileys Salted Caramel Botella 750ml + Panetón Donofrio 880g,S/ 74.90,metro,PANETÓN,2024-12-06 17:40:15.313772
Crema de Licor Baileys Original Irish Cream Botella 750ml + Panetón Donofrio 880g,S/ 74.90,metro,PANETÓN,2024-12-06 17:40:15.313772
Pasteles Gansito Minix 8un,S/ 8.90,metro,PANETÓN,2024-12-06 17:40:15.313772
Keke Sabor Vainilla Bimbo Bimbolete Minix 10un.,S/ 9.20,metro,PANETÓN,2024-12-06 17:40:15.313772
