description,price,website,search_term,scrape_timestamp
Torta Tres Leches Suspiro a la Limeña 16 Porciones,S/ 64.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Chantilly Cuisine & Co 30 Porciones,S/ 89.00,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta de Durazno 20 Porciones,S/ 67.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta De Maracuyá Grande (20P),S/ 67.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Tres Leches Frutos del Bosque 10 Porciones,S/ 44.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Rayas de Cereza 20 Porciones,S/ 59.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Selva Negra Chocolate 16 Porciones,S/ 62.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Tres Leches Guanábana 10 Porciones,S/ 49.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Tres Leches Fresa 10 Porciones,S/ 55.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Imposible Cuisine & Co 6 Porciones,S/ 37.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta de Guanábana xon Manjarblanco 16 Porciones,S/ 49.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Dulce de Leche 16 Porciones,S/ 53.50,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Selva Negra con Durazno 20 Porciones,S/ 73.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Grande 20 Porciones,S/ 69.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Regalo de Chocolate 10 Porciones,S/ 44.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta de Maracuyá 16 Porciones,S/ 49.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Milhojas con Crema Chantilly y Fresa,S/ 34.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Tropical Dulce Pasión16 Porciones,S/ 61.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Tres Leches de Sauco 10 Porciones,S/ 44.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Tres Leches de Moka 16 Porciones,S/ 75.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Dulce de Café 16 Porciones,S/ 55.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Tres Leches de Canela 10 Porciones,S/ 44.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Chantilly Tutti Fruti 20 Porciones,S/ 75.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta de Durazno 16 Porciones,S/ 50.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Candy Cake 16 Porciones,S/ 61.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta de Chantilly 10 Porciones,S/ 46.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Mil Hojas con Crema y Fresas 12 Porciones,S/ 56.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Tres Leches Lúcuma 10 Porciones,S/ 44.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Tres Leches 6 Porciones,S/ 27.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Tres Leches de Piña Colada Cuisine & Co 10 Porciones,S/ 44.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Moka 16 Porciones,S/ 55.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta de Guanábana con Crema Pastelera 20 Porciones,S/ 67.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Tres Leches de Coco 16 Porciones,S/ 75.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Tentación de Moka 10 Porciones,S/ 44.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Charlotte de Chocolate 10 Porciones,S/ 44.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Mousse de Chirimoya 20 Porciones,S/ 66.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Selva Negra Choco 6 Porciones,S/ 27.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
