description,price,website,search_term,scrape_timestamp
Papa Huayro Metro x kg,S/ 6.19 x kg,metro,PAPA HUAYRO,2024-12-07 20:43:44.217771
Papa Huayro Comcen x kg,S/ 4.29 x kg,metro,PAPA HUAYRO,2024-12-07 20:43:44.217771
Papa Huayro Agro Selecto 1Kg,S/ 6.90,metro,PAPA HUAYRO,2024-12-07 20:43:44.217771
