description,brand,price,website,search_term,scrape_timestamp
Mandarina Malvacea,VIVANDA,S/ 5.70,vivanda,MANDARINA,2024-12-05 21:58:48.644255
Agua Saborizada SAN PELLEGRINO Essenza Sabor a Mandarina y Fresa Lata 330ml,SAN PELLEGRINO,S/ 8.00,vivanda,MANDARINA,2024-12-05 21:58:48.644255
Bebida Rehidratante GATORADE Mandarina Botella 500ml,GATORADE,S/ 2.90,vivanda,MANDARINA,2024-12-05 21:58:48.644255
Bebida Rehidratante GATORADE Sabor a Mandarina Botella 750ml,GATORADE,S/ 4.90,vivanda,MANDARINA,2024-12-05 21:58:48.644255
Bebida Rehidratante SPORADE Mandarina Botella 500ml,SPORADE,S/ 2.40,vivanda,MANDARINA,2024-12-05 21:58:48.644255
Bebida Rehidrantante SUEROX Naranja y Mandarina Botella 630ml,SUEROX,S/ 6.50,vivanda,MANDARINA,2024-12-05 21:58:48.644255
