description,brand,price,website,search_term,scrape_timestamp
Bife de Vacío de Res EL BUEN CORTE x kg,EL BUEN CORTE,S/ 51.30,vivanda,BOFE DE RES,2024-12-05 21:43:17.368951
Bife Ancho de Res EL BUEN CORTE x kg,EL BUEN CORTE,S/ 52.40,vivanda,BOFE DE RES,2024-12-05 21:43:17.368951
Bife Angosto de Res EL BUEN CORTE x kg,EL BUEN CORTE,S/ 52.40,vivanda,BOFE DE RES,2024-12-05 21:43:17.368951
