description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Hot Dog Ahumado de Pollo SAN FERNANDO Paquete 440g,SAN FERNANDO,S/ 10.00,vivanda,HOT DOG,2024-12-04 17:28:27.207619,440.0,g,Hot Dog Ahumado de Pollo SAN FERNANDO Paquete,10.0
Hot Dog Ahumado de Pollo SAN FERNANDO Paquete 220g,SAN FERNANDO,S/ 4.60,vivanda,HOT DOG,2024-12-04 17:28:27.207619,220.0,g,Hot Dog Ahumado de Pollo SAN FERNANDO Paquete,4.6
Hot Dog BRAEDT Paquete 200g,BRAEDT,S/ 5.90,vivanda,HOT DOG,2024-12-04 17:28:27.207619,200.0,g,Hot Dog BRAEDT Paquete,5.9
Hot Dog de Pollo OTTO KUNZ Paquete 250g,OTTO KUNZ,S/ 9.10,vivanda,HOT DOG,2024-12-04 17:28:27.207619,250.0,g,Hot Dog de Pollo OTTO KUNZ Paquete,9.1
Hot Dog SALCHICHERÍA SUIZA Paquete 200g,SUIZA,S/ 6.30,vivanda,HOT DOG,2024-12-04 17:28:27.207619,200.0,g,Hot Dog SALCHICHERÍA SUIZA Paquete,6.3
Hot Dog SAN FERNANDO Paquete 600g,SAN FERNANDO,S/ 14.99,vivanda,HOT DOG,2024-12-04 17:28:27.207619,600.0,g,Hot Dog SAN FERNANDO Paquete,14.99
Hot Dog S. SUIZA Paquete 400g,SALCHICHERÍA SUIZA,S/ 10.50,vivanda,HOT DOG,2024-12-04 17:28:27.207619,400.0,g,Hot Dog S. SUIZA Paquete,10.5
Hot Dog de Pavita SAN FERNANDO Paquete 250g,SAN FERNANDO,S/ 6.50,vivanda,HOT DOG,2024-12-04 17:28:27.207619,250.0,g,Hot Dog de Pavita SAN FERNANDO Paquete,6.5
Hot Dog BRAEDT Paquete 400g,BRAEDT,S/ 10.20,vivanda,HOT DOG,2024-12-04 17:28:27.207619,400.0,g,Hot Dog BRAEDT Paquete,10.2
Hot Dog SAN FERNANDO Paquete 400g,SAN FERNANDO,S/ 10.80,vivanda,HOT DOG,2024-12-04 17:28:27.207619,400.0,g,Hot Dog SAN FERNANDO Paquete,10.8
Pack Hot Dog S. SUIZA Paquete 600g,SALCHICHERÍA SUIZA,S/ 13.49,vivanda,HOT DOG,2024-12-04 17:28:27.207619,600.0,g,Pack Hot Dog S. SUIZA Paquete,13.49
Pan Hot Dog x Kg,VIVANDA,S/ 8.10,vivanda,HOT DOG,2024-12-04 17:28:27.207619,1.0,kg,Pan Hot Dog,8.1
Pack Hot Dog BRAEDT Paquete 600g,BRAEDT,S/ 13.50,vivanda,HOT DOG,2024-12-04 17:28:27.207619,600.0,g,Pack Hot Dog BRAEDT Paquete,13.5
Pack Hot Dog Vienesa SALCHICHERÍA ALEMANA Paquete 250g + 500g,SALCHICHERÍA ALEMANA,S/ 15.99,vivanda,HOT DOG,2024-12-04 17:28:27.207619,250.0,g,Pack Hot Dog Vienesa SALCHICHERÍA ALEMANA Paquete  +,15.99
Pan para Hot Dog BIMBO Bolsa 8un,BIMBO,S/ 11.20,vivanda,HOT DOG,2024-12-04 17:28:27.207619,8.0,un,Pan para Hot Dog BIMBO Bolsa,11.2
Salchichas TULIP Hot Dog Lata 125g,TULIP,S/ 9.50,vivanda,HOT DOG,2024-12-04 17:28:27.207619,125.0,g,Salchichas TULIP Hot Dog Lata,9.5
Pan Hot Dog LA FLORENCIA Paquete 360g,LA FLORENCIA,S/ 4.30,vivanda,HOT DOG,2024-12-04 17:28:27.207619,360.0,g,Pan Hot Dog LA FLORENCIA Paquete,4.3
Pan para Hot Dog BELL’S Bolsa 8un,BELL'S,S/ 7.50,vivanda,HOT DOG,2024-12-04 17:28:27.207619,8.0,un,Pan para Hot Dog BELL’S Bolsa,7.5
