description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Leche GLORIA UHT Entera Bolsa 900ml Paquete 3un,GLORIA,S/ 14.80,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,900.0,ml,Leche GLORIA UHT Entera Bolsa  Paquete,14.8
Leche UHT LAIVE Entera Bolsa 900ml,LAIVE,S/ 5.20,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,900.0,ml,Leche UHT LAIVE Entera Bolsa,5.2
Aceituna Negra Entera OLIVALLE Balde 750g,OLIVALLE,S/ 29.00,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,750.0,g,Aceituna Negra Entera OLIVALLE Balde,29.0
Frambuesa Entera GREEN FOOD Bolsa 400g,GREEN FOOD,S/ 31.30,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,400.0,g,Frambuesa Entera GREEN FOOD Bolsa,31.3
Leche UHT LAIVE Entera Light Bolsa 900ml,LAIVE,S/ 5.10,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,900.0,ml,Leche UHT LAIVE Entera Light Bolsa,5.1
Pimienta KARIÑO Negra entera Sobre 17Gr,KARINO,S/ 3.70,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,17.0,g,Pimienta KARIÑO Negra entera Sobre r,3.7
Leche Entera BELL'S Caja 1L,BELL'S,S/ 5.10,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,1.0,l,Leche Entera BELL'S Caja,5.1
Aceitunas en Conserva OLIVOS DEL SUR De aceituna botija entera Doypack 500g,OLIVOS DEL SUR,S/ 22.70,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,500.0,g,Aceitunas en Conserva OLIVOS DEL SUR De aceituna botija entera Doypack,22.7
Aceitunas en Conserva BELL'S Botija Entera Bolsa 250g,BELL'S,S/ 6.10,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,250.0,g,Aceitunas en Conserva BELL'S Botija Entera Bolsa,6.1
Aceitunas en Conserva BELL'S Verdes Enteras Bolsa 250g,BELL'S,S/ 6.10,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,250.0,g,Aceitunas en Conserva BELL'S Verdes Enteras Bolsa,6.1
