description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Maíz Morado Deshidratado GUVA Bolsa 1kg,GUVA,S/ 15.99,vivanda,MAÍZ MORADO,2024-12-04 17:11:20.387175,1.0,kg,Maíz Morado Deshidratado GUVA Bolsa,15.99
Flakes Orgánico ECOANDINO Maíz Morado Caja 300g,ECOANDINO,S/ 22.50,vivanda,MAÍZ MORADO,2024-12-04 17:11:20.387175,300.0,g,Flakes Orgánico ECOANDINO Maíz Morado Caja,22.5
Barra Aguaymanto y Maíz Morado SIETE DRAGONES Caja 5un,SIETE DRAGONES,S/ 18.80,vivanda,MAÍZ MORADO,2024-12-04 17:11:20.387175,5.0,un,Barra Aguaymanto y Maíz Morado SIETE DRAGONES Caja,18.8
