Market_name,Market_cat_name,Market_subcat_name,Product_name,Product_price,Product_description,Product_unit_type,Product_quantity,Product_type,Product_is_available,Product_branch,scrape_timestamp
Oxxo,Chocolates Y Dulces,Chocolates,sublime chocolate blanco con maní,3.5,Una sonrisa puede cambiarlo todo. Disfruta de la perfecta combinación de chocolate blanco con maní.,gr,38.0,none,True,sublime,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Chocolates,twix barra de chocolate cookie bars,5.0,Twix Barra de Chocolate Cookie Bars 50.7 g. Packing: Bolsa,gr,50.7,none,True,twix,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Chocolates,mm's peanut butter 49.0g,5.3,MM'S PEANUT BUTTER 49.0G,gr,49.0,none,True,,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Gomitas Y Caramelos,bon bon bum caramelo chupete sabor fresa,0.5,Chupete Sabor Fresa 19 g,gr,19.0,none,True,bon bon bum,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Gomitas Y Caramelos,sha chicle aterra lenguas,1.7,Bolsa,gr,22.0,none,True,,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Gomitas Y Caramelos,olé olé marshmallow sabor a vainilla con cobertura de chocolate,1.6,"Deliciosos masmelos sabor a vainilla con cobertura de chocolate, ideales para calmar esos antojos a la hora de consumir algo duce durante el día.",gr,31.5,none,True,ole ole,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Gomitas Y Caramelos,oka loka caramelo frutal 40 g,2.3,Caramelo Oka Loka Frutal 40 G,gr,40.0,none,True,oka loka,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Gomitas Y Caramelos,ambrosía gomita dulce de almidón sabor frutal,1.2,"Deliciosas gomitas de almidón, sabor a fresa, naranja, limón, piña y uva. Ideales para compartir y endulzar momentos especiales junto a tus seres queridos.",gr,32.0,none,True,ambrosoli,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Gomitas Y Caramelos,fruna caramelo blando sabor a manzana,0.7,"Descubre el equilibrio perfecto entre dulzura y frescura con estos deliciosos caramelos blandos con sabor a manzana. Sumérgete en la jugosidad de cada caramelo, mientras disfrutas de la auténtica esencia de las manzanas en una delicia que deleitará a los amantes del dulce.",und,24.0,none,True,fruna,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Gomitas Y Caramelos,ambrosito gomitas de gelatina sabores surtidos ,1.2,"Disfruta de estas ricas y deliciosas gomitas de gelatina sabores surtidos a fresa, naranja, limón, piña, manzana y cereza.",gr,25.0,none,True,ambrosoli,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Gomitas Y Caramelos,mogul gomitas de ositos en sabores variados,1.2,"Deléitate con el delicioso sabor de estas gomitas dulces en forma de ositos; son la elección perfecta para aquellos que buscan un caramelo con sabor y diversión. Con formas de ositos de colores y sabores surtidos, estas gomitas son una delicia para los amantes de los dulces.",gr,25.0,none,True,mogul,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Gomitas Y Caramelos,trululu gomitas confitadas sabores frutales,3.3,"Deliciosas gomitas Trululu de sabores frutales surtidos, crocantes por fuera y suavecitas por dentro, perfectas para compartir. Harán de tus fiestas las más deliciosas.",gr,90.0,none,True,trululu,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Gomitas Y Caramelos,trolli gomita de gusano sour glowworms,7.5,"Deliciosas gomitas de gusanos con un toque de dulzura y acidez, con sabores afrutados de naranja, lima, cereza, limón, fresa, uva. Perfectas para disfrutar con los que más quieres en cualquier ocasión.",und,100.0,none,True,trolli,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Gomitas Y Caramelos,ambrosoli caramelos full sabor cherry,1.3,"Disfruta de unos deliciosos caramelos duros, con sabor a cereza mentolada, una verdadera delicia que se deshace en tu boca, perfectos para endulzarte en cualquier momento del día.",gr,27.0,none,True,ambrosoli,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Gomitas Y Caramelos,ambrosia goma,3.7,Bolsa x 90 g,gr,90.0,none,True,ambrosoli,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Gomitas Y Caramelos,full caramelo menta sabor a limón,1.3, Caramelo Full Sabor a Limón. Bolsa de 22.5 gramos.,gr,22.5,none,True,ambrosoli,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Gomitas Y Caramelos,trululu gomitas gusanos ácidos,3.3,"Disfruta de unas deliciosas y esponjosas gomitas, con sabor frutal y ácido, puedes compartirlas o comerlas solas. Ideales para fiestas y celebraciones.",gr,80.0,none,True,trululu,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Gomitas Y Caramelos,bubbaloo caramelo masticable sparkies,1.7,"Disfruta de unos deliciosos caramelos masticables con sabores a frutas surtidas de sabor a naranja, limón, fresa, banana, cereza y uva, ideal para endulzar cualquier momento del día.",gr,25.0,none,True,bubbaloo,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Alfajores,cuchareable - alfajor con manjar,5.9,CUCHAREABLE - ALFAJOR CON MANJAR,und,1.0,none,True,,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Alfajores,bon o bon alfajor de chocolate,3.5,"Este alfajor es hecho con una deliciosa galleta cubierta de chocolate, tiene relleno a base de leche y maní. Perfecto para endulzar cualquier momento del día.",gr,40.0,none,True,bon o bon,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Alfajores,gustos mary alfajor bañado en chocolate.,12.5,Alfajores bañados en cobertura bitter para comerlo en cualquier momento del día. Pote Contiene 15 Unidades.,und,15.0,none,True,,2024-12-06 21:20:35.359878
Oxxo,Lácteos Y Huevos,Quesos,bonlé queso edam tajadas paquete,5.5,Queso Edam Bonlé Tajadas Paquete 90 G,und,1.0,none,True,bonlé,2024-12-06 21:20:35.340888
Oxxo,Lácteos Y Huevos,Quesos,philadelphia queso crema untable original,11.9,"Destaca por su sabor, cremosidad, calidad y frescura única, perfecto para untar.",gr,150.0,none,True,philadelphia,2024-12-06 21:20:35.352878
Oxxo,Lácteos Y Huevos,Quesos,laive queso pasteurizado edam,6.7,"Queso madurado, de pasta semidura fabricado en una planta de Arequipa. Su origen es holandés y es producido especialmente para que no tenga cáscara, facilitando así su corte en tajadas muy delgadas y su consumo en diversas preparaciones.",gr,90.0,none,True,laive,2024-12-06 21:20:35.352878
Oxxo,Lácteos Y Huevos,Mantequillas Y Margarinas,laive mantequilla con sal en barra,7.3,"Se puede usar para untar, así como para cocinar u hornear. Tiene un sabor fresco e irresistible que combina muy bien con cualquier platillo, desde salados hasta postres.",gr,100.0,none,True,laive,2024-12-06 21:20:35.352878
Oxxo,Lácteos Y Huevos,Mantequillas Y Margarinas,mantequilla de maní unión,11.5,,gr,200.0,none,True,unión,2024-12-06 21:20:35.352878
Oxxo,Lácteos Y Huevos,Leches,gloria leche entera,4.5,Nuestra receta tradicional que combina leche fluida y leche de vaca deshidratada de la mejor calidad manteniendo todos los nutrientes.,gr,390.0,none,True,gloria,2024-12-06 21:20:35.352878
Oxxo,Lácteos Y Huevos,Leches,gloria leche entera con vitaminas,6.4,"Leche entera, ultrapasteurizada, adicionada con vitaminas A y D. Perfecta para disfrutar y compartir con los que más quieres.",l,1.0,none,True,gloria,2024-12-06 21:20:35.352878
Oxxo,Lácteos Y Huevos,Leches,ideal mezcla láctea cremosita,4.0,"Es una excelente fuente de calcio, proteína y vitamina D, nutrientes esenciales que son necesarios para el normal crecimiento y desarrollo de huesos en los niños. Disfrútala en familia, con el punto exacto y delicioso de cremosidad, es perfecta para tu mesa y cocina.",gr,395.0,none,True,ideal,2024-12-06 21:20:35.352878
