description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Conserva CALE Aceitunas y alcachofas Frasco 185g,CALE,S/ 13.00,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,185.0,g,Conserva CALE Aceitunas y alcachofas Frasco,13.0
Conserva de Durazno en Mitades ACONCAGUA en Almibar Lata 822g,ACONCAGUA,S/ 10.90,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,822.0,g,Conserva de Durazno en Mitades ACONCAGUA en Almibar Lata,10.9
Filete de Atún Light REAL Lata 140g,REAL,S/ 6.50,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,140.0,g,Filete de Atún Light REAL Lata,6.5
Conserva de Pechuga de Pavo ALDELÍS en Agua y Sal Lata 155g,ALDELÍS,S/ 8.40,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,155.0,g,Conserva de Pechuga de Pavo ALDELÍS en Agua y Sal Lata,8.4
Conserva VALLE FERTIL Espárragos verdes Frasco 210Gr,VALLE FERTIL,S/ 10.20,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,210.0,g,Conserva VALLE FERTIL Espárragos verdes Frasco r,10.2
Filete de Pechuga de Pollo Criollo REDONDOS Bolsa 620g,REDONDOS,S/ 19.80,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,620.0,g,Filete de Pechuga de Pollo Criollo REDONDOS Bolsa,19.8
Filete de Atún CAMPOMAR en Aceite Lata 150g Paquete 2un,CAMPOMAR,S/ 12.00,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,150.0,g,Filete de Atún CAMPOMAR en Aceite Lata  Paquete,12.0
Conserva VALLE FERTIL Pimiento piquillo Frasco 290Gr,VALLE FERTIL,S/ 10.30,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,290.0,g,Conserva VALLE FERTIL Pimiento piquillo Frasco r,10.3
Conserva de Betarraga BELL'S Lata 345g,BELL'S,S/ 6.50,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,345.0,g,Conserva de Betarraga BELL'S Lata,6.5
Filete de Pez Roca SEAFROST Bolsa 450g,SEAFROST,S/ 22.10,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,450.0,g,Filete de Pez Roca SEAFROST Bolsa,22.1
Conserva de Maíz Tierno Entero GOYA Lata 248g,GOYA,S/ 7.90,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,248.0,g,Conserva de Maíz Tierno Entero GOYA Lata,7.9
Conserva BELL'S Puré de manzana Frasco 470g,BELL'S,S/ 9.20,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,470.0,g,Conserva BELL'S Puré de manzana Frasco,9.2
Filete de Atún REAL en Aceite Girasol Lata 140g,REAL,S/ 6.50,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,140.0,g,Filete de Atún REAL en Aceite Girasol Lata,6.5
Conserva VALLE FÉRTIL Crema de Choclo Desgranado Lata 418g,VALLE FERTIL,S/ 9.40,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,418.0,g,Conserva VALLE FÉRTIL Crema de Choclo Desgranado Lata,9.4
Conserva VALLE FERTIL Jalapeños en rodajas Frasco 225Gr,VALLE FERTIL,S/ 9.30,vivanda,FILETE DE PESCADO EN CONSERVA,2024-12-05 21:51:11.632078,225.0,g,Conserva VALLE FERTIL Jalapeños en rodajas Frasco r,9.3
