description,price,website,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
gansito pastelito de chocolate relleno fresa,S/ 3.5 und,Listo,2024-12-04 13:49:36.326280,50.0,gr,gansito pastelito de chocolate relleno fresa,3.5
pyc kekitos sabor a vainilla,S/ 3.5 und,Listo,2024-12-04 13:49:36.326280,105.0,gr,pyc kekitos sabor a vainilla,3.5
arawi torta de chocolate porción,S/ 8.9 und,Listo,2024-12-04 13:49:36.326280,1.0,und,arawi torta de chocolate porción,8.9
donofrio chocoton clasico bolsa 450 gr,S/ 21.9 und,Listo,2024-12-04 13:49:36.326280,450.0,gr,donofrio chocoton clasico,21.9
marinela pingüinos pasteles con relleno de crema,S/ 4.0 und,Listo,2024-12-04 13:49:36.326280,80.0,gr,marinela pingüinos pasteles con relleno de crema,4.0
pyc kekito sabor naranja,S/ 3.5 und,Listo,2024-12-04 13:49:36.326280,3.0,und,pyc kekito sabor naranja,3.5
bimbo bimboletes marmoleado,S/ 3.9 und,Listo,2024-12-04 13:49:36.326280,82.5,gr,bimbo bimboletes marmoleado,3.9
bimbo keke marmoleado vainilla y chocolate,S/ 11.5 und,Listo,2024-12-04 13:49:36.326280,380.0,gr,bimbo keke marmoleado vainilla y chocolate,11.5
bimbo keké ponqué sabor a naranja,S/ 11.5 und,Listo,2024-12-04 13:49:36.326280,380.0,gr,bimbo keké ponqué sabor a naranja,11.5
bimbo bimboletes sabor a vainilla,S/ 3.9 und,Listo,2024-12-04 13:49:36.326280,82.5,gr,bimbo bimboletes sabor a vainilla,3.9
d'onofrio chocolate chocotoncito,S/ 4.2 und,Listo,2024-12-04 13:49:36.326280,1.0,und,donofrio chocolate chocotoncito,4.2
bimbo paneton pasas y frutas,S/ 19.9 und,Listo,2024-12-04 13:49:36.326280,900.0,gr,bimbo paneton pasas y frutas,19.9
listo croissant con chocolate,S/ 6.9 und,Listo,2024-12-04 13:49:36.326280,1.0,und,listo croissant con chocolate,6.9
d'onofrio panetón buon natale,S/ 23.9 und,Listo,2024-12-04 13:49:36.326280,750.0,gr,donofrio panetón buon natale,23.9
d'onofrio panetón zipper 900 g,S/ 31.9 und,Listo,2024-12-04 13:49:36.326280,900.0,gr,donofrio panetón zipper,31.9
chocottone panettone con gotas de chocolate,S/ 5.2 und,Listo,2024-12-04 13:49:36.326280,100.0,gr,chocottone panettone con gotas de chocolate,5.2
bauducco panetón de frutas,S/ 5.2 und,Listo,2024-12-04 13:49:36.326280,100.0,gr,bauducco panetón de frutas,5.2
listo croissant navideño,S/ 6.9 und,Listo,2024-12-04 13:49:36.326280,1.0,und,listo croissant navideño,6.9
listo croissant de manjar,S/ 6.9 und,Listo,2024-12-04 13:49:36.326280,1.0,und,listo croissant de manjar,6.9
listo croissant con crema de avellanas,S/ 6.9 und,Listo,2024-12-04 13:49:36.326280,1.0,und,listo croissant con crema de avellanas,6.9
braedt hot dog de cerdo,S/ 6.9 und,Listo,2024-12-04 13:49:36.329411,200.0,gr,braedt hot dog de cerdo,6.9
otto kunz jamonada bologna,S/ 4.5 und,Listo,2024-12-04 13:49:36.329411,100.0,gr,otto kunz jamonada bologna,4.5
la despensa triple pollo/jamon/queso,S/ 7.9 und,Listo,2024-12-04 13:49:36.329411,1.0,und,la despensa triple pollo jamon queso,7.9
otto kunz jamón para pizza,S/ 5.5 und,Listo,2024-12-04 13:49:36.329411,200.0,gr,otto kunz jamón para pizza,5.5
salchichería suiza jamonada con pollo y cerdo,S/ 3.5 und,Listo,2024-12-04 13:49:36.329411,100.0,gr,salchichería suiza jamonada con pollo y cerdo,3.5
braedt jamonada de pollo con queso edam,S/ 8.9 und,Listo,2024-12-04 13:49:36.329411,180.0,gr,braedt jamonada de pollo con queso edam,8.9
otto kunz tocino ahumado,S/ 8.9 und,Listo,2024-12-04 13:49:36.329411,100.0,gr,otto kunz tocino ahumado,8.9
twix barra de chocolate cookie bars,S/ 5.0 und,Oxxo,2024-12-06 13:49:36.548009,50.7,gr,twix barra de chocolate cookie bars,5.0
ferrero rocher chocolate bombones,S/ 8.9 und,Oxxo,2024-12-06 13:49:36.548009,37.7,gr,ferrero rocher chocolate bombones,8.9
hershey chocolate leche,S/ 5.3 und,Oxxo,2024-12-06 13:49:36.548009,43.0,gr,hershey chocolate leche,5.3
kit kat oblea cubierta de chocolate,S/ 5.9 und,Oxxo,2024-12-06 13:49:36.548009,41.5,gr,kit kat oblea cubierta de chocolate,5.9
nestlé bombones surtidos,S/ 0.6 und,Oxxo,2024-12-06 13:49:36.548009,7.0,gr,nestlé bombones surtidos,0.6
sublime chocolateduo,S/ 1.9 und,Oxxo,2024-12-06 13:49:36.548009,28.0,gr,sublime chocolateduo,1.9
sublime chocolate con leche con maní,S/ 3.5 und,Oxxo,2024-12-06 13:49:36.548009,38.0,gr,sublime chocolate con leche con maní,3.5
princesa chocolate sabor fresa,S/ 2.9 und,Oxxo,2024-12-06 13:49:36.548009,30.0,gr,princesa chocolate sabor fresa,2.9
fochis pasas bañadas con chocolate,S/ 3.0 und,Oxxo,2024-12-06 13:49:36.548009,28.0,gr,fochis pasas bañadas con chocolate,3.0
pasteles pingüino triple sabor chocolate,S/ 4.0 und,Oxxo,2024-12-06 13:49:36.548009,80.0,gr,pasteles pingüino triple sabor chocolate,4.0
bon o bon bombón con chocolate,S/ 1.6 und,Oxxo,2024-12-06 13:49:36.548009,15.0,gr,bon o bon bombón con chocolate,1.6
costa vizzio almendra cubierta con chocolate,S/ 7.9 und,Oxxo,2024-12-06 13:49:36.548009,69.0,gr,costa vizzio almendra cubierta con chocolate,7.9
la ibérica chocolate milky sin azúcar,S/ 9.0 und,Oxxo,2024-12-06 13:49:36.548009,50.0,gr,la ibérica chocolate milky sin azúcar,9.0
milky way chocolate mars,S/ 5.3 und,Oxxo,2024-12-06 13:49:36.548009,52.2,gr,milky way chocolate mars,5.3
sb choc y chisp 100g,S/ 5.0 und,Oxxo,2024-12-06 13:49:36.548009,100.0,gr,sb choc y chisp,5.0
sublime chocolate almendras,S/ 4.9 und,Oxxo,2024-12-06 13:49:36.548009,50.0,gr,sublime chocolate almendras,4.9
helena bombón peccanroll de chocolate,S/ 6.9 und,Oxxo,2024-12-06 13:49:36.548009,30.0,gr,helena bombón peccanroll de chocolate,6.9
vizzio almendras cubiertas de chocolate con leche,S/ 1.5 und,Oxxo,2024-12-06 13:49:36.548009,21.0,gr,vizzio almendras cubiertas de chocolate con leche,1.5
la ibérica chocolate en barra mini fondy,S/ 2.8 und,Oxxo,2024-12-06 13:49:36.548009,20.0,gr,la ibérica chocolate en barra mini fondy,2.8
chocolate kit kat blanco 41.5 g,S/ 5.9 und,Oxxo,2024-12-06 13:49:36.548009,41.5,gr,chocolate kit kat blanco,5.9
reeses chocolate barra ,S/ 5.2 und,Oxxo,2024-12-06 13:49:36.548009,47.0,gr,reeses chocolate barra,5.2
la ibérica barra de chocolate mini milky sin azúcar ,S/ 3.5 und,Oxxo,2024-12-06 13:49:36.548009,20.0,gr,la ibérica barra de chocolate mini milky sin azúcar,3.5
chocolates helena chocoteja de pecana ,S/ 5.9 und,Oxxo,2024-12-06 13:49:36.548009,30.0,gr,chocolates helena chocoteja de pecana,5.9
ferrero rocher bombones de chocolate con avellanas,S/ 31.3 und,Oxxo,2024-12-06 13:49:36.548009,100.0,gr,ferrero rocher bombones de chocolate con avellanas,31.3
trento chocolate con relleno de avellanas,S/ 2.4 und,Oxxo,2024-12-06 13:49:36.548009,32.0,gr,trento chocolate con relleno de avellanas,2.4
vizzio  chocolate bitter,S/ 7.9 und,Oxxo,2024-12-06 13:49:36.548009,69.0,gr,vizzio chocolate bitter,7.9
choco kitkat dark 41.5 gr,S/ 5.9 und,Oxxo,2024-12-06 13:49:36.548009,41.5,gr,choco kitkat dark,5.9
la ibérica chocolate fondy cacao,S/ 6.5 und,Oxxo,2024-12-06 13:49:36.548009,50.0,gr,la ibérica chocolate fondy cacao,6.5
mont blanc chocolate sin azúcar añadidos 44%,S/ 6.5 und,Oxxo,2024-12-06 13:49:36.548009,50.0,gr,montblanc chocolate sin azúcar añadidos 44%,6.5
sublime chocolate bitter con maní,S/ 3.9 und,Oxxo,2024-12-06 13:49:36.548009,38.0,gr,sublime chocolate bitter con maní,3.9
sublime chocolate con leche y maní extremo,S/ 4.9 und,Oxxo,2024-12-06 13:49:36.548009,50.0,gr,sublime chocolate con leche y maní extremo,4.9
chocolate con leche mont blanc mix de nueces,S/ 4.0 und,Oxxo,2024-12-06 13:49:36.548009,50.0,gr,chocolate con leche montblanc mix de nueces,4.0
nikolo tableta de chocolate más extremo ,S/ 2.2 und,Oxxo,2024-12-06 13:49:36.548009,43.0,gr,nikolo tableta de chocolate más extremo,2.2
sublime chocolate sonrisa con leche y maní,S/ 3.9 und,Oxxo,2024-12-06 13:49:36.548009,38.0,gr,sublime chocolate sonrisa con leche y maní,3.9
fondy chocolate sabor a menta la ibérica,S/ 7.0 und,Oxxo,2024-12-06 13:49:36.548009,50.0,gr,fondy chocolate sabor a menta la ibérica,7.0
nikolo chocolate tableta,S/ 1.6 und,Oxxo,2024-12-06 13:49:36.548009,25.0,gr,nikolo chocolate tableta,1.6
milky la iberica chocolate en barracon pecanas y pasas,S/ 7.0 und,Oxxo,2024-12-06 13:49:36.548009,50.0,gr,milky la iberica chocolate en barracon pecanas y pasas,7.0
kinder joy huevito sorpresa para niño,S/ 6.9 und,Oxxo,2024-12-06 13:49:36.548009,20.0,gr,kinder joy huevito sorpresa para niño,6.9
la ibérica turrón de castañas y miel,S/ 9.9 und,Oxxo,2024-12-06 13:49:36.548009,30.0,gr,la ibérica turrón de castañas y miel,9.9
trento chocolate barquillo sabor a chocolate,S/ 2.4 und,Oxxo,2024-12-06 13:49:36.548009,2.0,und,trento chocolate barquillo sabor a chocolate,2.4
montblanc chocolate con leche,S/ 5.0 und,Oxxo,2024-12-06 13:49:36.548009,50.0,gr,montblanc chocolate con leche,5.0
bazo velarde manjar sabor a chocolate,S/ 4.5 und,Oxxo,2024-12-06 13:49:36.548009,200.0,gr,bazo velarde manjar sabor a chocolate,4.5
la ibérica pastillas de leche,S/ 26.5 und,Oxxo,2024-12-06 13:49:36.548009,150.0,gr,la ibérica pastillas de leche,26.5
vizzio chocolate en tableta,S/ 3.2 und,Oxxo,2024-12-06 13:49:36.548009,26.0,gr,vizzio chocolate en tableta,3.2
turbox innatochoc bitter cacao 55% - innato -,S/ 4.9 und,Oxxo,2024-12-06 13:49:36.548009,1.0,und,turbox innatochoc bitter cacao 55% innato,4.9
innato tableta de chocolate con leche,S/ 4.9 und,Oxxo,2024-12-06 13:49:36.548009,40.0,gr,innato tableta de chocolate con leche,4.9
winters barra de chocolate flow,S/ 3.5 und,Oxxo,2024-12-06 13:49:36.548009,48.0,gr,winters barra de chocolate flow,3.5
milky la iberica chocolate en barra con almendra,S/ 7.0 und,Oxxo,2024-12-06 13:49:36.548009,50.0,gr,milky la iberica chocolate en barra con almendra,7.0
yara bitter 45g,S/ 7.5 und,Oxxo,2024-12-06 13:49:36.548009,45.0,gr,yara bitter,7.5
chocolate bombones de coco la ibérica doy 100 g,S/ 21.9 und,Oxxo,2024-12-06 13:49:36.548009,100.0,gr,chocolate bombones de coco la ibérica,21.9
hersheys tableta de chocolate special dark 73 % de cacao,S/ 10.9 und,Oxxo,2024-12-06 13:49:36.548009,85.0,gr,hersheys tableta de chocolate special dark 73 % de cacao,10.9
innato wong chocolate lamin almenysal doypack,S/ 15.9 und,Oxxo,2024-12-06 13:49:36.548009,100.0,gr,innato wong chocolate lamin almenysal,15.9
bon o bon bombonesestrella navidad 105g surtido,S/ 16.9 und,Oxxo,2024-12-06 13:49:36.548009,105.0,gr,bon o bon bombonesestrella navidad surtido,16.9
nestlé bombón de chocolate sublime bola navideña,S/ 5.0 und,Oxxo,2024-12-06 13:49:36.548009,72.0,gr,nestlé bombón de chocolate sublime bola navideña,5.0
nestlé bombón de chocolate princesa bola navideña,S/ 5.0 und,Oxxo,2024-12-06 13:49:36.563633,72.0,gr,nestlé bombón de chocolate princesa bola navideña,5.0
nestlé bombón de chocolate triángulo bola navideña,S/ 5.0 und,Oxxo,2024-12-06 13:49:36.563633,72.0,gr,nestlé bombón de chocolate triángulo bola navideña,5.0
trululu gomitas gusanos ácidos,S/ 3.3 und,Oxxo,2024-12-06 13:49:36.563633,80.0,gr,trululu gomitas gusanos ácidos,3.3
bubbaloo caramelo masticable sparkies,S/ 1.7 und,Oxxo,2024-12-06 13:49:36.563633,25.0,gr,bubbaloo caramelo masticable sparkies,1.7
mogul gomitas dulces sabores frutales en rollo,S/ 1.9 und,Oxxo,2024-12-06 13:49:36.563633,35.0,gr,mogul gomitas dulces sabores frutales en rollo,1.9
trident chicle sin azúcar mora azul,S/ 4.5 und,Oxxo,2024-12-06 13:49:36.563633,30.6,gr,trident chicle sin azúcar mora azul,4.5
ambrosoli gomitas loop,S/ 3.7 und,Oxxo,2024-12-06 13:49:36.563633,90.0,gr,ambrosoli gomitas loop,3.7
oka loka nanos caramelo ácido sabor a fresa y limón,S/ 2.3 und,Oxxo,2024-12-06 13:49:36.563633,40.0,gr,oka loka nanos caramelo ácido sabor a fresa y limón,2.3
trident goma de mascar freshmint sin azúcar,S/ 4.5 und,Oxxo,2024-12-06 13:49:36.563633,30.6,gr,trident goma de mascar freshmint sin azúcar,4.5
halls caramelos duros mora azul 9 und,S/ 2.2 und,Oxxo,2024-12-06 13:49:36.563633,1.0,und,halls caramelos duros mora azul,2.2
trululu gomitas sabores frutales surtidos,S/ 1.5 und,Oxxo,2024-12-06 13:49:36.563633,35.0,gr,trululu gomitas sabores frutales surtidos,1.5
starburst caramelo original fruit chews,S/ 7.2 und,Oxxo,2024-12-06 13:49:36.563633,58.7,gr,starburst caramelo original fruit chews,7.2
skittles caramelo wild berry singles candy,S/ 6.3 und,Oxxo,2024-12-06 13:49:36.563633,62.0,gr,skittles caramelo wild berry singles candy,6.3
mentos caramelo masticable ,S/ 2.4 und,Oxxo,2024-12-06 13:49:36.563633,29.5,gr,mentos caramelo masticable,2.4
trident chicle splash sabor a yerbabuena y sandía,S/ 4.2 und,Oxxo,2024-12-06 13:49:36.563633,17.1,gr,trident chicle splash sabor a yerbabuena y sandía,4.2
trident goma de mascar sabor mora,S/ 1.9 und,Oxxo,2024-12-06 13:49:36.563633,8.5,gr,trident goma de mascar sabor mora,1.9
ambrosoli gomitas acidas gusanos,S/ 3.7 und,Oxxo,2024-12-06 13:49:36.563633,90.0,gr,ambrosoli gomitas acidas gusanos,3.7
mentos caramelos masticables sabor a menta,S/ 2.4 und,Oxxo,2024-12-06 13:49:36.563633,29.0,gr,mentos caramelos masticables sabor a menta,2.4
halls caramelo duro mentolado sabor a cereza-lyptus,S/ 2.2 und,Oxxo,2024-12-06 13:49:36.563633,25.0,gr,halls caramelo duro mentolado sabor a cereza lyptus,2.2
halls pastillas de caramelo sabor fruit mix,S/ 2.2 und,Oxxo,2024-12-06 13:49:36.563633,25.2,gr,halls pastillas de caramelo sabor fruit mix,2.2
chiclets goma de mascar en pastilla sabor a menta,S/ 1.9 und,Oxxo,2024-12-06 13:49:36.563633,16.8,gr,chiclets goma de mascar en pastilla sabor a menta,1.9
mogul gomita oso extreme,S/ 4.9 und,Oxxo,2024-12-06 13:49:36.563633,80.0,gr,mogul gomita oso extreme,4.9
trident goma de mascar menta sin azúcar,S/ 4.5 und,Oxxo,2024-12-06 13:49:36.563633,18.0,und,trident goma de mascar menta sin azúcar,4.5
trident chicle fresa,S/ 9.9 und,Oxxo,2024-12-06 13:49:36.563633,45.5,gr,trident chicle fresa,9.9
halls caramelos duros menta extra fuerte 9 und,S/ 2.2 und,Oxxo,2024-12-06 13:49:36.563633,1.0,und,halls caramelos duros menta extra fuerte,2.2
trolli gomas pizza,S/ 2.0 und,Oxxo,2024-12-06 13:49:36.563633,17.0,gr,trolli gomas pizza,2.0
halls caramelos duros menta eucalipto 9 und,S/ 2.2 und,Oxxo,2024-12-06 13:49:36.563633,1.0,und,halls caramelos duros menta eucalipto,2.2
ambrosoli ambromellows clásico,S/ 7.5 und,Oxxo,2024-12-06 13:49:36.563633,230.0,gr,ambrosoli ambromellows clásico,7.5
mentos caramelos masticables tutti fruti,S/ 2.4 und,Oxxo,2024-12-06 13:49:36.563633,29.0,gr,mentos caramelos masticables tutti fruti,2.4
trident goma de mascar sin azúcar con sabor a yerbabuena,S/ 4.5 und,Oxxo,2024-12-06 13:49:36.563633,30.6,gr,trident goma de mascar sin azúcar con sabor a yerbabuena,4.5
mentos caramelo limon,S/ 2.4 und,Oxxo,2024-12-06 13:49:36.563633,29.04,gr,mentos caramelo limon,2.4
mentos pastillas de menta clear breath,S/ 7.3 und,Oxxo,2024-12-06 13:49:36.563633,1.0,und,mentos pastillas de menta clear breath,7.3
trident chicle splash vainilla menta,S/ 4.2 und,Oxxo,2024-12-06 13:49:36.563633,17.1,gr,trident chicle splash vainilla menta,4.2
ambrosoli gomita ambrosito ácido,S/ 3.7 und,Oxxo,2024-12-06 13:49:36.563633,90.0,gr,ambrosoli gomita ambrosito ácido,3.7
ambrosoli gomita cerditos play,S/ 3.7 und,Oxxo,2024-12-06 13:49:36.563633,70.0,gr,ambrosoli gomita cerditos play,3.7
la ibérica caramelos toffees surtidos,S/ 9.6 und,Oxxo,2024-12-06 13:49:36.563633,100.0,gr,la ibérica caramelos toffees surtidos,9.6
chicle topline sabor inca kola sin azúcar,S/ 1.7 und,Oxxo,2024-12-06 13:49:36.563633,11.0,gr,chicle topline sabor inca kola sin azúcar,1.7
mentos chicle pure fresh spearmint,S/ 8.9 und,Oxxo,2024-12-06 13:49:36.563633,15.0,und,mentos chicle pure fresh spearmint,8.9
millows masmelos sabores surtidos,S/ 6.2 und,Oxxo,2024-12-06 13:49:36.563633,145.0,gr,millows masmelos sabores surtidos,6.2
millows masmelo cilindro blanco sabor natural,S/ 6.2 und,Oxxo,2024-12-06 13:49:36.563633,145.0,gr,millows masmelo cilindro blanco sabor natural,6.2
trident goma de mascar sin azúcar sabor menta,S/ 1.9 und,Oxxo,2024-12-06 13:49:36.563633,8.5,gr,trident goma de mascar sin azúcar sabor menta,1.9
fini marshmallow flor,S/ 5.5 und,Oxxo,2024-12-06 13:49:36.563633,80.0,gr,fini marshmallow flor,5.5
barbie caramelo duro anillo corazon 13 g,S/ 2.1 und,Oxxo,2024-12-06 13:49:36.563633,13.0,gr,barbie caramelo duro anillo corazon,2.1
trident goma de mascar sabor yerbabuena,S/ 1.9 und,Oxxo,2024-12-06 13:49:36.563633,8.5,gr,trident goma de mascar sabor yerbabuena,1.9
mentos pure fresh chicle fresh mint con té verde,S/ 8.9 und,Oxxo,2024-12-06 13:49:36.563633,30.0,gr,mentos pure fresh chicle fresh mint con té verde,8.9
goma sapos bolsa,S/ 4.9 und,Oxxo,2024-12-06 13:49:36.563633,80.0,gr,goma sapos,4.9
pastillas tic tac limon lima mandarina citrus mi(16 gr),S/ 3.3 und,Oxxo,2024-12-06 13:49:36.563633,16.0,gr,pastillas tic tac limon lima mandarina citrus mi,3.3
millows masmelos dulce navidad,S/ 4.0 und,Oxxo,2024-12-06 13:49:36.563633,145.0,gr,millows masmelos dulce navidad,4.0
gomas grissly delfin,S/ 4.0 und,Oxxo,2024-12-06 13:49:36.563633,80.0,gr,gomas grissly delfin,4.0
caramelos mini baston strawberry 40 g,S/ 12.9 und,Oxxo,2024-12-06 13:49:36.563633,40.0,gr,caramelos mini baston strawberry,12.9
orbit goma de máscar sabor fresa,S/ 6.2 und,Oxxo,2024-12-06 13:49:36.563633,26.6,gr,orbit goma de máscar sabor fresa,6.2
arcor oblea rellena de pasta de turron y mani,S/ 1.1 und,Oxxo,2024-12-06 13:49:36.563633,25.0,gr,arcor oblea rellena de pasta de turron y mani,1.1
reese's galleta peanut butter cup,S/ 5.0 und,Oxxo,2024-12-06 13:49:36.563633,42.0,gr,reeses galleta peanut butter cup,5.0
pyc turrón de doña pepa bañado con jarabe de frutas y grageas ,S/ 3.5 und,Oxxo,2024-12-06 13:49:36.563633,50.0,gr,pyc turrón de doña pepa bañado con jarabe de frutas y grageas,3.5
bizcocho chocman 33.5 g,S/ 1.0 und,Oxxo,2024-12-06 13:49:36.563633,33.5,gr,bizcocho chocman,1.0
gloria yogurt griegocon granola,S/ 4.9 und,Oxxo,2024-12-06 13:49:36.563633,128.0,gr,gloria yogurt griegocon granola,4.9
laive sbelt yogurt bebible sabor vainilla francesa,S/ 7.5 und,Oxxo,2024-12-06 13:49:36.563633,946.0,gr,laive sbelt yogurt bebible sabor vainilla francesa,7.5
gloria yogurt vainilla francesa,S/ 4.3 und,Oxxo,2024-12-06 13:49:36.563633,500.0,ml,gloria yogurt vainilla francesa,4.3
laive yogurt protein sabor vainilla,S/ 5.9 und,Oxxo,2024-12-06 13:49:36.563633,340.0,gr,laive yogurt protein sabor vainilla,5.9
laive yogurt probióticos sabor fresa,S/ 3.2 und,Oxxo,2024-12-06 13:49:36.563633,340.0,gr,laive yogurt probióticos sabor fresa,3.2
gloria yogurt bebible fresa,S/ 2.2 und,Oxxo,2024-12-06 13:49:36.563633,180.0,gr,gloria yogurt bebible fresa,2.2
gloria yogurt battimix vain ojuela,S/ 3.5 und,Oxxo,2024-12-06 13:49:36.563633,145.0,gr,gloria yogurt battimix vain ojuela,3.5
yofresh leche fermentada fresa,S/ 3.5 und,Oxxo,2024-12-06 13:49:36.563633,320.0,gr,yofresh leche fermentada fresa,3.5
chocolate con leche nestlé classic,S/ 11.9 und,Oxxo,2024-12-06 13:49:36.563633,80.0,gr,chocolate con leche nestlé classic,11.9
laive leche entera uht,S/ 6.0 und,Oxxo,2024-12-06 13:49:36.563633,946.0,ml,laive leche entera uht,6.0
laive mantequilla con sal en barra,S/ 7.3 und,Oxxo,2024-12-06 13:49:36.563633,100.0,gr,laive mantequilla con sal en barra,7.3
mantequilla de maní unión,S/ 11.5 und,Oxxo,2024-12-06 13:49:36.563633,200.0,gr,mantequilla de maní unión,11.5
gloria leche condensada parcialmente descremada,S/ 6.9 und,Oxxo,2024-12-06 13:49:36.563633,393.0,gr,gloria leche condensada parcialmente descremada,6.9
crickets chifle sabor a leche de tigre,S/ 4.5 und,Oxxo,2024-12-06 13:49:36.563633,60.0,gr,crickets chifle sabor a leche de tigre,4.5
bizcocho chocman 33.5 g,S/ 1.0 und,Oxxo,2024-12-06 13:49:36.563633,33.5,gr,bizcocho chocman,1.0
cheetos botana de maíz horneada sabor a mega queso,S/ 5.9 und,Oxxo,2024-12-06 13:49:36.563633,90.0,gr,cheetos botana de maíz horneada sabor a mega queso,5.9
papas lays ondas picante,S/ 5.9 und,Oxxo,2024-12-06 13:49:36.563633,140.0,gr,papas lays ondas picante,5.9
tor-tees snack de maíz frito clásico,S/ 6.4 und,Oxxo,2024-12-06 13:49:36.563633,138.0,gr,tor tees snack de maíz frito clásico,6.4
cheetos snack de maíz sabor a queso flamin hot crunchy,S/ 6.3 und,Oxxo,2024-12-06 13:49:36.563633,120.0,gr,cheetos snack de maíz sabor a queso flamin hot crunchy,6.3
cheetos boliqueso,S/ 5.9 und,Oxxo,2024-12-06 13:49:36.563633,110.0,gr,cheetos boliqueso,5.9
tor-tees  maíz frito picante en hojuelas bolsaza,S/ 6.4 und,Oxxo,2024-12-06 13:49:36.563633,138.0,gr,tor tees maíz frito picante en hojuelas bolsaza,6.4
takis tortillas fritas fuego,S/ 3.5 und,Oxxo,2024-12-06 13:49:36.563633,56.0,gr,takis tortillas fritas fuego,3.5
piqueo snax original,S/ 7.9 und,Oxxo,2024-12-06 13:49:36.563633,200.0,gr,piqueo snax original,7.9
doritos snacks de maíz sabor queso atrevido,S/ 5.9 und,Oxxo,2024-12-06 13:49:36.563633,90.0,gr,doritos snacks de maíz sabor queso atrevido,5.9
pringles papa sabor a queso,S/ 8.9 und,Oxxo,2024-12-06 13:49:36.563633,109.0,gr,pringles papa sabor a queso,8.9
cheetos snack de maíz sabor a queso picante,S/ 5.9 und,Oxxo,2024-12-06 13:49:36.563633,90.0,gr,cheetos snack de maíz sabor a queso picante,5.9
doritos snack sabor queso atrevido,S/ 10.9 und,Oxxo,2024-12-06 13:49:36.563633,190.0,gr,doritos snack sabor queso atrevido,10.9
granuts kraks maní oriental,S/ 5.5 und,Oxxo,2024-12-06 13:49:36.563633,180.0,gr,granuts kraks maní oriental,5.5
dyfferent crunch de garbanzo sabor a cheddar,S/ 7.7 und,Oxxo,2024-12-06 13:49:36.563633,75.0,gr,dyfferent crunch de garbanzo sabor a cheddar,7.7
crickets hojuelas de platano chifles salados,S/ 4.5 und,Oxxo,2024-12-06 13:49:36.563633,60.0,gr,crickets hojuelas de platano chifles salados,4.5
tor-tees hojuelas de maíz picante,S/ 3.3 und,Oxxo,2024-12-06 13:49:36.563633,71.0,gr,tor tees hojuelas de maíz picante,3.3
tor-tees salado,S/ 3.3 und,Oxxo,2024-12-06 13:49:36.563633,60.0,gr,tor tees salado,3.3
papas pringles chile habanero,S/ 14.9 und,Oxxo,2024-12-06 13:49:36.563633,158.0,gr,papas pringles chile habanero,14.9
crickets chifle salado,S/ 9.0 und,Oxxo,2024-12-06 13:49:36.563633,150.0,gr,crickets chifle salado,9.0
inka chips mezcla de hojuela vegetal tropical con sal frita,S/ 6.7 und,Oxxo,2024-12-06 13:49:36.563633,125.0,gr,inka chips mezcla de hojuela vegetal tropical con sal frita,6.7
papas ondas picantes riky tok 180 g,S/ 7.5 und,Oxxo,2024-12-06 13:49:36.563633,180.0,gr,papas ondas picantes riky tok,7.5
natuchips camote  ,S/ 9.5 und,Oxxo,2024-12-06 13:49:36.563633,135.0,gr,natuchips camote,9.5
palitos chin pic 42g,S/ 1.9 und,Oxxo,2024-12-06 13:49:36.563633,42.0,gr,palitos chin pic,1.9
inka chips papa frita kettle jalapeño hoso,S/ 2.6 und,Oxxo,2024-12-06 13:49:36.563633,30.0,gr,inka chips papa frita kettle jalapeño hoso,2.6
inka chips papa frita kettle cebolla caramelizada y bbq hoso,S/ 2.6 und,Oxxo,2024-12-06 13:49:36.563633,30.0,gr,inka chips papa frita kettle cebolla caramelizada y bbq hoso,2.6
dyfferent crunch de garbanzo sabor a bbq,S/ 7.7 und,Oxxo,2024-12-06 13:49:36.563633,100.0,gr,dyfferent crunch de garbanzo sabor a bbq,7.7
chizitos snack sabor a queso,S/ 7.9 und,Oxxo,2024-12-06 13:49:36.563633,190.0,gr,chizitos snack sabor a queso,7.9
tostitos redondos salado,S/ 11.9 und,Oxxo,2024-12-06 13:49:36.563633,200.0,gr,tostitos redondos salado,11.9
palitos chinos salados,S/ 1.9 und,Oxxo,2024-12-06 13:49:36.563633,42.0,gr,palitos chinos salados,1.9
tiyapuy hojuela de papa nativas mix,S/ 8.9 und,Oxxo,2024-12-06 13:49:36.563633,142.0,gr,tiyapuy hojuela de papa nativas mix,8.9
inka chips de camote con sal marina,S/ 7.3 und,Oxxo,2024-12-06 13:49:36.563633,130.0,gr,inka chips de camote con sal marina,7.3
inka chips papa frita kettle salada hoso,S/ 2.6 und,Oxxo,2024-12-06 13:49:36.563633,33.0,gr,inka chips papa frita kettle salada hoso,2.6
inka chips papas fritas onduladas sabor finas hierbas & lima,S/ 9.1 und,Oxxo,2024-12-06 13:49:36.563633,115.0,gr,inka chips papas fritas onduladas sabor finas hierbas lima,9.1
papas lays ondas clásicas,S/ 5.9 und,Oxxo,2024-12-06 13:49:36.563633,140.0,gr,papas lays ondas clásicas,5.9
inka corn maíz gigante frito salado original,S/ 6.6 und,Oxxo,2024-12-06 13:49:36.563633,100.0,gr,inka corn maíz gigante frito salado original,6.6
