description,price,website,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
olé olé marshmallow sabor a vainilla con cobertura de chocolate,S/ 1.6 und,Oxxo,2024-12-04 13:49:36.249584,31.5,gr,olé olé marshmallow sabor a vainilla con cobertura de chocolate,1.6
fruna caramelo blando sabor a manzana,S/ 0.7 und,Oxxo,2024-12-04 13:49:36.249584,24.0,und,fruna caramelo blando sabor a manzana,0.7
ambrosía gomita dulce de almidón sabor frutal,S/ 1.2 und,Oxxo,2024-12-04 13:49:36.249584,32.0,gr,ambrosía gomita dulce de almidón sabor frutal,1.2
trululu gomitas confitadas sabores frutales,S/ 3.3 und,Oxxo,2024-12-04 13:49:36.249584,90.0,gr,trululu gomitas confitadas sabores frutales,3.3
oka loka caramelo frutal 40 g,S/ 2.3 und,Oxxo,2024-12-04 13:49:36.249584,40.0,gr,oka loka caramelo frutal,2.3
sha chicle aterra lenguas,S/ 1.7 und,Oxxo,2024-12-04 13:49:36.249584,22.0,gr,sha chicle aterra lenguas,1.7
trolli gomita de gusano sour glowworms,S/ 7.5 und,Oxxo,2024-12-04 13:49:36.249584,100.0,und,trolli gomita de gusano sour glowworms,7.5
mogul gomitas de ositos en sabores variados,S/ 1.2 und,Oxxo,2024-12-04 13:49:36.249584,25.0,gr,mogul gomitas de ositos en sabores variados,1.2
ambrosia goma,S/ 3.7 und,Oxxo,2024-12-04 13:49:36.249584,90.0,gr,ambrosia goma,3.7
ambrosoli caramelos full sabor cherry,S/ 1.3 und,Oxxo,2024-12-04 13:49:36.249584,27.0,gr,ambrosoli caramelos full sabor cherry,1.3
ambrosito gomitas de gelatina sabores surtidos ,S/ 1.2 und,Oxxo,2024-12-04 13:49:36.249584,25.0,gr,ambrosito gomitas de gelatina sabores surtidos,1.2
mogul gomitas con forma de osos extreme,S/ 2.8 und,Oxxo,2024-12-04 13:49:36.249584,55.0,gr,mogul gomitas con forma de osos extreme,2.8
ambrosoli ambromellows mini,S/ 1.2 und,Oxxo,2024-12-04 13:49:36.249584,24.0,gr,ambrosoli ambromellows mini,1.2
full caramelo menta sabor a limón,S/ 1.3 und,Oxxo,2024-12-04 13:49:36.249584,22.5,gr,full caramelo menta sabor a limón,1.3
cuchareable - alfajor con manjar,S/ 5.9 und,Oxxo,2024-12-04 13:49:36.249584,1.0,und,cuchareable alfajor con manjar,5.9
bon o bon alfajor de chocolate,S/ 3.5 und,Oxxo,2024-12-04 13:49:36.249584,40.0,gr,bon o bon alfajor de chocolate,3.5
gustos mary alfajor bañado en chocolate.,S/ 12.5 und,Oxxo,2024-12-04 13:49:36.249584,15.0,und,gustos mary alfajor bañado en chocolate,12.5
gloria yogurt battimix vain con chocolate,S/ 3.5 und,Oxxo,2024-12-04 13:49:36.258701,145.0,gr,gloria yogurt battimix vain con chocolate,3.5
gloria batido proteico pro triple zero sabor chocolate,S/ 4.9 und,Oxxo,2024-12-04 13:49:36.258701,320.0,ml,gloria batido proteico pro triple zero sabor chocolate,4.9
yogurt deslactosado con berries yoleit griego mix pote,S/ 4.7 und,Oxxo,2024-12-04 13:49:36.258701,125.0,gr,yogurt deslactosado con berries yoleit griego mix pote,4.7
gloria bebida pro láctea batido con proteínas,S/ 4.9 und,Oxxo,2024-12-04 13:49:36.258701,320.0,ml,gloria bebida pro láctea batido con proteínas,4.9
gloria yogurt griego batido sabor frutos rojos,S/ 2.5 und,Oxxo,2024-12-04 13:49:36.258701,120.0,gr,gloria yogurt griego batido sabor frutos rojos,2.5
gloria yogurt bebible fresa,S/ 7.5 und,Oxxo,2024-12-04 13:49:36.258701,1.0,kg,gloria yogurt bebible fresa,7.5
gloria yogurt bebible vainil.fran,S/ 7.5 und,Oxxo,2024-12-04 13:49:36.258701,1.0,kg,gloria yogurt bebible vainilla francesa,7.5
laive yogurt griego frutos rojos sin azúcar,S/ 10.5 und,Oxxo,2024-12-04 13:49:36.258701,800.0,gr,laive yogurt griego frutos rojos sin azúcar,10.5
gloria yogurt battimix vainilla con mini galleta de chocolate,S/ 3.5 und,Oxxo,2024-12-04 13:49:36.258701,138.0,gr,gloria yogurt battimix vainilla con mini galleta de chocolate,3.5
