description,brand,price,website,search_term,scrape_timestamp
Jarra BASA 4.50 L Transparente Con Tapa Color Surtido,BASA,S/ 16.50,vivanda,PAPA COLOR,2024-12-07 14:37:46.670012
Jarra con Mezclador BASA 3.50L Transparente Con Tapa Color Surtido,BASA,S/ 17.50,vivanda,PAPA COLOR,2024-12-07 14:37:46.670012
Jarra BASA 3.50 L Transparente Con Tapa Color Surtido,BASA,S/ 15.50,vivanda,PAPA COLOR,2024-12-07 14:37:46.670012
