description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Sixpack Gaseosa Coca Cola Sabor Original Botella 300ml,S/ 16.40,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,300.0,ml,Sixpack Gaseosa Coca Cola Sabor Original Botella,16.4
Twopack Gaseosa Schweppes Citrus Botella 1.5L,S/ 9.90,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,1.5,l,Twopack Gaseosa Schweppes Citrus Botella,9.9
Twopack Gaseosa Coca Cola Sabor Original Botella 2.5L,S/ 17.90,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,2.5,l,Twopack Gaseosa Coca Cola Sabor Original Botella,17.9
Twopack Gaseosa Schweppes Ginger Ale Botella 1.5L,S/ 9.90,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,1.5,l,Twopack Gaseosa Schweppes Ginger Ale Botella,9.9
Sixpack Gaseosa Inca Kola Sabor Original Botella 500ml,S/ 15.00,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,500.0,ml,Sixpack Gaseosa Inca Kola Sabor Original Botella,15.0
Pack x12 Gaseosa Botella 300ml: Coca Cola + Inca Kola + Fanta + Sprite,S/ 19.50,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,12.0,g,Pack xaseosa Botella : Coca Cola + Inca Kola + Fanta + Sprite,19.5
Sixpack Gaseosa Coca Cola Sin Azúcar Botella 300ml,S/ 16.40,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,300.0,ml,Sixpack Gaseosa Coca Cola Sin Azúcar Botella,16.4
Sixpack Gaseosa Sprite Botella 500ml,S/ 13.60,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,500.0,ml,Sixpack Gaseosa Sprite Botella,13.6
Mix de Gaseosas Botella 3L: Coca Cola + Inca Kola + Fanta,S/ 26.50,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,3.0,l,Mix de Gaseosas Botella : Coca Cola + Inca Kola + Fanta,26.5
Sixpack Gaseosa Inca Kola Sabor Original Botella 300ml,S/ 16.40,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,300.0,ml,Sixpack Gaseosa Inca Kola Sabor Original Botella,16.4
Pack Evervess Mixers: 2un Ginger Ale 1.5L + 2un Tónica 1.5L,S/ 23.80,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,2.0,un,Pack Evervess Mixers:  Ginger Ale  +  Tónica,23.8
Fourpack Gaseosa Coca Cola Sabor Original Botella 3L,S/ 40.90,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,3.0,l,Fourpack Gaseosa Coca Cola Sabor Original Botella,40.9
Pack Evervess Mixers: Ginger Ale 1.5L + Tónica 1.5L,S/ 9.90,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,1.5,l,Pack Evervess Mixers: Ginger Ale  + Tónica,9.9
Fourpack Gaseosa Inca Kola Sabor Original Botella 3L,S/ 40.90,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,3.0,l,Fourpack Gaseosa Inca Kola Sabor Original Botella,40.9
Mix de Gaseosas Botella 3L: Fanta + Fanta Kola Inglesa + Sprite,S/ 18.90,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,3.0,l,Mix de Gaseosas Botella : Fanta + Fanta Kola Inglesa + Sprite,18.9
Twopack Gaseosa Inca Kola Botella 2.5L,S/ 17.90,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,2.5,l,Twopack Gaseosa Inca Kola Botella,17.9
Sixpack Gaseosa Inca Kola Sin Azúcar Botella 300ml,S/ 16.40,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,300.0,ml,Sixpack Gaseosa Inca Kola Sin Azúcar Botella,16.4
Agua Tonica Canada Dry Lata 355 ml,S/ 6.90,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,355.0,ml,Agua Tonica Canada Dry Lata,6.9
Ginger Ale Evervess Botella 500 ml,S/ 2.50,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,500.0,ml,Ginger Ale Evervess Botella,2.5
Pepsi Black Botella 355ml,S/ 1.00,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,355.0,ml,Pepsi Black Botella,1.0
Sixpack Gaseosa Sprite Lima Limón Botella 500ml,S/ 13.50,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,500.0,ml,Sixpack Gaseosa Sprite Lima Limón Botella,13.5
Ginger Ale Evervess Botella 1.5L,S/ 6.99,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,1.5,l,Ginger Ale Evervess Botella,6.99
Sixpack Gaseosa Fanta Kola Inglesa Botella 500ml,S/ 13.50,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,500.0,ml,Sixpack Gaseosa Fanta Kola Inglesa Botella,13.5
Gaeosa Crush Fresa Lata 355 ml,S/ 6.90,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,355.0,ml,Gaeosa Crush Fresa Lata,6.9
Sixpack Gaseosa Fanta Botella 500ml,S/ 13.50,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,500.0,ml,Sixpack Gaseosa Fanta Botella,13.5
Twopack Gaseosa Pepsi Lata 355 ml,S/ 11.00,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,355.0,ml,Twopack Gaseosa Pepsi Lata,11.0
Two Pack Pepsi 3 L c/u,S/ 16.50,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,3.0,l,Two Pack Pepsi  c/u,16.5
Ginger Ale Wong Botella 1.5 L,S/ 5.40,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,1.5,l,Ginger Ale Wong Botella,5.4
Twopack Gaseosa Pepsi Regular Botella 1.5L,S/ 11.00,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,1.5,l,Twopack Gaseosa Pepsi Regular Botella,11.0
Mix de Gaseosas Botella 3L: Inca Kola + Fanta + Sprite,S/ 24.50,wong,BEBIDAS GASEOSAS,2024-12-05 19:33:18.529154,3.0,l,Mix de Gaseosas Botella : Inca Kola + Fanta + Sprite,24.5
