description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Galletas de Maíz Horneadas Salmas 144g,S/ 10.50,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,144.0,g,Galletas de Maíz Horneadas Salmas,10.5
Tortillas de Trigo Integrales Rapiditas Bimbo Paquete 12 unid,S/ 10.50,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,12.0,un,Tortillas de Trigo Integrales Rapiditas Bimbo Paquete,10.5
Tortillas Bimbo Rapiditas Cero Cero 280g,S/ 10.50,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,280.0,g,Tortillas Bimbo Rapiditas Cero Cero,10.5
Twelvepack Galletas de Maíz Salmas Horneadas 18g,S/ 14.90,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,18.0,g,Twelvepack Galletas de Maíz Salmas Horneadas,14.9
Galletas de Maíz Horneadas Sin Gluten Salmas Sanissimo Caja 360 g,S/ 17.90,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,360.0,g,Galletas de Maíz Horneadas Sin Gluten Salmas Sanissimo Caja,17.9
Galletas Salmas Camote y Zanahoria 126g,S/ 11.50,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,126.0,g,Galletas Salmas Camote y Zanahoria,11.5
Galletas de Maíz Horneadas Salmas Granos y Semillas 126g,S/ 11.50,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,126.0,g,Galletas de Maíz Horneadas Salmas Granos y Semillas,11.5
Tortilla Artesanal Clásica El Cedro 12un,S/ 9.90,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,12.0,un,Tortilla Artesanal Clásica El Cedro,9.9
Tortillas Artesanales Integrales El Cedro 12un,S/ 9.90,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,12.0,un,Tortillas Artesanales Integrales El Cedro,9.9
Galletas de Maíz Horneadas Salmitas Caja 80 g,S/ 5.50,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,80.0,g,Galletas de Maíz Horneadas Salmitas Caja,5.5
Mini Tostadas Clásicas 36un,S/ 6.90,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,36.0,un,Mini Tostadas Clásicas,6.9
Tortillas de Trigo Tía Rosa Burrera 465g,S/ 11.00,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,465.0,g,Tortillas de Trigo Tía Rosa Burrera,11.0
Tortillas de Trigo para Wraps El Taco 10un,S/ 11.50,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,10.0,un,Tortillas de Trigo para Wraps El Taco,11.5
Tortillas de Maíz Saniito 12un,S/ 10.60,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,12.0,un,Tortillas de Maíz Saniito,10.6
Galletas de Maíz Horneadas Salmas Maíz Morado 126g,S/ 11.50,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,126.0,g,Galletas de Maíz Horneadas Salmas Maíz Morado,11.5
Tortillas de Trigo Tía Rosa 425g,S/ 11.00,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,425.0,g,Tortillas de Trigo Tía Rosa,11.0
Tortillas de Trigo El Taco 10un,S/ 10.50,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,10.0,un,Tortillas de Trigo El Taco,10.5
Tortilla de Maíz Tía Rosa 10un.,S/ 10.00,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,10.0,un,Tortilla de Maíz Tía Rosa .,10.0
Tortillas de Maíz El Taco 10un,S/ 12.10,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,10.0,un,Tortillas de Maíz El Taco,12.1
Mini Tostadas con Finas Hierbas Wong 110g,S/ 6.90,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,110.0,g,Mini Tostadas con Finas Hierbas Wong,6.9
Tortillas de Trigo Integral El Taco 10un,S/ 13.90,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,10.0,un,Tortillas de Trigo Integral El Taco,13.9
Galletas de Maíz Horneadas Sin Gluten Salmas Sanissimo Caja 90 g,S/ 8.30,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,90.0,g,Galletas de Maíz Horneadas Sin Gluten Salmas Sanissimo Caja,8.3
Tortilla de Trigo Tía Rosa 10un.,S/ 10.00,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,10.0,un,Tortilla de Trigo Tía Rosa .,10.0
Mini Tostadas Integrales 36un,S/ 6.90,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,36.0,un,Mini Tostadas Integrales,6.9
Mini Tostada Il Pastificio Ajo y Orégano 100g,S/ 9.90,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,100.0,g,Mini Tostada Il Pastificio Ajo y Orégano,9.9
Tortillas de Maíz Saniito 8un,S/ 11.70,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,8.0,un,Tortillas de Maíz Saniito,11.7
Cebada Tostada Bolsa 150 g,S/ 7.30,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,150.0,g,Cebada Tostada Bolsa,7.3
Tripack Tortillas de Trigo Rapiditas Clásicas 12un,S/ 31.50,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,12.0,un,Tripack Tortillas de Trigo Rapiditas Clásicas,31.5
Tortillas Tradicionales Cuisine & Co 12un,S/ 6.90,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,12.0,un,Tortillas Tradicionales Cuisine & Co,6.9
Pack x3 Tortillas de Trigo Clásicas Rapiditas Wraps Bimbo Paquete 310g,S/ 31.50,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,310.0,g,Pack x3 Tortillas de Trigo Clásicas Rapiditas Wraps Bimbo Paquete,31.5
Harina Tostada de 7 Semillas Perú Inka 400g,S/ 12.40,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,400.0,g,Harina Tostada de 7 Semillas Perú Inka,12.4
Mini Tostada Il Pastificio Tomate y Orégano 100g,S/ 9.90,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,100.0,g,Mini Tostada Il Pastificio Tomate y Orégano,9.9
Pack x3 Tortillas de Trigo Integrales Rapiditas Bimbo Paquete 310g,S/ 31.50,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,310.0,g,Pack x3 Tortillas de Trigo Integrales Rapiditas Bimbo Paquete,31.5
Croutones de Pan Caja 60 g,S/ 6.40,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,60.0,g,Croutones de Pan Caja,6.4
Tortillas con Salvado de Trigo Cuisine & Co 12un,S/ 6.90,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,12.0,un,Tortillas con Salvado de Trigo Cuisine & Co,6.9
"Cerveza Sin Alcohol Mahou 0,0 Tostada Botella 330ml",S/ 5.00,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,330.0,ml,"Cerveza Sin Alcohol Mahou 0,0 Tostada Botella",5.0
Bruschetas Chips Maretti Mediterráneas 70g,S/ 6.10,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,70.0,g,Bruschetas Chips Maretti Mediterráneas,6.1
Pack x2 Tostadas Integrales Bimbo Cero Cero Bolsa 140g,S/ 18.40,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,140.0,g,Pack x2 Tostadas Integrales Bimbo Cero Cero Bolsa,18.4
"Bruschetas Chips Maretti Tomate, Aceituna y Orégano 70g",S/ 6.10,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,70.0,g,"Bruschetas Chips Maretti Tomate, Aceituna y Orégano",6.1
Pack x2 Tostadas Integrales Bimbo Paquete 180g,S/ 19.00,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,180.0,g,Pack x2 Tostadas Integrales Bimbo Paquete,19.0
Pack x2 Tostadas Clásicas Bimbo Paquete 160g,S/ 19.00,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,160.0,g,Pack x2 Tostadas Clásicas Bimbo Paquete,19.0
"Cerveza Sin Alcohol Mahou 0,0 Tostada Lata 330ml",S/ 5.00,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,330.0,ml,"Cerveza Sin Alcohol Mahou 0,0 Tostada Lata",5.0
Tripack Tortillas Bimbo Rapiditas Cero Cero 280g,S/ 31.50,wong,TOSTADAS (MOLDE),2024-12-05 17:42:37.262734,280.0,g,Tripack Tortillas Bimbo Rapiditas Cero Cero,31.5
