description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Tripack Bebida Instantánea Clight Sin Calorías Sabor Toronja 14g,S/ 5.00,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,14.0,g,Tripack Bebida Instantánea Clight Sin Calorías Sabor Toronja,5.0
Bebida en Polvo Clight Sin Calorías Sabor Piña 14g,S/ 2.30,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,14.0,g,Bebida en Polvo Clight Sin Calorías Sabor Piña,2.3
Chicha Morada Gloria Botella 3 L,S/ 8.20,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,3.0,l,Chicha Morada Gloria Botella,8.2
Bebida en Polvo Clight Sin Calorías Sabor Naranja 14g,S/ 2.30,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,14.0,g,Bebida en Polvo Clight Sin Calorías Sabor Naranja,2.3
Salsa Culantrito con Espinaca Envasado 550 g,S/ 15.20,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,550.0,g,Salsa Culantrito con Espinaca Envasado,15.2
Bebida en Polvo Clight Sin Calorías Sabor Limón 14g,S/ 2.30,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,14.0,g,Bebida en Polvo Clight Sin Calorías Sabor Limón,2.3
Jugo de Manzana Florida's Nature Lata 340ml,S/ 5.90,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,340.0,ml,Jugo de Manzana Florida's Nature Lata,5.9
Chicha Morada Cuisine & Co 1L,S/ 5.90,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.0,l,Chicha Morada Cuisine & Co,5.9
Chicha Morada Naturale Botella 500 ml,S/ 4.80,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,500.0,ml,Chicha Morada Naturale Botella,4.8
Gelatina Bebible Umsha Frutísimos Sabor Fresa 20g,S/ 1.60,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,20.0,g,Gelatina Bebible Umsha Frutísimos Sabor Fresa,1.6
Bebida en Polvo Clight Sin Calorías Sabor Mandarina 14g,S/ 2.30,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,14.0,g,Bebida en Polvo Clight Sin Calorías Sabor Mandarina,2.3
Chicha Morada Selva Botella 900ml,S/ 7.20,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,900.0,ml,Chicha Morada Selva Botella,7.2
Gelatina Bebible Umsha Frutísimos Sabor Piña 20g,S/ 1.60,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,20.0,g,Gelatina Bebible Umsha Frutísimos Sabor Piña,1.6
Bebida en Polvo Clight Sin Calorías Sabor Fresa 14g,S/ 2.30,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,14.0,g,Bebida en Polvo Clight Sin Calorías Sabor Fresa,2.3
Bebida Casera Gloria Chicha Morada Botella 320ml,S/ 1.90,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,320.0,ml,Bebida Casera Gloria Chicha Morada Botella,1.9
Chicha Morada Cuisine & Co 500ml,S/ 3.90,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,500.0,ml,Chicha Morada Cuisine & Co,3.9
Bebida Chicha Morada Don Fidel 1.9L,S/ 14.90,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.9,l,Bebida Chicha Morada Don Fidel,14.9
Chicha Morada Gloria Botella 400 ml,S/ 1.80,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,400.0,ml,Chicha Morada Gloria Botella,1.8
Bebida Instantánea Umsha Chicha Morada 13g,S/ 1.00,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,13.0,g,Bebida Instantánea Umsha Chicha Morada,1.0
Chicha Morada Selva Botella 300ml,S/ 4.40,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,300.0,ml,Chicha Morada Selva Botella,4.4
Sixpack Concentrado de Chicha Morada Naturale 250ml,S/ 26.99,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,250.0,ml,Sixpack Concentrado de Chicha Morada Naturale,26.99
Jugo de Frutas Florida's Premium Fruit Splash Lata 340ml,S/ 5.90,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,340.0,ml,Jugo de Frutas Florida's Premium Fruit Splash Lata,5.9
Sixpack Concentrado de Emoliente Naturale 250ml,S/ 26.99,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,250.0,ml,Sixpack Concentrado de Emoliente Naturale,26.99
Bebida Instantánea Umsha Fresa 13g,S/ 1.00,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,13.0,g,Bebida Instantánea Umsha Fresa,1.0
Bebida Chicha Morada Don Fidel 500ml,S/ 4.90,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,500.0,ml,Bebida Chicha Morada Don Fidel,4.9
Bebida Frugos del Valle Chicha Morada Botella 1L,S/ 4.00,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.0,l,Bebida Frugos del Valle Chicha Morada Botella,4.0
Filete de Salmón Fresco x kg,S/ 72.50 x kg,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.0,kg,Filete de Salmón Fresco,72.5
Queso Fresco Bonlé x kg,S/ 36.50 x kg,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.0,kg,Queso Fresco Bonlé,36.5
Queso Fresco Light Cuisine & Co x kg,S/ 37.00 x kg,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.0,kg,Queso Fresco Light Cuisine & Co,37.0
Queso Fresco Laive x kg,S/ 37.90 x kg,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.0,kg,Queso Fresco Laive,37.9
Queso Fresco Cuisine & Co x kg,S/ 37.00 x kg,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.0,kg,Queso Fresco Cuisine & Co,37.0
Queso Fresco Gloria Molde 400 g,S/ 37.90 x kg,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,400.0,g,Queso Fresco Gloria Molde,37.9
Queso Fresco Sin Lactosa Laive x kg,S/ 38.90 x kg,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.0,kg,Queso Fresco Sin Lactosa Laive,38.9
Pollo Fresco Sin Menudencia Artisan Libre de Antibióticos x kg,S/ 16.50 x kg,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.0,kg,Pollo Fresco Sin Menudencia Artisan Libre de Antibióticos,16.5
Queso Mozzarella en Tajadas Braedt 180g,S/ 12.50,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,180.0,g,Queso Mozzarella en Tajadas Braedt,12.5
Queso Fresco Laive Sbelt Laive x kg,S/ 38.90 x kg,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.0,kg,Queso Fresco Laive Sbelt Laive,38.9
Queso Mozzarella Laive Light 250g,S/ 13.90,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,250.0,g,Queso Mozzarella Laive Light,13.9
Queso Fresco Andino Plusa x kg,S/ 43.80 x kg,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.0,kg,Queso Fresco Andino Plusa,43.8
Queso Mozzarella Laive 250g,S/ 13.90,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,250.0,g,Queso Mozzarella Laive,13.9
Queso Cottage Plusa pote 225 g,S/ 11.80,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,225.0,g,Queso Cottage Plusa pote,11.8
Pollo Fresco con Menudencia San Fernando x Kg,S/ 10.45 x kg,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.0,kg,Pollo Fresco con Menudencia San Fernando,10.45
Queso Mozzarella Bonlé bola 250 g,S/ 13.00,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,250.0,g,Queso Mozzarella Bonlé bola,13.0
Detergente en Polvo Sapolio Aros de Poder Fresco Limón 2kg,S/ 18.90,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,2.0,kg,Detergente en Polvo Sapolio Aros de Poder Fresco Limón,18.9
Queso Fresco Mozzarella Duman Molde 240 gr,S/ 14.32,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,240.0,g,Queso Fresco Mozzarella Duman Molde r,14.32
Aguaymanto Fresco Pelado 200g,S/ 2.99,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,200.0,g,Aguaymanto Fresco Pelado,2.99
Queso Mozzarella Light Duman Bola 200g,S/ 11.68,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,200.0,g,Queso Mozzarella Light Duman Bola,11.68
Queso Mozzarella Ligth Cuisine & Co Rallado 200g,S/ 15.10,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,200.0,g,Queso Mozzarella Ligth Cuisine & Co Rallado,15.1
Queso Fresco Burrata Fior Di Latte Duman Doypack 200 gr,S/ 26.72,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,200.0,g,Queso Fresco Burrata Fior Di Latte Duman Doypack r,26.72
Queso Fresco de Cabra Duman x Kg,S/ 78.96 x kg,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.0,kg,Queso Fresco de Cabra Duman,78.96
Queso Fresco Light Laive Sbelt x kg,S/ 38.50 x kg,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.0,kg,Queso Fresco Light Laive Sbelt,38.5
Queso Mozzarella Cuisine & Co Rallado 200g,S/ 15.10,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,200.0,g,Queso Mozzarella Cuisine & Co Rallado,15.1
Queso Cabaña Light Piamonte Pote 250 gr,S/ 16.00,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,250.0,g,Queso Cabaña Light Piamonte Pote r,16.0
Queso Fresco Mozzarella Fior di Latte Duman Doypack 250 gr,S/ 17.68,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,250.0,g,Queso Fresco Mozzarella Fior di Latte Duman Doypack r,17.68
Queso Fresco De Vaca Light Duman x kg,S/ 53.04 x kg,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.0,kg,Queso Fresco De Vaca Light Duman,53.04
Queso Fresco Bocconcini Fior di Latte Duman Doypack 250 gr,S/ 17.84,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,250.0,g,Queso Fresco Bocconcini Fior di Latte Duman Doypack r,17.84
Toallitas Desinfectantes Clorox Expert Aroma Fresco 60un,S/ 20.20,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,60.0,un,Toallitas Desinfectantes Clorox Expert Aroma Fresco,20.2
Queso Mozzarella Rallada Duman Bolsa 250 g,S/ 16.16,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,250.0,g,Queso Mozzarella Rallada Duman Bolsa,16.16
Queso Feta LeFromelier x kg,S/ 119.50 x kg,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.0,kg,Queso Feta LeFromelier,119.5
Queso Fresco Artesanal Laive x kg,S/ 41.60 x kg,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.0,kg,Queso Fresco Artesanal Laive,41.6
Queso Mozzarella Sin Lactosa Light Duman 200g,S/ 11.68,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,200.0,g,Queso Mozzarella Sin Lactosa Light Duman,11.68
Palitos de Queso Mozzarella Delice 180g,S/ 16.40,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,180.0,g,Palitos de Queso Mozzarella Delice,16.4
