"CODIGO","CLASIFICACION"
"0117030109","BETARRAGA"
"0117030112","CEBOLLA CHINA"
"0117030115","CEBOLLA DE CABEZA (ROJA)"
"0117030130","PORO"
"0117030136","ZANAHORIA"
"0117030206","VERDURA PICADA"
"0117040109","FRÉJOL CANARIO"
"0117040142","FRÉJOL PANAMITO"
"0117040206","ARVEJA SECA PARTIDA"
"0117040303","GARBANZO"
"0117040503","LENTEJA"
"0117040603","PALLAR"
"0117050203","ACEITUNA DE BOTIJA"
"0117060103","CAMOTE AMARILLO"
"0117060206","PAPA AMARILLA"
"0117060209","PAPA BLANCA"
"0117060212","PAPA COLOR"
"0117060221","PAPA HUAYRO"
"0117060302","YUCA"
"0117060418","OLLUCO"
"0117070115","PAPA SECA"
"0118010103","AZÚCAR BLANCA"
"0118010106","AZÚCAR RUBIA"
"0118010309","EDULCORANTE"
"0118020115","MERMELADA"
"0118020118","MIEL DE ABEJA"
"0118030103","CHOCOLATE EN PASTA (TAZA)"
"0118030106","CHOCOLATE EN TABLETA"
"0118030109","DIVERSAS PRESENTACIONES DE CHOCOLATES"
"0118030302","CARAMELOS"
"0118030312","GOMA DE MASCAR"
"0118040209","HELADO FAMILIAR"
"0118040212","HELADO DE CREMA PERSONAL"
"0118040215","HELADO DE HIELO PERSONAL"
"0119010103","ALBAHACA"
"0119010121","CULANTRO"
"0119020102","SAL"
"0119020212","AJO MOLIDO"
"0119020221","CANELA ENTERA"
"0119020240","HONGO / LAUREL (ESPECIES)"
"0119020241","KION (ESPECIAS)"
"0119020303","ALIMENTOS EN CUBITOS"
"0119020306","GLUTAMATO MONOSÓDICO (SAZONADOR)"
"0119020309","SAZONADORES CONCENTRADOS"
"0119030103","AJÍ AMARILLO MOLIDO"
"0119030115","AJÍ PANCA MOLIDO (ESPECIAL)"
"0119030121","AJÍ ROCOTO MOLIDO"
"0119030203","ADEREZOS HIDRATADOS"
"0119030424","MAYONESA"
"0119030512","PASTA Y SALSA DE TOMATE"
"0119030527","SILLAO"
"0119040206","GELATINA (PARA PREPARAR)"
"0119040306","SOPAS (CONCENTRADAS / INSTANTÁNEAS)"
"0119040415","MENESTRAS SANCOCHADAS"
"0119040430","VEGETALES SANCOCHADOS"
"0119050103","BOCADITOS DE MAÍZ Y QUESO"
"0119050115","CHIFLE (BOCADITOS)"
"0119050136","PAPA FRITA (BOCADITOS)"
"0119050139","POP CORN (BOCADITOS)"
"0121010106","CAFÉ TOSTADO MOLIDO"
"0121010206","CAFÉ INSTANTÁNEO"
"0121010303","CEBADA TOSTADA SOLUBLE"
"0121020109","TÉ NEGRO FILTRANTE"
"0121020202","HIERBAS PARA INFUSIONES"
"0121030203","COCOA EN POLVO"
"0121040103","PRODUCTO ACHOCOLATADO"
"0122010106","AGUA DE MESA SIN GAS"
"0122010112","AGUA MINERAL SIN GAS"
"0122010203","BEBIDAS GASEOSAS"
"0122020103","BEBIDA ENERGIZANTE (FLUIDA)"
"0122020106","BEBIDA HIDRATANTE"
"0122020109","REFRESCO ENVASADO (FLUIDO)"
"0122020401","BEBIDA DE FRUTA ENVASADA"
