CODIGO,CLASIFICACION,tottus,metro,vivanda,vega,plaza_vea,wong,tambo
117030115,CEBOLLA DE CABEZA (ROJA),NO,SI,NO,NO,SI,NO,NO
111070203,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,NO,SI,SI,SI,SI,SI,NO
111070206,CEREALES PROCESADOS SIMPLES (HOJUELAS),SI,SI,SI,SI,SI,SI,NO
119050115,CHIFLE (BOCADITOS),SI,SI,SI,SI,NO,SI,NO
117020401,CHOCLO CRIOLLO / SERRANO,NO,NO,NO,NO,NO,NO,NO
118030103,CHOCOLATE EN PASTA (TAZA),SI,SI,NO,SI,SI,SI,NO
118030106,CHOCOLATE EN TABLETA,SI,SI,SI,NO,SI,SI,SI
112040111,CHORIZO,SI,SI,SI,NO,SI,SI,NO
113020112,CHOROS (CON VALVA),NO,NO,NO,NO,NO,SI,NO
112010212,CHULETA DE CERDO,NO,SI,SI,NO,SI,SI,NO
112010315,CHURRASCO DE VACUNO,NO,SI,NO,NO,NO,SI,NO
121030203,COCOA EN POLVO,SI,SI,NO,SI,NO,SI,NO
117010209,COLIFLOR,NO,SI,SI,NO,SI,SI,NO
113010139,CORVINA,NO,NO,NO,NO,NO,SI,NO
112010231,COSTILLA DE CERDO,NO,SI,SI,NO,SI,NO,NO
119010121,CULANTRO,SI,SI,SI,NO,SI,SI,NO
118030109,DIVERSAS PRESENTACIONES DE CHOCOLATES,SI,SI,SI,SI,NO,SI,NO
116020209,DURAZNO EN CONSERVA,SI,SI,SI,SI,SI,SI,NO
116010206,DURAZNO HUAYCO,NO,NO,NO,NO,NO,NO,NO
118010309,EDULCORANTE,SI,SI,NO,NO,SI,SI,NO
117010118,ESPINACA,NO,SI,Si,NO,SI,NO,NO
111060103,FIDEOS SECOS DE PASTA CORTA,SI,SI,SI,SI,SI,NO,NO
111060106,FIDEOS SECOS DE PASTA LARGA,NO,SI,SI,SI,SI,NO,NO
113040103,FILETE DE PESCADO EN CONSERVA,SI,SI,SI,SI,SI,SI,NO
114010412,FÓRMULA PARA LACTANTES,SI,SI,SI,SI,SI,NO,NO
117040109,FRÉJOL CANARIO,SI,SI,SI,SI,SI,SI,NO
117040142,FRÉJOL PANAMITO,SI,SI,SI,SI,SI,SI,NO
116010831,FRESA,SI,SI,SI,NO,SI,SI,NO
111050203,GALLETAS BAÑADAS,SI,SI,SI,NO,SI,SI,SI
111050206,GALLETAS DULCES,SI,SI,SI,SI,SI,SI,SI
111050209,GALLETAS RELLENAS,NO,SI,SI,SI,SI,NO,SI
111050212,GALLETAS SALADAS,SI,SI,SI,SI,SI,SI,SI
112020103,GALLINA EVISCERADA,NO,NO,NO,NO,NO,SI,NO
117040303,GARBANZO,SI,SI,SI,SI,SI,SI,NO
119040206,GELATINA (PARA PREPARAR),SI,SI,SI,SI,NO,SI,SI
119020306,GLUTAMATO MONOSÓDICO (SAZONADOR),NO,NO,SI,NO,SI,NO,NO
118030312,GOMA DE MASCAR,NO,NO,SI,SI,SI,NO,SI
116010835,GRANADILLA,NO,NO,SI,NO,SI,SI,NO
113040106,GRATED DE PESCADO EN CONSERVA,SI,NO,NO,SI,NO,NO,NO
117020618,HABA VERDE,NO,SI,SI,NO,SI,NO,NO
112050107,HAMBURGUESA,SI,NO,SI,NO,SI,SI,NO
111030212,HARINA DE MAÍZ BLANCO,NO,SI,SI,SI,SI,SI,NO
111030103,HARINA DE TRIGO PREPARADA,NO,SI,SI,SI,SI,SI,SI
111030106,HARINA DE TRIGO SIN PREPARAR,SI,NO,SI,SI,SI,NO,NO
111030221,HARINA SIETE SEMILLAS O MIXTAS,NO,NO,NO,NO,NO,SI,NO
118040212,HELADO DE CREMA PERSONAL,NO,NO,NO,NO,NO,NO,NO
118040215,HELADO DE HIELO PERSONAL,NO,NO,NO,NO,NO,NO,NO
118040209,HELADO FAMILIAR,SI,SI,SI,NO,SI,NO,NO
121020202,HIERBAS PARA INFUSIONES,NO,NO,NO,SI,SI,SI,NO
112030221,HÍGADO DE RES,NO,SI,NO,NO,NO,SI,NO
119020240,HONGO / LAUREL (ESPECIES),NO,NO,NO,SI,NO,NO,NO
112040120,HOT DOG,SI,SI,SI,NO,SI,SI,NO
114040106,HUEVOS DE GALLINA,NO,NO,SI,NO,NO,NO,NO
112040124,JAMÓN DEL PAÍS,SI,SI,SI,NO,SI,SI,NO
112040136,JAMONADA,SI,SI,SI,NO,SI,SI,NO
113010147,JUREL,NO,SI,NO,NO,NO,SI,NO
119020241,KION (ESPECIAS),SI,SI,SI,NO,SI,SI,NO
114010603,LECHE / BEBIDAS DE PRODUCTOS VEGETALES,NO,NO,NO,NO,NO,NO,NO
114020303,LECHE CONDENSADA,SI,SI,SI,SI,SI,SI,SI
114010309,LECHE EVAPORADA,SI,SI,SI,SI,SI,NO,SI
114010203,LECHE FRESCA PASTEURIZADA,SI,SI,NO,NO,NO,NO,NO
114010209,LECHE FRESCA UHT,NO,SI,NO,SI,NO,SI,NO
117010121,LECHUGA,NO,SI,SI,NO,SI,SI,NO
117040503,LENTEJA,SI,SI,SI,SI,SI,NO,NO
116010109,LIMÓN,NO,SI,SI,NO,SI,SI,NO
113010153,LIZA,NO,NO,NO,NO,NO,NO,NO
112010221,LOMO DE CERDO,NO,SI,SI,NO,NO,SI,NO
111020121,MAÍZ MORADO,NO,SI,SI,NO,SI,SI,NO
111020133,MAÍZ REVENTÓN (POP CORN),SI,SI,SI,SI,NO,SI,NO
111020140,MAÍZ SECO CANCHA,SI,NO,NO,NO,SI,SI,NO
116010115,MANDARINA,NO,SI,SI,NO,SI,SI,NO
116010861,MANGO,NO,SI,SI,NO,SI,SI,NO
115020103,MANTEQUILLA ENVASADA,NO,SI,SI,NO,SI,SI,SI
116010306,MANZANA CORRIENTE,NO,SI,NO,NO,NO,NO,NO
116010309,MANZANA DELICIA,NO,SI,NO,NO,SI,NO,NO
116010302,MANZANA IMPORTADA,NO,NO,SI,NO,SI,NO,NO
116010312,MANZANA ISRAEL,NO,SI,NO,NO,NO,SI,NO
116010118,MARACUYÁ,SI,SI,NO,NO,SI,SI,NO
115020206,MARGARINA ENVASADA,SI,SI,SI,SI,SI,NO,SI
119030424,MAYONESA,SI,SI,SI,SI,SI,SI,SI
116010865,MELÓN,NO,SI,SI,NO,SI,SI,NO
119040415,MENESTRAS SANCOCHADAS,NO,NO,NO,NO,NO,NO,NO
112030106,MENUDENCIA DE POLLO,NO,NO,NO,NO,SI,NO,NO
113010161,MERLUZA,NO,SI,NO,NO,NO,NO,NO
118020115,MERMELADA,SI,SI,SI,SI,SI,SI,SI
114010503,MEZCLA LÁCTEA EVAPORADA,NO,NO,NO,SI,SI,SI,NO
118020118,MIEL DE ABEJA,SI,SI,SI,SI,SI,SI,NO
112050111,MILANESA,NO,SI,SI,NO,SI,SI,NO
112030230,MONDONGO DE RES,NO,SI,SI,NO,NO,NO,NO
116010121,NARANJA DE JUGO,SI,SI,SI,NO,SI,SI,NO
116010124,NARANJA DE MESA,NO,SI,NO,NO,NO,SI,NO
117060418,OLLUCO,NO,SI,SI,NO,SI,SI,NO
117040603,PALLAR,SI,SI,SI,SI,SI,SI,NO
116010406,PALTA FUERTE / MAYAR,NO,NO,NO,NO,NO,NO,NO
111050116,PAN CARACOL,NO,NO,NO,NO,SI,NO,NO
111050126,PAN CIABATTA,SI,SI,SI,NO,SI,SI,NO
111050148,PAN DE MOLDE,SI,SI,SI,NO,SI,SI,NO
111050150,PAN DE YEMA,NO,SI,SI,NO,SI,SI,NO
111050156,PAN FRANCÉS,SI,SI,SI,NO,SI,SI,NO
111050164,PAN INTEGRAL,SI,SI,NO,NO,SI,SI,SI
112010224,PANCETA (CARNE DE CERDO),NO,SI,SI,NO,SI,SI,NO
111050184,PANETÓN,SI,SI,SI,SI,SI,SI,SI
117060206,PAPA AMARILLA,NO,SI,SI,NO,SI,SI,NO
117060209,PAPA BLANCA,NO,SI,SI,NO,SI,SI,NO
117060212,PAPA COLOR,NO,NO,NO,NO,NO,NO,NO
119050136,PAPA FRITA (BOCADITOS),SI,SI,SI,SI,SI,SI,NO
117060221,PAPA HUAYRO,NO,SI,NO,NO,SI,SI,NO
117070115,PAPA SECA,SI,SI,SI,SI,SI,SI,NO
116010506,PAPAYA,SI,SI,SI,NO,SI,SI,NO
116020139,PASAS,SI,SI,SI,NO,SI,SI,NO
119030512,PASTA Y SALSA DE TOMATE,SI,SI,NO,SI,SI,SI,SI
111050303,PASTELES DULCES,NO,SI,NO,NO,NO,NO,NO
111050309,PASTELES SALADOS,NO,NO,SI,NO,NO,NO,NO
112020307,PAVO EVISCERADO,NO,SI,NO,NO,NO,SI,NO
116020321,PECANAS,SI,SI,SI,NO,SI,SI,NO
112020206,PECHUGA DE POLLO,SI,SI,SI,NO,SI,SI,NO
117020515,PEPINILLO,SI,SI,SI,NO,SI,SI,NO
116010875,PEPINO,NO,SI,Si,NO,NO,SI,NO
116010877,PERA DE AGUA,NO,NO,NO,NO,NO,NO,NO
113010177,PERICO,NO,SI,SI,NO,SI,NO,NO
112010230,PIERNA (CARNE DE CERDO),NO,SI,SI,NO,NO,SI,NO
112020209,PIERNA DE POLLO,NO,SI,SI,NO,SI,SI,NO
116010881,PIÑA,NO,SI,SI,NO,SI,SI,NO
116010603,PLÁTANO BISCOCHO,NO,SI,SI,NO,NO,SI,NO
116010609,PLÁTANO DE LA ISLA,NO,SI,SI,NO,SI,SI,NO
116010612,PLÁTANO DE SEDA,NO,SI,SI,NO,SI,SI,NO
116010627,PLÁTANO VERDE - INGUIRI O BELLACO,NO,NO,NO,NO,NO,NO,NO
112020212,POLLO EVISCERADO,NO,SI,SI,NO,NO,SI,NO
119050139,POP CORN (BOCADITOS),SI,SI,SI,SI,NO,SI,SI
117030130,PORO,NO,SI,SI,NO,SI,SI,NO
121040103,PRODUCTO ACHOCOLATADO,SI,SI,SI,NO,NO,SI,NO
114030306,QUESO EDAM,SI,SI,SI,NO,SI,SI,NO
114030106,QUESO FRESCO DE VACA,NO,SI,SI,NO,SI,SI,NO
