CODIGO,PRODUCTO,terminos,funcion_tratamiento
121010106,CAFÉ TOSTADO MOLIDO,CAFÉ TOSTADO MOLIDO,todos_terminos_presentes
117060103,CAMOTE AMARILLO,CAMOTE AMARILLO,todos_terminos_presentes
119020221,CANELA ENTERA,CANELA ENTERA,todos_terminos_presentes
118030302,CARAMELOS,Caramelo Caramelos,alguno_de_los_terminos_presentes
112010103,CARNE DE CARNERO,,
112010309,CARNE MOLIDA DE VACUNO,CARNE MOLIDA,todos_terminos_presentes
112010312,CARNE PARA GUISO DE VACUNO,CARNE GUISO,todos_terminos_presentes
121010303,CEBADA TOSTADA SOLUBLE,CEBADA,al_principio_de_la_descripcion
117030112,CEBOLLA CHINA,CEBOLLA CHINA,todos_terminos_presentes
117030115,CEBOLLA DE CABEZA (ROJA),CEBOLLA ROJA,todos_terminos_presentes
111070203,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,CEREALES,todos_terminos_presentes
111070206,CEREALES PROCESADOS SIMPLES (HOJUELAS),HOJUELAS CEREAL,todos_terminos_presentes
119050115,CHIFLE (BOCADITOS),CHIFLE CHIFLES,alguno_de_los_terminos_presentes
117020401,CHOCLO CRIOLLO / SERRANO,,
118030103,CHOCOLATE EN PASTA (TAZA),TAZA,todos_terminos_presentes
118030106,CHOCOLATE EN TABLETA,TAZA,no_esta_presente_termino
112040111,CHORIZO,CHORIZO,al_principio_de_la_descripcion
113020112,CHOROS (CON VALVA),CHORO CHOROS,alguno_de_los_terminos_presentes
112010212,CHULETA DE CERDO,CHULETA CERDO,todos_terminos_presentes
112010315,CHURRASCO DE VACUNO,Churrasco,al_principio_de_la_descripcion
121030203,COCOA EN POLVO,COCOA POLVO,todos_terminos_presentes
117010209,COLIFLOR,COLIFLOR,todos_terminos_presentes
113010139,CORVINA,LATA,no_esta_presente_termino
112010231,COSTILLA DE CERDO,COSTILLA COSTILLAS,alguno_de_los_terminos_presentes
119010121,CULANTRO,CULANTRO,al_principio_de_la_descripcion
118030109,DIVERSAS PRESENTACIONES DE CHOCOLATES,TAZA TABLETA TABLETAS,no_estan_presentes_terminos
116020209,DURAZNO EN CONSERVA,DURAZNO,al_principio_de_la_descripcion
116010206,DURAZNO HUAYCO,,
118010309,EDULCORANTE,Endulzante Edulcorante,alguno_de_los_terminos_presentes_al_inicio
117010118,ESPINACA,Espinaca,al_principio_de_la_descripcion
111060103,FIDEOS SECOS DE PASTA CORTA,Fideos Spaghetti Tallarin,primer_termino_presente_seguientes_no_presente
111060106,FIDEOS SECOS DE PASTA LARGA,Spaghetti Tallarin,alguno_de_los_terminos_presentes
113040103,FILETE DE PESCADO EN CONSERVA,Filete,al_principio_de_la_descripcion
114010412,FÓRMULA PARA LACTANTES,Fórmula Láctea,todos_terminos_presentes_primero_al_inicio
117040109,FRÉJOL CANARIO,CANARIO,todos_terminos_presentes
117040142,FRÉJOL PANAMITO,Panamito,todos_terminos_presentes
116010831,FRESA,Fresa Fresas,alguno_de_los_terminos_presentes_al_inicio
111050203,GALLETAS BAÑADAS,Bañada Bañadas,alguno_de_los_terminos_presentes
111050206,GALLETAS DULCES,Saladas Saladitas Saldas RELLENAS,no_estan_presentes_terminos
111050209,GALLETAS RELLENAS,Rellenas Rellena,alguno_de_los_terminos_presentes
111050212,GALLETAS SALADAS,Saladas Saladitas Saldas,alguno_de_los_terminos_presentes
112020103,GALLINA EVISCERADA,GALLINA Entera,todos_terminos_presentes
117040303,GARBANZO,Garbanzo Garbanzos,alguno_de_los_terminos_presentes_al_inicio
119040206,GELATINA (PARA PREPARAR),Gelatina,al_principio_de_la_descripcion
119020306,GLUTAMATO MONOSÓDICO (SAZONADOR),Glutamato,todos_terminos_presentes
118030312,GOMA DE MASCAR,Goma de Mascar,todos_terminos_presentes
116010835,GRANADILLA,Granadilla,al_principio_de_la_descripcion
113040106,GRATED DE PESCADO EN CONSERVA,Grated,todos_terminos_presentes
117020618,HABA VERDE,Haba saladas,primer_termino_presente_seguientes_no_presente
112050107,HAMBURGUESA,HAMBURGUESA HAMBURGUESAS,alguno_de_los_terminos_presentes_al_inicio
111030212,HARINA DE MAÍZ BLANCO,Maiz Blanco,todos_terminos_presentes
111030103,HARINA DE TRIGO PREPARADA,Preparada,todos_terminos_presentes
111030106,HARINA DE TRIGO SIN PREPARAR,sin Preparar,todos_terminos_presentes
111030221,HARINA SIETE SEMILLAS O MIXTAS,SIETE SEMILLAS,todos_terminos_presentes
118040212,HELADO DE CREMA PERSONAL,CREMA Helado,todos_terminos_presentes
118040215,HELADO DE HIELO PERSONAL,HIELO Helado,todos_terminos_presentes
118040209,HELADO FAMILIAR,HELADO,tiene_ml_l
121020202,HIERBAS PARA INFUSIONES,Infusión Infusiones,alguno_de_los_terminos_presentes
112030221,HÍGADO DE RES,HÍGADO,todos_terminos_presentes
119020240,HONGO / LAUREL (ESPECIES),,
112040120,HOT DOG,HOT DOG,todos_terminos_presentes_primero_al_inicio
114040106,HUEVOS DE GALLINA,,
112040124,JAMÓN DEL PAÍS,,
112040136,JAMONADA,JAMONADA,alguno_de_los_terminos_presentes
113010147,JUREL,JUREL,al_principio_de_la_descripcion
119020241,KION (ESPECIAS),KION,al_principio_de_la_descripcion
114010603,LECHE / BEBIDAS DE PRODUCTOS VEGETALES,,
114020303,LECHE CONDENSADA,CONDENSADA,todos_terminos_presentes
114010309,LECHE EVAPORADA,LECHE EVAPORADA,todos_terminos_presentes_primero_al_inicio
114010203,LECHE FRESCA PASTEURIZADA,Pasteurizada,todos_terminos_presentes
114010209,LECHE FRESCA UHT,LECHE UHT,todos_terminos_presentes_primero_al_inicio
117010121,LECHUGA,LECHUGA,al_principio_de_la_descripcion
117040503,LENTEJA,LENTEJA LENTEJAS,alguno_de_los_terminos_presentes_al_inicio
116010109,LIMÓN,LIMÓN,al_principio_de_la_descripcion
113010153,LIZA,,
112010221,LOMO DE CERDO,LOMO DE CERDO,todos_terminos_presentes
111020121,MAÍZ MORADO,MAÍZ MORADO,al_principio_de_la_descripcion
111020133,MAÍZ REVENTÓN (POP CORN),MAÍZ POP CORN,al_principio_de_la_descripcion
111020140,MAÍZ SECO CANCHA,MAÍZ CANCHA,al_principio_de_la_descripcion
116010115,MANDARINA,MANDARINA,al_principio_de_la_descripcion
116010861,MANGO,MANGO,al_principio_de_la_descripcion
115020103,MANTEQUILLA ENVASADA,MANTEQUILLA,al_principio_de_la_descripcion
116010306,MANZANA CORRIENTE,MANZANA,al_principio_de_la_descripcion
116010309,MANZANA DELICIA,MANZANA DELICIA,todos_terminos_presentes
116010302,MANZANA IMPORTADA,MANZANA IMPORTADA,todos_terminos_presentes
116010312,MANZANA ISRAEL,MANZANA ISRAEL,todos_terminos_presentes
116010118,MARACUYÁ,MARACUYÁ,al_principio_de_la_descripcion
