description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Queso Edam Laive + Jamonada Suiza 160g,S/ 9.10,metro,JAMONADA,2024-12-06 18:04:40.256854,160.0,g,Queso Edam Laive + Jamonada Suiza,9.1
Chicharrón de Prensa San Fernando 85g,S/ 2.72,metro,JAMONADA,2024-12-06 18:04:40.256854,85.0,g,Chicharrón de Prensa San Fernando,2.72
Chicharrón de Prensa Cerdeña 100g,S/ 3.80,metro,JAMONADA,2024-12-06 18:04:40.256854,100.0,g,Chicharrón de Prensa Cerdeña,3.8
Mortadela Especial 180g,S/ 6.90,metro,JAMONADA,2024-12-06 18:04:40.256854,180.0,g,Mortadela Especial,6.9
Twopack Jamonada con Pollo Suiza 200g,S/ 9.00,metro,JAMONADA,2024-12-06 18:04:40.256854,200.0,g,Twopack Jamonada con Pollo Suiza,9.0
Chicharrón de Prensa 180g,S/ 8.00,metro,JAMONADA,2024-12-06 18:04:40.256854,180.0,g,Chicharrón de Prensa,8.0
Chicharrón de Prensa Suiza 180g,S/ 8.90,metro,JAMONADA,2024-12-06 18:04:40.256854,180.0,g,Chicharrón de Prensa Suiza,8.9
Jamoneta de Pollo San Fernando 85g,S/ 1.57,metro,JAMONADA,2024-12-06 18:04:40.256854,85.0,g,Jamoneta de Pollo San Fernando,1.57
Pack Jamonada de Pollo + Queso Edam Braedt Paquete 180 g,S/ 9.10,metro,JAMONADA,2024-12-06 18:04:40.256854,180.0,g,Pack Jamonada de Pollo + Queso Edam Braedt Paquete,9.1
Mortadela Lonchera La Segoviana Paquete 100 g,S/ 2.50,metro,JAMONADA,2024-12-06 18:04:40.256854,100.0,g,Mortadela Lonchera La Segoviana Paquete,2.5
Mortadela Paquete 200 g,S/ 9.60,metro,JAMONADA,2024-12-06 18:04:40.256854,200.0,g,Mortadela Paquete,9.6
Mortadella La Norteña San Fernando Paquete 100 g,S/ 1.73,metro,JAMONADA,2024-12-06 18:04:40.256854,100.0,g,Mortadella La Norteña San Fernando Paquete,1.73
Pack Máxima: Jamonada de Pollo 85g + Queso Tipo Edam 80g,S/ 6.90,metro,JAMONADA,2024-12-06 18:04:40.256854,85.0,g,Pack Máxima: Jamonada de Pollo  + Queso Tipo Edam,6.9
Mortadela de Pollo Naturave 200g,S/ 3.90,metro,JAMONADA,2024-12-06 18:04:40.256854,200.0,g,Mortadela de Pollo Naturave,3.9
Chicharrón de Prensa Braedt 170g,S/ 8.20,metro,JAMONADA,2024-12-06 18:04:40.256854,170.0,g,Chicharrón de Prensa Braedt,8.2
Pastel de Jamón Otto Kunz x kg,S/ 36.70 x kg,metro,JAMONADA,2024-12-06 18:04:40.256854,1.0,kg,Pastel de Jamón Otto Kunz,36.7
Chicharrón de Prensa Zimmermann 180g,S/ 7.90,metro,JAMONADA,2024-12-06 18:04:40.256854,180.0,g,Chicharrón de Prensa Zimmermann,7.9
Queso de Chancho Rico Pollo 200 g,S/ 7.10,metro,JAMONADA,2024-12-06 18:04:40.256854,200.0,g,Queso de Chancho Rico Pollo,7.1
Queso de Chancho Otto Kunz 180g,S/ 5.80,metro,JAMONADA,2024-12-06 18:04:40.256854,180.0,g,Queso de Chancho Otto Kunz,5.8
Queso de Chancho Rico 100g,S/ 3.60,metro,JAMONADA,2024-12-06 18:04:40.256854,100.0,g,Queso de Chancho Rico,3.6
