description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Hamburguesa de Pollo Oregon Foods 8un,S/ 25.00,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,8.0,un,Hamburguesa de Pollo Oregon Foods,25.0
Albóndigas de Res Oregon Foods 15un,S/ 25.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,15.0,un,Albóndigas de Res Oregon Foods,25.9
Hamburguesa de Pechuga de Pollo Rico 16un.,S/ 29.40,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,16.0,un,Hamburguesa de Pechuga de Pollo Rico .,29.4
Hamburguesas Angus Oregon Foods 4un,S/ 58.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,4.0,un,Hamburguesas Angus Oregon Foods,58.9
Hamburguesa Vegetariana de Soya Kartriso Bandeja 500 g,S/ 18.60,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,500.0,g,Hamburguesa Vegetariana de Soya Kartriso Bandeja,18.6
Hamburguesa Parrillera de Pollo Redondos 600g,S/ 19.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,600.0,g,Hamburguesa Parrillera de Pollo Redondos,19.9
Milanesa Vegetariana de Soya Kartriso Bandeja 500 g,S/ 18.60,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,500.0,g,Milanesa Vegetariana de Soya Kartriso Bandeja,18.6
Hamburguesa de Pollo La Magnífica 14un,S/ 12.49,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,14.0,un,Hamburguesa de Pollo La Magnífica,12.49
Súper Hamburguesa de Res La Segoviana Bolsa 16 unid,S/ 18.30,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,16.0,un,Súper Hamburguesa de Res La Segoviana Bolsa,18.3
Hamburguesa de Trucha Piscis Bolsa 500 g,S/ 19.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,500.0,g,Hamburguesa de Trucha Piscis Bolsa,19.9
Hamburguesa Vegana Flexfood Flex Burger 2un,S/ 19.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,2.0,un,Hamburguesa Vegana Flexfood Flex Burger,19.9
Hamburguesa de Res La Magnífica Tradicional 10un,S/ 23.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,10.0,un,Hamburguesa de Res La Magnífica Tradicional,23.9
Hamburguesa Parrillera de Pollo Oregon Foods 4un,S/ 25.40,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,4.0,un,Hamburguesa Parrillera de Pollo Oregon Foods,25.4
Hamburguesa de Langostino Santa Priscila 4un.,S/ 29.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,4.0,un,Hamburguesa de Langostino Santa Priscila .,29.9
Filete Vegetariano de Soya Kartriso Bandeja 500 g,S/ 18.60,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,500.0,g,Filete Vegetariano de Soya Kartriso Bandeja,18.6
Hamburguesa de Res La Segoviana Bolsa 14un,S/ 19.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,14.0,un,Hamburguesa de Res La Segoviana Bolsa,19.9
Burger de Quinua Della Natura 100g,S/ 7.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,100.0,g,Burger de Quinua Della Natura,7.9
Hamburguesas Angus Bon Beef Caja 4 Unid,S/ 51.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,4.0,un,Hamburguesas Angus Bon Beef Caja,51.9
Tilapia Marina en Filetes Apanados Santa Priscila 454g,S/ 32.50,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,454.0,g,Tilapia Marina en Filetes Apanados Santa Priscila,32.5
Porciones de Perico Empanizado Seafrost 500g,S/ 22.50,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,500.0,g,Porciones de Perico Empanizado Seafrost,22.5
Súper Hamburguesa de Pollo La Segoviana Bolsa 16 unid,S/ 15.50,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,16.0,un,Súper Hamburguesa de Pollo La Segoviana Bolsa,15.5
Hamburguesas Parrilleras Wong Caja 4un,S/ 25.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,4.0,un,Hamburguesas Parrilleras Wong Caja,25.9
Hamburguesa Vegetariana de Lentejas Della Natura 400g,S/ 19.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,400.0,g,Hamburguesa Vegetariana de Lentejas Della Natura,19.9
Hamburguesa Angus con Sal de Maras Otto Kunz Caja 4 unid,S/ 59.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,4.0,un,Hamburguesa Angus con Sal de Maras Otto Kunz Caja,59.9
Hamburguesa de Pechuga de Pollo Rico 4un.,S/ 11.30,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,4.0,un,Hamburguesa de Pechuga de Pollo Rico .,11.3
